miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	108087	8546.169891	N
hsa-let-7a-2	107816	8524.742596	Y
hsa-let-7a-3	109931	8691.970378	N
hsa-let-7b	235006	18581.339119	N
hsa-let-7c	142439	11262.296974	Y
hsa-let-7d	3291	260.211174	N
hsa-let-7e	8185	647.167565	N
hsa-let-7f-1	23018	1819.975932	N
hsa-let-7f-2	23464	1855.240041	N
hsa-let-7g	4474	353.748037	N
hsa-let-7i	10364	819.455668	N
hsa-mir-1-1	3	0.237203	N
hsa-mir-1-2	9	0.711608	N
hsa-mir-100	84795	6704.529461	Y
hsa-mir-101-1	100497	7946.047494	N
hsa-mir-101-2	101472	8023.138316	N
hsa-mir-103a-1	99385	7858.124424	Y
hsa-mir-103a-2	98697	7803.725977	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	344	27.199223	N
hsa-mir-105-2	302	23.878388	N
hsa-mir-106a	215	16.999515	Y
hsa-mir-106b	9511	752.011082	N
hsa-mir-107	617	48.784653	Y
hsa-mir-10a	86	6.799806	N
hsa-mir-10b	1991	157.423411	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.316270	N
hsa-mir-1180	682	53.924041	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.395338	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.553473	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.079068	N
hsa-mir-1224	69	5.455658	N
hsa-mir-1225	1	0.079068	N
hsa-mir-1226	36	2.846430	N
hsa-mir-1227	1	0.079068	N
hsa-mir-1228	5	0.395338	N
hsa-mir-1229	11	0.869743	N
