miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	116525	15489.213911	N
hsa-let-7a-2	116973	15548.764804	Y
hsa-let-7a-3	116873	15535.472194	N
hsa-let-7b	126293	16787.636065	N
hsa-let-7c	58037	7714.632120	Y
hsa-let-7d	1948	258.940045	N
hsa-let-7e	10534	1400.243547	N
hsa-let-7f-1	32947	4379.516247	N
hsa-let-7f-2	33463	4448.106115	N
hsa-let-7g	3690	490.497312	N
hsa-let-7i	2415	321.016534	N
hsa-mir-1-1	33	4.386561	N
hsa-mir-1-2	44	5.848748	N
hsa-mir-100	59437	7900.728661	Y
hsa-mir-101-1	67894	9024.884697	N
hsa-mir-101-2	67773	9008.800638	N
hsa-mir-103a-1	72991	9702.409033	Y
hsa-mir-103a-2	73689	9795.191451	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	396	52.638736	N
hsa-mir-105-2	400	53.170440	N
hsa-mir-106a	148	19.673063	Y
hsa-mir-106b	2805	372.857713	N
hsa-mir-107	933	124.020052	Y
hsa-mir-10a	123	16.349910	N
hsa-mir-10b	5494	730.295999	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.664631	N
hsa-mir-1180	378	50.246066	N
hsa-mir-1181	1	0.132926	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.398778	N
hsa-mir-1185-2	2	0.265852	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.797557	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	88	11.697497	N
hsa-mir-1225	2	0.265852	N
hsa-mir-1226	14	1.860965	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.930483	N
hsa-mir-1229	8	1.063409	N
hsa-mir-1231	1	0.132926	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.265852	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	971	129.071244	N
hsa-mir-124-2	1026	136.382180	N
hsa-mir-124-3	1016	135.052919	N
hsa-mir-1243	2	0.265852	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	41	5.449970	N
hsa-mir-1248	4	0.531704	N
hsa-mir-1249	45	5.981675	N
hsa-mir-1250	2	0.265852	N
hsa-mir-1251	64	8.507270	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.398778	N
hsa-mir-1254-2	2	0.265852	N
hsa-mir-1255a	1	0.132926	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.930483	N
hsa-mir-125a	3241	430.813493	N
hsa-mir-125b-1	14915	1982.592795	N
hsa-mir-125b-2	15943	2119.240827	N
hsa-mir-126	6676	887.414650	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.398778	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.398778	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.664631	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.531704	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	14778	1964.381920	N
hsa-mir-1270	2	0.265852	N
hsa-mir-1271	41	5.449970	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.531704	N
hsa-mir-1276	9	1.196335	N
hsa-mir-1277	3	0.398778	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	24543	3262.405295	N
hsa-mir-128-2	16903	2246.849884	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.132926	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.132926	N
hsa-mir-1287	41	5.449970	N
hsa-mir-1288	4	0.531704	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3953	525.456877	N
hsa-mir-129-2	4361	579.690726	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	0.930483	N
hsa-mir-1292	3	0.398778	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	3	0.398778	N
hsa-mir-1295b	1	0.132926	N
hsa-mir-1296	204	27.116925	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	55	7.310936	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	110	14.621871	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.265852	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	51	6.779231	N
hsa-mir-1307	3777	502.061883	N
hsa-mir-130a	712	94.643384	N
hsa-mir-130b	259	34.427860	N
hsa-mir-132	1765	234.614568	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	20	2.658522	Y
hsa-mir-133a-2	28	3.721931	Y
hsa-mir-133b	8	1.063409	Y
hsa-mir-134	2982	396.385633	N
hsa-mir-1343	11	1.462187	N
hsa-mir-135a-1	308	40.941239	N
hsa-mir-135a-2	76	10.102384	N
hsa-mir-135b	25	3.323153	N
hsa-mir-136	796	105.809176	N
hsa-mir-137	718	95.440940	N
hsa-mir-138-1	104	13.824314	N
hsa-mir-138-2	82	10.899940	N
hsa-mir-139	6276	834.244209	N
hsa-mir-140	14630	1944.708857	N
hsa-mir-141	4	0.531704	N
hsa-mir-142	619	82.281256	N
hsa-mir-143	65904	8760.361756	N
hsa-mir-144	430	57.158223	N
hsa-mir-145	1187	157.783282	N
hsa-mir-1468	20	2.658522	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	259	34.427860	N
hsa-mir-146b	826	109.796959	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.132926	N
hsa-mir-148a	1129	150.073568	N
hsa-mir-148b	547	72.710577	N
