miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	103753	14223.379983	N
hsa-let-7a-2	104024	14260.531063	Y
hsa-let-7a-3	104580	14336.752466	N
hsa-let-7b	115804	15875.437776	N
hsa-let-7c	71385	9786.087921	Y
hsa-let-7d	1500	205.633283	N
hsa-let-7e	13661	1872.770850	N
hsa-let-7f-1	28644	3926.773166	N
hsa-let-7f-2	28928	3965.706400	N
hsa-let-7g	2296	314.756011	N
hsa-let-7i	1467	201.109350	N
hsa-mir-1-1	12	1.645066	N
hsa-mir-1-2	11	1.507977	N
hsa-mir-100	58336	7997.215451	Y
hsa-mir-101-1	47290	6482.931958	N
hsa-mir-101-2	47595	6524.744059	N
hsa-mir-103a-1	52825	7241.718771	Y
hsa-mir-103a-2	52431	7187.705762	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	383	52.505032	N
hsa-mir-105-2	396	54.287187	N
hsa-mir-106a	95	13.023441	Y
hsa-mir-106b	1793	245.800317	N
hsa-mir-107	321	44.005522	Y
hsa-mir-10a	254	34.820569	N
hsa-mir-10b	104593	14338.534622	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	334	45.787678	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.137089	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.685444	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.137089	N
hsa-mir-1224	32	4.386843	N
hsa-mir-1225	1	0.137089	N
