miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	168215	10255.435109	N
hsa-let-7a-2	168346	10263.421686	N
hsa-let-7a-3	170979	10423.945781	N
hsa-let-7b	322635	19669.841016	N
hsa-let-7c	23691	1444.351058	N
hsa-let-7d	2317	141.258765	N
hsa-let-7e	15313	933.575946	N
hsa-let-7f-1	35462	2161.984602	N
hsa-let-7f-2	35591	2169.849246	N
hsa-let-7g	4123	251.363784	N
hsa-let-7i	2734	166.681685	N
hsa-mir-1-1	166	10.120395	N
hsa-mir-1-2	189	11.522618	N
hsa-mir-100	38783	2364.453466	N
hsa-mir-101-1	39891	2432.004054	N
hsa-mir-101-2	39939	2434.930433	N
hsa-mir-103a-1	115989	7071.412555	Y
hsa-mir-103a-2	116086	7077.326279	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1134	69.135710	N
hsa-mir-105-2	1133	69.074744	N
hsa-mir-106a	186	11.339720	Y
hsa-mir-106b	5921	360.981074	N
hsa-mir-107	943	57.491159	Y
hsa-mir-10a	188	11.461652	N
hsa-mir-10b	833370	50807.430711	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	1.341257	N
hsa-mir-1180	113	6.889184	N
hsa-mir-1181	2	0.121932	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	0.853527	N
hsa-mir-1185-2	2	0.121932	N
hsa-mir-1193	2	0.121932	N
hsa-mir-1197	23	1.402223	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	9	0.548696	N
hsa-mir-1225	1	0.060966	N
hsa-mir-1226	43	2.621548	N
hsa-mir-1227	1	0.060966	N
hsa-mir-1228	13	0.792561	N
hsa-mir-1229	3	0.182899	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.121932	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	382	23.289102	N
hsa-mir-124-2	372	22.679439	N
hsa-mir-124-3	400	24.386494	N
hsa-mir-1243	3	0.182899	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	59	3.597008	N
hsa-mir-1248	4	0.243865	N
hsa-mir-1249	23	1.402223	N
hsa-mir-1250	3	0.182899	N
hsa-mir-1251	21	1.280291	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	1	0.060966	N
hsa-mir-1254-1	2	0.121932	N
hsa-mir-1254-2	3	0.182899	N
hsa-mir-1255a	1	0.060966	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.060966	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2335	142.356157	N
hsa-mir-125b-1	54338	3312.783242	N
hsa-mir-125b-2	54372	3314.856093	N
hsa-mir-126	8756	533.820348	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	0.731595	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	0.792561	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.060966	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	23930	1458.921988	N
hsa-mir-1270	22	1.341257	N
hsa-mir-1271	101	6.157590	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
