miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	77465	7252.357028	N
hsa-let-7a-2	77424	7248.518563	Y
hsa-let-7a-3	77735	7277.634720	N
hsa-let-7b	64926	6078.442295	N
hsa-let-7c	59551	5575.228985	Y
hsa-let-7d	3932	368.118090	N
hsa-let-7e	24479	2291.750438	N
hsa-let-7f-1	34618	3240.974577	N
hsa-let-7f-2	35208	3296.211014	N
hsa-let-7g	6371	596.459906	N
hsa-let-7i	3325	311.290094	N
hsa-mir-1-1	3	0.280863	N
hsa-mir-1-2	1	0.093621	N
hsa-mir-100	177402	16608.566984	Y
hsa-mir-101-1	89863	8413.071188	N
hsa-mir-101-2	91484	8564.830960	N
hsa-mir-103a-1	147517	13810.700983	Y
hsa-mir-103a-2	147627	13820.999302	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	154	14.417646	N
hsa-mir-105-2	155	14.511268	N
hsa-mir-106a	74	6.927960	Y
hsa-mir-106b	1945	182.093002	N
hsa-mir-107	417	39.039991	Y
hsa-mir-10a	853	79.858782	N
hsa-mir-10b	15417	1443.356203	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.280863	N
hsa-mir-1180	246	23.030786	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.187242	N
hsa-mir-1185-2	1	0.093621	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.093621	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	7	0.655348	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	1.591558	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.468105	N
hsa-mir-1229	6	0.561726	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.093621	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	38	3.557601	N
hsa-mir-124-2	58	5.430023	N
hsa-mir-124-3	49	4.587433	N
hsa-mir-1243	3	0.280863	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
