miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42187	3596.181247	N
hsa-let-7a-2	42137	3591.919056	N
hsa-let-7a-3	43064	3670.940082	N
hsa-let-7b	74176	6323.045966	N
hsa-let-7c	48135	4103.211518	N
hsa-let-7d	2578	219.758581	N
hsa-let-7e	2107	179.608739	N
hsa-let-7f-1	14123	1203.898541	N
hsa-let-7f-2	14681	1251.464595	N
hsa-let-7g	1211	103.230272	N
hsa-let-7i	6142	523.567573	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	4	0.340975	N
hsa-mir-100	23333	1988.994170	Y
hsa-mir-101-1	21767	1855.502340	N
hsa-mir-101-2	22218	1893.947305	N
hsa-mir-103a-1	69576	5930.924371	Y
hsa-mir-103a-2	69520	5926.150717	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	653	55.664218	N
hsa-mir-105-2	621	52.936415	N
hsa-mir-106a	123	10.484990	Y
hsa-mir-106b	1788	152.415959	N
hsa-mir-107	196	16.707790	Y
hsa-mir-10a	152	12.957061	N
hsa-mir-10b	155033	13215.605928	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.085244	N
hsa-mir-1180	112	9.547308	N
hsa-mir-1181	1	0.085244	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.170488	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.170488	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	15	1.278657	N
hsa-mir-1225	1	0.085244	N
hsa-mir-1226	7	0.596707	N
hsa-mir-1227	1	0.085244	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	3	0.255731	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.085244	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	96	8.183407	N
hsa-mir-124-2	92	7.842432	N
hsa-mir-124-3	86	7.330969	N
hsa-mir-1243	2	0.170488	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	0.937682	N
hsa-mir-1248	2	0.170488	N
hsa-mir-1249	16	1.363901	N
hsa-mir-1250	1	0.085244	N
hsa-mir-1251	57	4.858898	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.085244	N
hsa-mir-1255a	11	0.937682	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.340975	N
hsa-mir-125a	3050	259.993666	N
hsa-mir-125b-1	8971	764.722354	N
hsa-mir-125b-2	9272	790.380746	N
hsa-mir-126	5587	476.257251	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	1.704877	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.426219	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.426219	N
hsa-mir-1267	1	0.085244	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.340975	N
hsa-mir-1269b	2	0.170488	N
hsa-mir-127	2852	243.115389	N
hsa-mir-1270	14	1.193414	N
hsa-mir-1271	52	4.432679	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.085244	N
hsa-mir-1277	10	0.852438	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2045	174.323622	N
hsa-mir-128-2	945	80.555415	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.170488	N
hsa-mir-1285-1	1	0.085244	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	7	0.596707	N
hsa-mir-1288	4	0.340975	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	710	60.523116	N
