miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	44340	5984.587460	N
hsa-let-7a-2	44289	5977.703970	Y
hsa-let-7a-3	44494	6005.372902	N
hsa-let-7b	81546	11006.296099	N
hsa-let-7c	28366	3828.570318	Y
hsa-let-7d	2051	276.824287	N
hsa-let-7e	2201	297.069847	N
hsa-let-7f-1	11146	1504.380059	N
hsa-let-7f-2	11311	1526.650175	N
hsa-let-7g	1958	264.272040	N
hsa-let-7i	1165	157.240514	N
hsa-mir-1-1	6	0.809822	N
hsa-mir-1-2	3	0.404911	N
hsa-mir-100	17084	2305.834284	N
hsa-mir-101-1	41746	5634.474247	N
hsa-mir-101-2	41617	5617.063066	N
hsa-mir-103a-1	34412	4644.601346	Y
hsa-mir-103a-2	34467	4652.024718	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	415	56.012715	N
hsa-mir-105-2	412	55.607804	N
hsa-mir-106a	85	11.472484	Y
hsa-mir-106b	1497	202.050686	N
hsa-mir-107	245	33.067748	Y
hsa-mir-10a	385	51.963603	N
hsa-mir-10b	11162	1506.539586	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.214734	N
hsa-mir-1180	111	14.981714	N
hsa-mir-1181	1	0.134970	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.134970	N
hsa-mir-1185-2	3	0.404911	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.134970	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.134970	N
hsa-mir-1224	14	1.889586	N
hsa-mir-1225	1	0.134970	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.404911	N
hsa-mir-1229	1	0.134970	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	520	70.184607	N
hsa-mir-124-2	538	72.614074	N
hsa-mir-124-3	531	71.669281	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	0.944793	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	45	6.073668	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	5	0.674852	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.269941	N
hsa-mir-1254-2	2	0.269941	N
hsa-mir-1255a	1	0.134970	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.269941	N
hsa-mir-125a	2447	330.272565	N
hsa-mir-125b-1	10149	1369.814572	N
hsa-mir-125b-2	10238	1381.826938	N
hsa-mir-126	7046	951.001426	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.404911	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.539882	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.079763	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4236	571.734607	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	28	3.779171	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.134970	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.134970	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5724	772.570560	N
hsa-mir-128-2	3084	416.248708	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	16	2.159526	N
hsa-mir-1288	3	0.404911	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1090	147.117734	N
