miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	94373	16207.391689	N
hsa-let-7a-2	94126	16164.972504	Y
hsa-let-7a-3	94427	16216.665519	N
hsa-let-7b	104128	17882.691891	N
hsa-let-7c	55219	9483.178045	Y
hsa-let-7d	2627	451.154652	N
hsa-let-7e	8915	1531.040625	N
hsa-let-7f-1	35184	6042.415407	N
hsa-let-7f-2	35258	6055.123989	N
hsa-let-7g	5927	1017.888703	N
hsa-let-7i	2283	392.076921	N
hsa-mir-1-1	40	6.869504	N
hsa-mir-1-2	30	5.152128	N
hsa-mir-100	82299	14133.832014	Y
hsa-mir-101-1	77820	13364.619343	N
hsa-mir-101-2	79120	13587.878211	N
hsa-mir-103a-1	41770	7173.479182	Y
hsa-mir-103a-2	41782	7175.540033	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	65	11.162943	N
hsa-mir-105-2	84	14.425958	N
hsa-mir-106a	146	25.073688	Y
hsa-mir-106b	3975	682.656925	N
hsa-mir-107	340	58.390781	Y
hsa-mir-10a	906	155.594258	N
hsa-mir-10b	153379	26340.939992	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.515213	N
hsa-mir-1180	191	32.801880	N
hsa-mir-1181	2	0.343475	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.171738	N
hsa-mir-1185-2	2	0.343475	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.171738	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.686950	N
hsa-mir-1225	1	0.171738	N
hsa-mir-1226	6	1.030426	N
hsa-mir-1227	2	0.343475	N
hsa-mir-1228	4	0.686950	N
hsa-mir-1229	7	1.202163	N
hsa-mir-1231	3	0.515213	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.343475	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	302	51.864753	N
hsa-mir-124-2	342	58.734256	N
hsa-mir-124-3	355	60.966845	N
hsa-mir-1243	4	0.686950	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	29	4.980390	N
hsa-mir-1248	5	0.858688	N
hsa-mir-1249	74	12.708582	N
hsa-mir-1250	1	0.171738	N
hsa-mir-1251	122	20.951986	N
hsa-mir-1252	1	0.171738	N
hsa-mir-1253	1	0.171738	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.515213	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.171738	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.686950	N
hsa-mir-125a	3977	683.000400	N
hsa-mir-125b-1	14764	2535.533796	N
hsa-mir-125b-2	15412	2646.819755	N
hsa-mir-126	13884	2384.404715	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	3.263014	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	8	1.373901	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	1.717376	N
hsa-mir-1267	1	0.171738	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.171738	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2070	355.496814	N
hsa-mir-1270	14	2.404326	N
hsa-mir-1271	132	22.669362	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.171738	N
hsa-mir-1275	7	1.202163	N
hsa-mir-1276	3	0.515213	N
hsa-mir-1277	2	0.343475	N
hsa-mir-1278	1	0.171738	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6327	1086.583739	N
hsa-mir-128-2	4285	735.895578	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.515213	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	58	9.960780	N
hsa-mir-1288	1	0.171738	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
