miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	154917	17494.359846	N
hsa-let-7a-2	154815	17482.841260	Y
hsa-let-7a-3	155480	17557.937920	N
hsa-let-7b	293638	33159.749003	N
hsa-let-7c	65692	7418.420748	Y
hsa-let-7d	9441	1066.146719	N
hsa-let-7e	21356	2411.675600	N
hsa-let-7f-1	70295	7938.225149	N
hsa-let-7f-2	71923	8122.070807	N
hsa-let-7g	7121	804.155364	N
hsa-let-7i	3796	428.672063	N
hsa-mir-1-1	36	4.065383	N
hsa-mir-1-2	39	4.404165	N
hsa-mir-100	168481	19026.105858	Y
hsa-mir-101-1	90249	10191.576662	N
hsa-mir-101-2	90778	10251.315208	N
hsa-mir-103a-1	122415	13823.996466	Y
hsa-mir-103a-2	122929	13882.041102	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	289	32.635992	N
hsa-mir-105-2	253	28.570609	N
hsa-mir-106a	174	19.649352	Y
hsa-mir-106b	6400	722.734774	N
hsa-mir-107	1301	146.918428	Y
hsa-mir-10a	1874	211.625776	N
hsa-mir-10b	623078	70362.521504	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	17	1.919764	N
hsa-mir-1180	812	91.696974	N
hsa-mir-1181	20	2.258546	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.468055	N
hsa-mir-1185-2	2	0.225855	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	9	1.016346	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.112927	N
hsa-mir-1224	72	8.130766	N
hsa-mir-1225	3	0.338782	N
hsa-mir-1226	50	5.646365	N
