miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	58742	14412.692945	N
hsa-let-7a-2	58555	14366.811402	Y
hsa-let-7a-3	58951	14463.972316	N
hsa-let-7b	62847	15419.878681	N
hsa-let-7c	35985	8829.130020	Y
hsa-let-7d	889	218.121345	N
hsa-let-7e	6668	1636.032763	N
hsa-let-7f-1	18396	4513.566093	N
hsa-let-7f-2	18853	4625.693713	N
hsa-let-7g	2224	545.671395	N
hsa-let-7i	1344	329.758253	N
hsa-mir-1-1	6	1.472135	N
hsa-mir-1-2	4	0.981423	N
hsa-mir-100	56309	13815.742178	Y
hsa-mir-101-1	31947	7838.383125	N
hsa-mir-101-2	31977	7845.743800	N
hsa-mir-103a-1	30011	7363.374212	Y
hsa-mir-103a-2	30117	7389.381931	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	26	6.379252	N
hsa-mir-105-2	29	7.115319	N
hsa-mir-106a	83	20.364535	Y
hsa-mir-106b	785	192.604337	N
hsa-mir-107	243	59.621470	Y
hsa-mir-10a	237	58.149335	N
hsa-mir-10b	166	40.729070	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.736068	N
hsa-mir-1180	178	43.673340	N
hsa-mir-1181	1	0.245356	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.245356	N
hsa-mir-1185-2	1	0.245356	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	16	3.925693	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.981423	N
hsa-mir-1227	1	0.245356	N
hsa-mir-1228	6	1.472135	N
hsa-mir-1229	3	0.736068	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	83	20.364535	N
hsa-mir-124-2	93	22.818093	N
hsa-mir-124-3	99	24.290228	N
hsa-mir-1243	1	0.245356	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	2.208203	N
hsa-mir-1248	1	0.245356	N
hsa-mir-1249	75	18.401688	N
hsa-mir-1250	1	0.245356	N
hsa-mir-1251	31	7.606031	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
