miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	106482	20186.275941	N
hsa-let-7a-2	106483	20186.465515	Y
hsa-let-7a-3	106945	20274.048952	N
hsa-let-7b	224544	42567.825030	N
hsa-let-7c	119268	22610.175982	Y
hsa-let-7d	1891	358.485451	N
hsa-let-7e	12628	2393.947264	N
hsa-let-7f-1	39824	7549.616396	N
hsa-let-7f-2	39889	7561.938741	N
hsa-let-7g	2537	480.950603	N
hsa-let-7i	3591	680.762165	N
hsa-mir-1-1	1	0.189575	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	140978	26725.839199	Y
hsa-mir-101-1	29819	5652.923145	N
hsa-mir-101-2	29697	5629.795051	N
hsa-mir-103a-1	28943	5486.855849	Y
hsa-mir-103a-2	29406	5574.628860	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	4	0.758298	N
hsa-mir-105-2	11	2.085320	N
hsa-mir-106a	43	8.151705	Y
hsa-mir-106b	3258	617.633844	N
hsa-mir-107	351	66.540663	Y
hsa-mir-10a	35994	6823.545916	N
hsa-mir-10b	15633	2963.618750	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.379149	N
hsa-mir-1180	273	51.753849	N
hsa-mir-1181	7	1.327022	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.379149	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	16	3.033193	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	2.085320	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.947873	N
hsa-mir-1229	1	0.189575	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	42	7.962131	N
hsa-mir-124-2	57	10.805749	N
hsa-mir-124-3	52	9.857876	N
hsa-mir-1243	1	0.189575	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	1.516596	N
hsa-mir-1248	10	1.895745	N
hsa-mir-1249	18	3.412342	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	29	5.497662	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.379149	N
hsa-mir-1254-2	3	0.568724	N
hsa-mir-1255a	1	0.189575	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.568724	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.568724	N
hsa-mir-125a	3592	680.951740	N
hsa-mir-125b-1	12241	2320.581918	N
hsa-mir-125b-2	13395	2539.350935	N
hsa-mir-126	2441	462.751447	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	25	4.739363	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	179	33.933842	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12	2.274894	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	7591	1439.060317	N
hsa-mir-1270	2	0.379149	N
hsa-mir-1271	24	4.549789	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.379149	N
hsa-mir-1276	4	0.758298	N
hsa-mir-1277	1	0.189575	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1744	330.617994	N
hsa-mir-128-2	1495	283.413934	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	80	15.165963	N
hsa-mir-1288	4	0.758298	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	100	18.957454	N
hsa-mir-129-2	111	21.042774	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.379149	N
hsa-mir-1292	4	0.758298	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.758298	N
hsa-mir-1295a	2	0.379149	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	30	5.687236	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	4	0.758298	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	98	18.578305	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
