miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	231073	18979.463972	N
hsa-let-7a-2	231261	18994.905583	Y
hsa-let-7a-3	231968	19052.975894	N
hsa-let-7b	355967	29237.785686	N
hsa-let-7c	147530	12117.557308	Y
hsa-let-7d	4057	333.226666	N
hsa-let-7e	11599	952.698076	N
hsa-let-7f-1	45072	3702.043944	N
hsa-let-7f-2	45152	3708.614842	N
hsa-let-7g	3939	323.534591	N
hsa-let-7i	10487	861.362594	N
hsa-mir-1-1	8	0.657090	N
hsa-mir-1-2	5	0.410681	N
hsa-mir-100	259328	21300.223016	Y
hsa-mir-101-1	167644	13769.645342	N
hsa-mir-101-2	167888	13789.686581	N
hsa-mir-103a-1	64997	5338.608231	Y
hsa-mir-103a-2	64799	5322.345259	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	32	2.628359	N
hsa-mir-105-2	32	2.628359	N
hsa-mir-106a	100	8.213623	Y
hsa-mir-106b	6498	533.721192	N
hsa-mir-107	680	55.852633	Y
hsa-mir-10a	441	36.222075	N
hsa-mir-10b	343686	28229.070704	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.657090	N
hsa-mir-1180	712	58.480992	N
hsa-mir-1181	1	0.082136	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.246409	N
hsa-mir-1185-2	2	0.164272	N
hsa-mir-1193	1	0.082136	N
hsa-mir-1197	1	0.082136	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.328545	N
hsa-mir-1224	4	0.328545	N
hsa-mir-1225	2	0.164272	N
hsa-mir-1226	9	0.739226	N
hsa-mir-1227	1	0.082136	N
hsa-mir-1228	1	0.082136	N
hsa-mir-1229	1	0.082136	N
hsa-mir-1231	1	0.082136	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.082136	N
hsa-mir-124-1	183	15.030929	N
hsa-mir-124-2	182	14.948793	N
hsa-mir-124-3	172	14.127431	N
hsa-mir-1243	6	0.492817	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	0.492817	N
hsa-mir-1248	2	0.164272	N
hsa-mir-1249	9	0.739226	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	189	15.523747	N
hsa-mir-1252	2	0.164272	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.164272	N
hsa-mir-1254-2	3	0.246409	N
hsa-mir-1255a	1	0.082136	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.082136	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.082136	N
hsa-mir-125a	4045	332.241031	N
hsa-mir-125b-1	32732	2688.482924	N
hsa-mir-125b-2	33711	2768.894289	N
hsa-mir-126	5850	480.496918	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.560588	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.082136	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	41	3.367585	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	27	2.217678	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	8952	735.283488	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	127	10.431301	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.328545	N
hsa-mir-1276	11	0.903498	N
hsa-mir-1277	9	0.739226	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2512	206.326198	N
hsa-mir-128-2	1783	146.448890	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.246409	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	61	5.010310	N
hsa-mir-1288	3	0.246409	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	256	21.026874	N
hsa-mir-129-2	291	23.901642	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.410681	N
hsa-mir-1292	1	0.082136	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	221	18.152106	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	19	1.560588	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	65	5.338855	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.246409	N
hsa-mir-1305	20	1.642725	N
hsa-mir-1306	115	9.445666	N
hsa-mir-1307	5994	492.324534	N
hsa-mir-130a	1194	98.070653	N
hsa-mir-130b	1367	112.280220	N
hsa-mir-132	858	70.472881	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	0.410681	Y
hsa-mir-133a-2	2	0.164272	N
hsa-mir-133b	1	0.082136	Y
hsa-mir-134	2939	241.398366	N
hsa-mir-1343	20	1.642725	N
hsa-mir-135a-1	182	14.948793	N
hsa-mir-135a-2	187	15.359474	N
hsa-mir-135b	110	9.034985	N
hsa-mir-136	746	61.273624	N
hsa-mir-137	70	5.749536	N
hsa-mir-138-1	13	1.067771	N
hsa-mir-138-2	9	0.739226	N
hsa-mir-139	455	37.371982	N
hsa-mir-140	10531	864.976588	N
hsa-mir-141	17	1.396316	N
hsa-mir-142	2691	221.028582	N
hsa-mir-143	59561	4892.115711	N
hsa-mir-144	2472	203.040749	N
hsa-mir-145	693	56.920404	N
hsa-mir-1468	67	5.503127	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	62	5.092446	N
hsa-mir-146b	246	20.205511	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.246409	N
hsa-mir-148a	7311	600.497943	N
hsa-mir-148b	922	75.729600	N
hsa-mir-149	1723	141.520716	N
hsa-mir-150	250	20.534056	N
hsa-mir-151a	11382	934.874516	N
hsa-mir-151b	19	1.560588	N
hsa-mir-152	892	73.265513	N
hsa-mir-153-1	199	16.345109	N
hsa-mir-153-2	3759	308.750071	N
hsa-mir-1537	1	0.082136	N
hsa-mir-1538	2	0.164272	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	59	4.846037	N
hsa-mir-155	125	10.267028	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1727	141.849261	N
hsa-mir-15b	1052	86.407309	N
hsa-mir-16-1	2150	176.592884	N
hsa-mir-16-2	2138	175.607250	N
hsa-mir-17	4488	368.627379	Y
hsa-mir-181a-1	73866	6067.074413	N
hsa-mir-181a-2	166936	13711.492895	N
hsa-mir-181b-1	12130	996.312412	N
hsa-mir-181b-2	11828	971.507272	N
hsa-mir-181c	6929	569.121905	N
hsa-mir-181d	1375	112.937310	N
hsa-mir-182	51595	4237.818541	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	19728	1620.383451	N
hsa-mir-184	44	3.613994	N
hsa-mir-185	592	48.624645	N
hsa-mir-186	1273	104.559415	N
hsa-mir-187	9	0.739226	N
hsa-mir-188	42	3.449721	N
hsa-mir-18a	39	3.203313	Y
hsa-mir-18b	8	0.657090	Y
hsa-mir-1908	2	0.164272	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	110	9.034985	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	1559	128.050375	N
hsa-mir-1910	1	0.082136	N
hsa-mir-1911	0	0.000000	N
