miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	134171	21354.009501	N
hsa-let-7a-2	134354	21383.134899	Y
hsa-let-7a-3	134169	21353.691191	N
hsa-let-7b	99178	15784.692328	N
hsa-let-7c	74272	11820.773443	Y
hsa-let-7d	2184	347.594911	N
hsa-let-7e	26834	4270.770069	N
hsa-let-7f-1	69279	11026.111635	N
hsa-let-7f-2	71092	11314.659975	N
hsa-let-7g	8850	1408.523333	N
hsa-let-7i	1478	235.231354	N
hsa-mir-1-1	83	13.209880	N
hsa-mir-1-2	79	12.573259	N
hsa-mir-100	71587	11393.441788	N
hsa-mir-101-1	45539	7247.767689	N
hsa-mir-101-2	45842	7295.991709	N
hsa-mir-103a-1	90923	14470.866326	Y
hsa-mir-103a-2	91262	14524.819932	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	159	25.305673	N
hsa-mir-105-2	142	22.600035	N
hsa-mir-106a	103	16.392983	Y
hsa-mir-106b	2571	409.187965	N
hsa-mir-107	473	75.280400	Y
hsa-mir-10a	71	11.300018	N
hsa-mir-10b	60135	9570.796680	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	1.114086	N
hsa-mir-1180	366	58.250795	N
hsa-mir-1181	2	0.318310	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.159155	N
hsa-mir-1185-2	1	0.159155	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.477466	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	48	7.639449	N
hsa-mir-1225	2	0.318310	N
hsa-mir-1226	13	2.069017	N
hsa-mir-1227	1	0.159155	N
hsa-mir-1228	8	1.273241	N
hsa-mir-1229	8	1.273241	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	268	42.653588	N
hsa-mir-124-2	281	44.722605	N
hsa-mir-124-3	276	43.926829	N
hsa-mir-1243	2	0.318310	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	21	3.342259	N
hsa-mir-1248	11	1.750707	N
hsa-mir-1249	72	11.459173	N
hsa-mir-1250	6	0.954931	N
hsa-mir-1251	30	4.774655	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.159155	N
hsa-mir-1255a	2	0.318310	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.636621	N
hsa-mir-125a	4004	637.257336	N
hsa-mir-125b-1	9717	1546.510873	N
hsa-mir-125b-2	10195	1622.587048	N
hsa-mir-126	3131	498.314865	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	2.705638	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.159155	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.318310	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4603	732.591288	N
hsa-mir-1270	32	5.092966	N
hsa-mir-1271	41	6.525362	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.795776	N
hsa-mir-1276	3	0.477466	N
hsa-mir-1277	2	0.318310	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	7147	1137.482063	N
hsa-mir-128-2	4246	675.772889	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
