miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	73189	7762.387721	N
hsa-let-7a-2	73619	7807.993300	Y
hsa-let-7a-3	74088	7857.735199	N
hsa-let-7b	164049	17398.952620	N
hsa-let-7c	97131	10301.663935	Y
hsa-let-7d	2745	291.133289	N
hsa-let-7e	7414	786.325029	N
hsa-let-7f-1	17585	1865.056061	N
hsa-let-7f-2	17749	1882.449817	N
hsa-let-7g	3885	412.041103	N
hsa-let-7i	4146	439.722629	N
hsa-mir-1-1	11	1.166654	N
hsa-mir-1-2	14	1.484833	N
hsa-mir-100	53088	5630.485993	Y
hsa-mir-101-1	52492	5567.274540	N
hsa-mir-101-2	52926	5613.304356	N
hsa-mir-103a-1	68420	7256.590033	Y
hsa-mir-103a-2	68844	7301.559255	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	629	66.711417	N
hsa-mir-105-2	621	65.862941	N
hsa-mir-106a	111	11.772603	Y
hsa-mir-106b	4849	514.282448	N
hsa-mir-107	594	62.999335	Y
hsa-mir-10a	133	14.105912	N
hsa-mir-10b	253816	26919.594501	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	1.060595	N
hsa-mir-1180	433	45.923757	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.530297	N
hsa-mir-1185-2	8	0.848476	N
hsa-mir-1193	1	0.106059	N
hsa-mir-1197	4	0.424238	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.212119	N
hsa-mir-1224	41	4.348439	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	23	2.439368	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.636357	N
hsa-mir-1229	8	0.848476	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.106059	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	457	48.469185	N
hsa-mir-124-2	402	42.635913	N
hsa-mir-124-3	398	42.211675	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.106059	N
hsa-mir-1247	17	1.803011	N
hsa-mir-1248	9	0.954535	N
hsa-mir-1249	86	9.121116	N
hsa-mir-1250	4	0.424238	N
hsa-mir-1251	329	34.893571	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.106059	N
hsa-mir-1254-2	2	0.212119	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.212119	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.424238	N
hsa-mir-125a	3645	386.586826	N
hsa-mir-125b-1	16345	1733.542299	N
hsa-mir-125b-2	17472	1853.071340	N
hsa-mir-126	4635	491.585718	N
hsa-mir-1260a	1	0.106059	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.590892	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	0.848476	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	1	0.106059	N
hsa-mir-127	11917	1263.910895	N
hsa-mir-1270	32	3.393904	N
hsa-mir-1271	112	11.878662	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.106059	N
hsa-mir-1276	3	0.318178	N
hsa-mir-1277	1	0.106059	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	10152	1076.715902	N
hsa-mir-128-2	6353	673.795915	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.212119	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.212119	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	46	4.878736	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2681	284.345482	N
hsa-mir-129-2	2901	307.678569	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	4	0.424238	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	694	73.605283	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	30	3.181785	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	137	14.530150	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.106059	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
