miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	37495	5951.441822	N
hsa-let-7a-2	37138	5894.776540	Y
hsa-let-7a-3	37337	5926.363070	N
hsa-let-7b	49957	7929.488708	N
hsa-let-7c	28325	4495.921846	Y
hsa-let-7d	1583	251.263699	N
hsa-let-7e	3937	624.905359	N
hsa-let-7f-1	11714	1859.319629	N
hsa-let-7f-2	11925	1892.810874	N
hsa-let-7g	1301	206.502889	N
hsa-let-7i	1437	228.089663	N
hsa-mir-1-1	1	0.158726	N
hsa-mir-1-2	4	0.634905	N
hsa-mir-100	26199	4158.469777	N
hsa-mir-101-1	10084	1600.595795	N
hsa-mir-101-2	10423	1654.404003	N
hsa-mir-103a-1	76049	12070.974773	Y
hsa-mir-103a-2	75448	11975.580279	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	648	102.854629	N
hsa-mir-105-2	681	108.092596	N
hsa-mir-106a	180	28.570730	Y
hsa-mir-106b	982	155.869206	N
hsa-mir-107	197	31.269077	Y
hsa-mir-10a	174	27.618373	N
hsa-mir-10b	28629	4544.174634	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.634905	N
hsa-mir-1180	154	24.443847	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.317453	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.634905	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	30	4.761788	N
hsa-mir-1225	1	0.158726	N
hsa-mir-1226	5	0.793631	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	0.634905	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	66	10.475934	N
hsa-mir-124-2	61	9.682303	N
hsa-mir-124-3	71	11.269566	N
hsa-mir-1243	2	0.317453	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	2	0.317453	N
hsa-mir-1249	25	3.968157	N
hsa-mir-1250	4	0.634905	N
hsa-mir-1251	11	1.745989	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.158726	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.158726	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.158726	N
hsa-mir-125a	3827	607.445469	N
hsa-mir-125b-1	6626	1051.720323	N
hsa-mir-125b-2	6923	1098.862028	N
hsa-mir-126	1718	272.691747	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.317453	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.317453	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.317453	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.317453	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2824	448.243011	N
