miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41248	4750.282526	N
hsa-let-7a-2	41265	4752.240313	Y
hsa-let-7a-3	41352	4762.259577	N
hsa-let-7b	43330	4990.053866	N
hsa-let-7c	39607	4561.298487	Y
hsa-let-7d	2091	240.807815	N
hsa-let-7e	5296	609.908268	N
hsa-let-7f-1	12920	1487.918208	N
hsa-let-7f-2	13277	1529.031737	N
hsa-let-7g	2225	256.239784	N
hsa-let-7i	1894	218.120517	N
hsa-mir-1-1	13	1.497131	N
hsa-mir-1-2	17	1.957787	N
hsa-mir-100	21869	2518.520378	N
hsa-mir-101-1	22431	2583.242517	N
hsa-mir-101-2	22899	2637.139245	N
hsa-mir-103a-1	94500	10882.993083	Y
hsa-mir-103a-2	94450	10877.234886	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	743	85.566813	N
hsa-mir-105-2	812	93.513126	N
hsa-mir-106a	116	13.359018	Y
hsa-mir-106b	1254	144.415591	N
hsa-mir-107	364	41.919677	Y
hsa-mir-10a	443	51.017629	N
hsa-mir-10b	2006	231.018880	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.036476	N
hsa-mir-1180	281	32.361069	N
hsa-mir-1181	1	0.115164	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	0.921312	N
hsa-mir-1185-2	2	0.230328	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	0.921312	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	71	8.176640	N
hsa-mir-1225	4	0.460656	N
hsa-mir-1226	5	0.575820	N
hsa-mir-1227	2	0.230328	N
hsa-mir-1228	5	0.575820	N
hsa-mir-1229	11	1.266803	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.115164	N
hsa-mir-1236	1	0.115164	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	426	49.059842	N
hsa-mir-124-2	434	49.981153	N
hsa-mir-124-3	420	48.368858	N
hsa-mir-1243	3	0.345492	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	0.921312	N
hsa-mir-1248	6	0.690984	N
hsa-mir-1249	70	8.061476	N
hsa-mir-1250	1	0.115164	N
hsa-mir-1251	18	2.072951	N
hsa-mir-1252	2	0.230328	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.345492	N
hsa-mir-1254-2	3	0.345492	N
hsa-mir-1255a	1	0.115164	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	1.266803	N
hsa-mir-125a	4335	499.235714	N
hsa-mir-125b-1	7433	856.013625	N
hsa-mir-125b-2	7761	893.787400	N
hsa-mir-126	5004	576.280396	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.575820	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	18	2.072951	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.575820	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	0.806148	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9571	1102.234146	N
hsa-mir-1270	10	1.151639	N
hsa-mir-1271	16	1.842623	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.345492	N
hsa-mir-1277	3	0.345492	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11199	1289.721053	N
hsa-mir-128-2	6344	730.600086	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.115164	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	41	4.721722	N
hsa-mir-1288	1	0.115164	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1564	180.116415	N
hsa-mir-129-2	2194	252.669702	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.690984	N
hsa-mir-1292	4	0.460656	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	177	20.384019	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	137	15.777461	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	241	27.754511	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.115164	N
hsa-mir-1305	1	0.115164	N
hsa-mir-1306	41	4.721722	N
hsa-mir-1307	3222	371.058240	N
hsa-mir-130a	308	35.470496	N
hsa-mir-130b	129	14.856149	N
hsa-mir-132	3775	434.743904	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	0.921312	Y
hsa-mir-133a-2	13	1.497131	Y
hsa-mir-133b	2	0.230328	Y
hsa-mir-134	2868	330.290203	N
hsa-mir-1343	12	1.381967	N
hsa-mir-135a-1	100	11.516395	N
hsa-mir-135a-2	95	10.940575	N
hsa-mir-135b	7	0.806148	N
hsa-mir-136	387	44.568448	N
hsa-mir-137	1100	126.680343	N
hsa-mir-138-1	277	31.900414	N
hsa-mir-138-2	161	18.541396	N
hsa-mir-139	5131	590.906217	N
hsa-mir-140	7201	829.295589	N
hsa-mir-141	8	0.921312	N
hsa-mir-142	974	112.169685	N
hsa-mir-143	12951	1491.488290	N
hsa-mir-144	1843	212.247156	N
hsa-mir-145	1146	131.977884	N
hsa-mir-1468	31	3.570082	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	102	11.746723	N
hsa-mir-146b	1111	127.947146	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.115164	N
hsa-mir-148a	4036	464.801694	N
hsa-mir-148b	320	36.852463	N
hsa-mir-149	810	93.282798	N
hsa-mir-150	205	23.608609	N
hsa-mir-151a	4172	480.463991	N
hsa-mir-151b	6	0.690984	N
hsa-mir-152	282	32.476233	N
hsa-mir-153-1	174	20.038527	N
