miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	96035	12657.580518	N
hsa-let-7a-2	95774	12623.180263	Y
hsa-let-7a-3	95696	12612.899727	N
hsa-let-7b	99929	13170.816510	N
hsa-let-7c	19827	2613.233185	Y
hsa-let-7d	1596	210.355584	N
hsa-let-7e	3938	519.035269	N
hsa-let-7f-1	20627	2718.674581	N
hsa-let-7f-2	20969	2763.750777	N
hsa-let-7g	2827	372.603531	N
hsa-let-7i	962	126.793278	N
hsa-mir-1-1	16	2.108828	N
hsa-mir-1-2	16	2.108828	N
hsa-mir-100	22970	3027.486068	Y
hsa-mir-101-1	26045	3432.776431	N
hsa-mir-101-2	26210	3454.523719	N
hsa-mir-103a-1	30280	3990.956819	Y
hsa-mir-103a-2	30426	4010.199873	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	523	68.932312	N
hsa-mir-105-2	527	69.459519	N
hsa-mir-106a	220	28.996384	Y
hsa-mir-106b	1288	169.760647	N
hsa-mir-107	191	25.174133	Y
hsa-mir-10a	808	106.495809	N
hsa-mir-10b	201351	26538.413025	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	18	2.372431	N
hsa-mir-1180	98	12.916571	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.263603	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	14	1.845224	N
hsa-mir-1225	1	0.131802	N
hsa-mir-1226	1	0.131802	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.790810	N
hsa-mir-1229	1	0.131802	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	114	15.025399	N
hsa-mir-124-2	118	15.552606	N
hsa-mir-124-3	120	15.816209	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	1.581621	N
hsa-mir-1248	2	0.263603	N
hsa-mir-1249	17	2.240630	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	57	7.512699	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.263603	N
hsa-mir-1255a	1	0.131802	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.263603	N
hsa-mir-125a	1873	246.864667	N
hsa-mir-125b-1	5698	751.006339	N
hsa-mir-125b-2	5945	783.561370	N
hsa-mir-126	12669	1669.796299	N
hsa-mir-1260a	1	0.131802	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.790810	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.131802	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.922612	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.263603	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1963	258.726824	N
hsa-mir-1270	15	1.977026	N
hsa-mir-1271	48	6.326484	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.922612	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
