miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81517	12861.693211	N
hsa-let-7a-2	81245	12818.777248	Y
hsa-let-7a-3	81382	12840.393009	N
hsa-let-7b	122535	19333.483539	N
hsa-let-7c	48618	7670.912823	Y
hsa-let-7d	2474	390.345928	N
hsa-let-7e	9978	1574.321612	N
hsa-let-7f-1	19665	3102.729455	N
hsa-let-7f-2	19930	3144.540963	N
hsa-let-7g	4377	690.599889	N
hsa-let-7i	2594	409.279441	N
hsa-mir-1-1	44	6.942288	N
hsa-mir-1-2	55	8.677860	N
hsa-mir-100	77502	12228.209420	Y
hsa-mir-101-1	67201	10602.925102	N
hsa-mir-101-2	67342	10625.171979	N
hsa-mir-103a-1	50632	7988.680284	Y
hsa-mir-103a-2	50820	8018.342787	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	269	42.442625	N
hsa-mir-105-2	266	41.969287	N
hsa-mir-106a	120	18.933513	Y
hsa-mir-106b	2154	339.856560	N
hsa-mir-107	455	71.789570	Y
hsa-mir-10a	581	91.669759	N
hsa-mir-10b	481	75.891832	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	2.208910	N
hsa-mir-1180	424	66.898413	N
hsa-mir-1181	1	0.157779	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.104455	N
hsa-mir-1185-2	2	0.315559	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.631117	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.157779	N
hsa-mir-1224	128	20.195747	N
hsa-mir-1225	2	0.315559	N
hsa-mir-1226	10	1.577793	N
hsa-mir-1227	3	0.473338	N
hsa-mir-1228	12	1.893351	N
hsa-mir-1229	25	3.944482	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1516	239.193382	N
hsa-mir-124-2	1479	233.355549	N
hsa-mir-124-3	1502	236.984472	N
hsa-mir-1243	1	0.157779	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	50	7.888964	N
hsa-mir-1248	3	0.473338	N
hsa-mir-1249	165	26.033580	N
hsa-mir-1250	6	0.946676	N
hsa-mir-1251	241	38.024805	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	21	3.313365	N
hsa-mir-125a	4827	761.600563	N
hsa-mir-125b-1	12637	1993.856706	N
hsa-mir-125b-2	13241	2089.155389	N
hsa-mir-126	14194	2239.519038	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.157779	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.315559	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.788896	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.946676	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	22	3.471144	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	14192	2239.203480	N
hsa-mir-1270	8	1.262234	N
hsa-mir-1271	92	14.515693	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.315559	N
hsa-mir-1276	3	0.473338	N
hsa-mir-1277	8	1.262234	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	10965	1730.049757	N
hsa-mir-128-2	8139	1284.165524	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	164	25.875801	N
hsa-mir-1288	3	0.473338	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4055	639.794963	N
hsa-mir-129-2	4413	696.279943	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.315559	N
hsa-mir-1292	2	0.315559	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.315559	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	238	37.551468	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	99	15.620148	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	120	18.933513	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.473338	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	127	20.037968	N
hsa-mir-1307	7590	1197.544702	N
hsa-mir-130a	513	80.940768	N
hsa-mir-130b	289	45.598211	N
hsa-mir-132	2741	432.472994	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	70	11.044549	Y
hsa-mir-133a-2	66	10.413432	Y
hsa-mir-133b	19	2.997806	Y
hsa-mir-134	3070	484.382376	N
hsa-mir-1343	24	3.786703	N
hsa-mir-135a-1	174	27.453594	N
hsa-mir-135a-2	81	12.780121	N
hsa-mir-135b	5	0.788896	N
hsa-mir-136	1521	239.982278	N
hsa-mir-137	722	113.916637	N
hsa-mir-138-1	237	37.393688	N
hsa-mir-138-2	150	23.666891	N
hsa-mir-139	7344	1158.731000	N
hsa-mir-140	13515	2132.386910	N
hsa-mir-141	6	0.946676	N
hsa-mir-142	3905	616.128071	N
hsa-mir-143	204825	32317.140131	N
hsa-mir-144	1237	195.172964	N
hsa-mir-145	5715	901.708560	N
hsa-mir-1468	80	12.622342	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	185	29.189166	N
hsa-mir-146b	1895	298.991727	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	9045	1427.113548	N
hsa-mir-148b	884	139.476880	N
hsa-mir-149	1419	223.888792	N
hsa-mir-150	1005	158.568172	N
hsa-mir-151a	7668	1209.851486	N
hsa-mir-151b	22	3.471144	N
hsa-mir-152	1191	187.915117	N
hsa-mir-153-1	215	33.922544	N
hsa-mir-153-2	2653	418.588418	N
hsa-mir-1537	1	0.157779	N
hsa-mir-1538	2	0.315559	N
hsa-mir-1539	1	0.157779	N
hsa-mir-154	143	22.562436	N
hsa-mir-155	254	40.075936	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1135	179.079478	N
hsa-mir-15b	513	80.940768	N
hsa-mir-16-1	1583	249.764593	N
hsa-mir-16-2	1523	240.297837	N
hsa-mir-17	3330	525.404988	Y
hsa-mir-181a-1	31217	4925.395647	N
hsa-mir-181a-2	54141	8542.327762	N
hsa-mir-181b-1	5978	943.204510	N
hsa-mir-181b-2	5824	918.906501	N
hsa-mir-181c	3969	626.225945	N
hsa-mir-181d	488	76.996287	N
hsa-mir-182	41552	6556.044461	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	10967	1730.365316	N
hsa-mir-184	150	23.666891	N
hsa-mir-185	575	90.723083	N
hsa-mir-186	787	124.172290	N
hsa-mir-187	74	11.675666	N
hsa-mir-188	19	2.997806	N
hsa-mir-18a	41	6.468950	N
hsa-mir-18b	1	0.157779	N
hsa-mir-1908	1	0.157779	N
hsa-mir-1909	1	0.157779	N
hsa-mir-190a	28	4.417820	N
hsa-mir-190b	1	0.157779	N
hsa-mir-191	2162	341.118794	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	2	0.315559	N
hsa-mir-1912	18	2.840027	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.157779	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	5059	798.205355	Y
hsa-mir-193a	381	60.113904	N
hsa-mir-193b	226	35.658116	N
hsa-mir-194-1	440	69.422881	N
hsa-mir-194-2	481	75.891832	N
hsa-mir-195	598	94.352007	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	13	2.051131	N
hsa-mir-197	3355	529.349470	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	47	7.415626	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	474	74.787377	Y
hsa-mir-199a-2	774	122.121159	Y
hsa-mir-199b	949	149.732533	Y
hsa-mir-19a	134	21.142423	N
hsa-mir-19b-1	368	58.062773	N
hsa-mir-19b-2	313	49.384913	N
hsa-mir-200a	17	2.682248	N
hsa-mir-200b	21	3.313365	N
hsa-mir-200c	44	6.942288	N
hsa-mir-202	12	1.893351	N
hsa-mir-203a	2231	352.005564	N
hsa-mir-203b	55	8.677860	N
hsa-mir-204	352	55.538305	N
hsa-mir-205	2	0.315559	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	6	0.946676	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	4	0.631117	N
hsa-mir-20a	1813	286.053827	N
hsa-mir-20b	633	99.874281	N
hsa-mir-21	107776	17004.819210	N
hsa-mir-210	1537	242.506747	N
hsa-mir-211	38	5.995612	N
hsa-mir-2110	16	2.524468	N
hsa-mir-2113	3	0.473338	N
hsa-mir-2114	6	0.946676	N
hsa-mir-2115	7	1.104455	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	101	15.935707	N
hsa-mir-214	4	0.631117	N
hsa-mir-215	7	1.104455	Y
hsa-mir-216a	25	3.944482	N
hsa-mir-216b	19	2.997806	N
hsa-mir-217	929	146.576947	N
hsa-mir-218-1	563	88.829732	N
hsa-mir-218-2	553	87.251939	N
hsa-mir-219a-1	485	76.522949	N
hsa-mir-219a-2	32150	5072.603711	N
hsa-mir-219b	1	0.157779	N
hsa-mir-22	308810	48723.818107	N
hsa-mir-221	593	93.563110	N
hsa-mir-222	120	18.933513	N
hsa-mir-223	330	52.067161	N
hsa-mir-224	5	0.788896	N
hsa-mir-2276	1	0.157779	N
hsa-mir-2277	7	1.104455	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	250	39.444819	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5130	809.407684	Y
hsa-mir-23b	3729	588.358919	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1401	221.048765	N
hsa-mir-24-2	1429	225.466585	N
