miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	23652	5060.993185	N
hsa-let-7a-2	23480	5024.189074	N
hsa-let-7a-3	23714	5074.259783	N
hsa-let-7b	24505	5243.515897	N
hsa-let-7c	20175	4316.993806	N
hsa-let-7d	1341	286.943678	N
hsa-let-7e	8241	1763.387656	N
hsa-let-7f-1	13054	2793.260825	N
hsa-let-7f-2	13502	2889.122695	N
hsa-let-7g	1365	292.079135	N
hsa-let-7i	1541	329.739155	N
hsa-mir-1-1	5	1.069887	N
hsa-mir-1-2	6	1.283864	N
hsa-mir-100	31236	6683.797696	N
hsa-mir-101-1	13704	2932.346127	N
hsa-mir-101-2	13773	2947.110567	N
hsa-mir-103a-1	46215	9888.964994	Y
hsa-mir-103a-2	46145	9873.986576	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	65	13.908530	N
hsa-mir-105-2	69	14.764440	N
hsa-mir-106a	88	18.830010	Y
hsa-mir-106b	568	121.539156	N
hsa-mir-107	216	46.219116	Y
hsa-mir-10a	2502	535.371425	N
hsa-mir-10b	32190	6887.932125	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.641932	N
hsa-mir-1180	69	14.764440	N
hsa-mir-1181	1	0.213977	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.427955	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.427955	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.213977	N
hsa-mir-1224	8	1.711819	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.283864	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.925796	N
hsa-mir-1229	1	0.213977	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.213977	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	54	11.554779	N
hsa-mir-124-2	61	13.052621	N
hsa-mir-124-3	47	10.056937	N
hsa-mir-1243	1	0.213977	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.641932	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	2.353751	N
hsa-mir-1248	7	1.497842	N
hsa-mir-1249	12	2.567729	N
hsa-mir-1250	1	0.213977	N
hsa-mir-1251	19	4.065570	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.213977	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.213977	N
hsa-mir-125a	7883	1686.783751	N
hsa-mir-125b-1	4716	1009.117363	N
hsa-mir-125b-2	4932	1055.336478	N
hsa-mir-126	5983	1280.226713	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.283864	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.641932	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	40	8.559096	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
