miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	92907	12203.138978	N
hsa-let-7a-2	92853	12196.046192	Y
hsa-let-7a-3	93121	12231.247428	N
hsa-let-7b	119012	15631.975805	N
hsa-let-7c	83145	10920.920817	Y
hsa-let-7d	5596	735.022826	N
hsa-let-7e	16299	2140.839358	N
hsa-let-7f-1	32660	4289.822285	N
hsa-let-7f-2	32684	4292.974634	N
hsa-let-7g	6801	893.297041	N
hsa-let-7i	4508	592.116315	N
hsa-mir-1-1	100	13.134790	N
hsa-mir-1-2	122	16.024443	N
hsa-mir-100	73980	9717.117350	Y
hsa-mir-101-1	147417	19362.912792	N
hsa-mir-101-2	148084	19450.521839	N
hsa-mir-103a-1	164844	21651.912576	Y
hsa-mir-103a-2	166016	21805.852311	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	687	90.236005	N
hsa-mir-105-2	779	102.320011	N
hsa-mir-106a	211	27.714406	Y
hsa-mir-106b	4068	534.323241	N
hsa-mir-107	2144	281.609889	Y
hsa-mir-10a	894	117.425019	N
hsa-mir-10b	13185	1731.822009	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	56	7.355482	N
hsa-mir-1180	1481	194.526234	N
hsa-mir-1181	3	0.394044	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	22	2.889654	N
hsa-mir-1185-2	26	3.415045	N
hsa-mir-1193	1	0.131348	N
hsa-mir-1197	25	3.283697	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	6	0.788087	N
hsa-mir-1224	492	64.623165	N
hsa-mir-1225	21	2.758306	N
hsa-mir-1226	24	3.152350	N
hsa-mir-1227	4	0.525392	N
hsa-mir-1228	19	2.495610	N
hsa-mir-1229	66	8.668961	N
hsa-mir-1231	2	0.262696	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.131348	N
hsa-mir-1237	1	0.131348	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	12489	1640.403874	N
hsa-mir-124-2	12664	1663.389756	N
hsa-mir-124-3	12401	1628.845259	N
hsa-mir-1243	7	0.919435	N
hsa-mir-1244-1	0	0.000000	N
