miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	106510	12199.643483	N
hsa-let-7a-2	106839	12237.327106	Y
hsa-let-7a-3	106599	12209.837533	N
hsa-let-7b	63984	7328.720201	N
hsa-let-7c	79594	9116.687855	Y
hsa-let-7d	3269	374.430894	N
hsa-let-7e	14325	1640.783897	N
hsa-let-7f-1	36440	4173.833523	N
hsa-let-7f-2	36919	4228.698129	N
hsa-let-7g	5776	661.582394	N
hsa-let-7i	3291	376.950772	N
hsa-mir-1-1	8	0.916319	N
hsa-mir-1-2	6	0.687239	N
hsa-mir-100	259589	29733.295016	Y
hsa-mir-101-1	85120	9749.635276	N
hsa-mir-101-2	86388	9894.871854	N
hsa-mir-103a-1	57797	6620.061913	Y
hsa-mir-103a-2	57793	6619.603754	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	529	60.591601	N
hsa-mir-105-2	493	56.468165	N
hsa-mir-106a	158	18.097302	Y
hsa-mir-106b	2672	306.050581	N
hsa-mir-107	332	38.027243	Y
hsa-mir-10a	1436	164.479279	N
hsa-mir-10b	359383	41163.688610	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.343620	N
hsa-mir-1180	307	35.163746	N
hsa-mir-1181	1	0.114540	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.114540	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.114540	N
hsa-mir-1225	1	0.114540	N
hsa-mir-1226	15	1.718098	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.259939	N
hsa-mir-1229	2	0.229080	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.114540	N
hsa-mir-124-1	33	3.779816	N
hsa-mir-124-2	29	3.321657	N
hsa-mir-124-3	31	3.550737	N
hsa-mir-1243	4	0.458160	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	33	3.779816	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	41	4.696135	N
hsa-mir-1250	4	0.458160	N
hsa-mir-1251	113	12.943007	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.687239	N
hsa-mir-1254-2	3	0.343620	N
hsa-mir-1255a	2	0.229080	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6213	711.636325	N
hsa-mir-125b-1	30942	3544.093218	N
hsa-mir-125b-2	32041	3669.972555	N
hsa-mir-126	7867	901.085300	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.114540	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	24	2.748957	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.687239	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	2	0.229080	N
hsa-mir-127	852	97.587985	N
hsa-mir-1270	3	0.343620	N
hsa-mir-1271	75	8.590492	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.458160	N
hsa-mir-1276	7	0.801779	N
hsa-mir-1277	6	0.687239	N
hsa-mir-1278	1	0.114540	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8362	957.782544	N
hsa-mir-128-2	5164	591.483982	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.229080	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.114540	N
hsa-mir-1287	119	13.630247	N
hsa-mir-1288	3	0.343620	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	285	32.643868	N
hsa-mir-129-2	324	37.110924	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	0.801779	N
hsa-mir-1292	2	0.229080	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.114540	N
hsa-mir-1295a	1	0.114540	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	260	29.780371	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.229080	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	67	7.674173	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.114540	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.343620	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	149	17.066443	N
hsa-mir-1307	5250	601.334413	N
hsa-mir-130a	363	41.577979	N
hsa-mir-130b	170	19.471781	N
hsa-mir-132	800	91.631910	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.343620	N
hsa-mir-133a-2	6	0.687239	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	191	21.877119	N
hsa-mir-1343	13	1.489019	N
hsa-mir-135a-1	285	32.643868	N
hsa-mir-135a-2	185	21.189879	N
hsa-mir-135b	1	0.114540	N
