miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	62907	5519.906349	N
hsa-let-7a-2	63233	5548.511901	Y
hsa-let-7a-3	63495	5571.501640	N
hsa-let-7b	121811	10688.561087	N
hsa-let-7c	143529	12594.252443	Y
hsa-let-7d	4322	379.242934	N
hsa-let-7e	9175	805.079574	N
hsa-let-7f-1	13375	1173.617362	N
hsa-let-7f-2	13281	1165.369136	N
hsa-let-7g	2916	255.870522	N
hsa-let-7i	5836	512.092032	N
hsa-mir-1-1	10	0.877471	N
hsa-mir-1-2	9	0.789724	N
hsa-mir-100	89069	7815.545784	Y
hsa-mir-101-1	68597	6019.187306	N
hsa-mir-101-2	69971	6139.751811	N
hsa-mir-103a-1	111362	9771.691717	Y
hsa-mir-103a-2	111409	9775.815831	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	129	11.319375	N
hsa-mir-105-2	129	11.319375	N
hsa-mir-106a	120	10.529651	Y
hsa-mir-106b	2956	259.380405	N
hsa-mir-107	416	36.502790	Y
hsa-mir-10a	875	76.778706	N
hsa-mir-10b	52096	4571.272532	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.263241	N
hsa-mir-1180	1120	98.276744	N
hsa-mir-1181	4	0.350988	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.175494	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.175494	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	13	1.140712	N
hsa-mir-1225	1	0.087747	N
hsa-mir-1226	32	2.807907	N
hsa-mir-1227	1	0.087747	N
hsa-mir-1228	11	0.965218	N
hsa-mir-1229	11	0.965218	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.087747	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	93	8.160480	N
hsa-mir-124-2	90	7.897238	N
hsa-mir-124-3	98	8.599215	N
hsa-mir-1243	9	0.789724	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	13	1.140712	N
hsa-mir-1248	4	0.350988	N
hsa-mir-1249	65	5.703561	N
hsa-mir-1250	6	0.526483	N
hsa-mir-1251	449	39.398445	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.175494	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.263241	N
hsa-mir-1255b-1	0	0.000000	N
