miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	47575	4862.270751	N
hsa-let-7a-2	47927	4898.245934	Y
hsa-let-7a-3	48480	4954.763763	N
hsa-let-7b	64752	6617.798333	N
hsa-let-7c	41069	4197.343090	Y
hsa-let-7d	2524	257.958410	N
hsa-let-7e	5722	584.801119	N
hsa-let-7f-1	10590	1082.321540	N
hsa-let-7f-2	10803	1104.090613	N
hsa-let-7g	4858	496.498399	N
hsa-let-7i	2991	305.686849	N
hsa-mir-1-1	25	2.555056	N
hsa-mir-1-2	29	2.963864	N
hsa-mir-100	51770	5291.009076	N
hsa-mir-101-1	40243	4112.924054	N
hsa-mir-101-2	40009	4089.008733	N
hsa-mir-103a-1	48873	4994.929237	Y
hsa-mir-103a-2	48644	4971.524928	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	274	28.003409	N
hsa-mir-105-2	284	29.025431	N
hsa-mir-106a	123	12.570873	Y
hsa-mir-106b	2882	294.546806	N
hsa-mir-107	263	26.879185	Y
hsa-mir-10a	352	35.975182	N
hsa-mir-10b	1563	159.742074	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	1.430831	N
hsa-mir-1180	287	29.332038	N
hsa-mir-1181	1	0.102202	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.408809	N
hsa-mir-1185-2	4	0.408809	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	11	1.124224	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.102202	N
hsa-mir-1224	69	7.051953	N
hsa-mir-1225	3	0.306607	N
hsa-mir-1226	21	2.146247	N
hsa-mir-1227	2	0.204404	N
hsa-mir-1228	12	1.226427	N
hsa-mir-1229	12	1.226427	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.102202	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1143	116.817141	N
hsa-mir-124-2	1176	120.189814	N
hsa-mir-124-3	1159	118.452376	N
hsa-mir-1243	4	0.408809	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	15	1.533033	N
hsa-mir-1248	4	0.408809	N
hsa-mir-1249	107	10.935638	N
hsa-mir-1250	3	0.306607	N
hsa-mir-1251	14	1.430831	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.102202	N
hsa-mir-1254-2	1	0.102202	N
hsa-mir-1255a	11	1.124224	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	13	1.328629	N
hsa-mir-125a	3589	366.803778	N
hsa-mir-125b-1	17706	1809.592558	N
hsa-mir-125b-2	17979	1837.493764	N
hsa-mir-126	9997	1021.715622	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.430831	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.306607	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	25	2.555056	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.204404	N
hsa-mir-1269b	2	0.204404	N
hsa-mir-127	8289	847.154225	N
hsa-mir-1270	42	4.292493	N
hsa-mir-1271	26	2.657258	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.204404	N
hsa-mir-1276	3	0.306607	N
hsa-mir-1277	8	0.817618	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6696	684.346084	N
hsa-mir-128-2	4202	429.453740	N
hsa-mir-1281	1	0.102202	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.204404	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	35	3.577078	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.102202	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1432	146.353583	N
hsa-mir-129-2	1735	177.320857	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.408809	N
hsa-mir-1292	1	0.102202	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.102202	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	641	65.511625	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	55	5.621122	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	93	9.504807	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	98	10.015818	N
hsa-mir-1307	5048	515.916821	N
hsa-mir-130a	706	72.154769	N
hsa-mir-130b	276	28.207814	N
hsa-mir-132	1290	131.840867	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	41	4.190291	Y
hsa-mir-133a-2	44	4.496898	Y
hsa-mir-133b	7	0.715416	Y
hsa-mir-134	3384	345.852322	N
hsa-mir-1343	14	1.430831	N
hsa-mir-135a-1	318	32.500307	N
hsa-mir-135a-2	214	21.871276	N
hsa-mir-135b	3	0.306607	N
hsa-mir-136	441	45.071180	N
hsa-mir-137	247	25.243949	N
hsa-mir-138-1	134	13.695098	N
hsa-mir-138-2	97	9.913616	N
hsa-mir-139	2721	278.092248	N
hsa-mir-140	6387	652.765597	N
hsa-mir-141	13	1.328629	N
hsa-mir-142	1608	164.341174	N
hsa-mir-143	42499	4343.492268	N
hsa-mir-144	901	92.084203	N
hsa-mir-145	2466	252.030682	N
hsa-mir-1468	13	1.328629	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	81	8.278380	N
hsa-mir-146b	471	48.137247	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.204404	N
hsa-mir-148a	1241	126.832959	N
hsa-mir-148b	663	67.760074	N
hsa-mir-149	1984	202.769210	N
hsa-mir-150	468	47.830640	N
hsa-mir-151a	5079	519.085090	N
hsa-mir-151b	12	1.226427	N
hsa-mir-152	791	80.841958	N
hsa-mir-153-1	326	33.317925	N
hsa-mir-153-2	2736	279.625282	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	93	9.504807	N
hsa-mir-155	196	20.031636	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	894	91.368787	N
hsa-mir-15b	609	62.241154	N
hsa-mir-16-1	1424	145.535965	N
hsa-mir-16-2	1438	146.966796	N
hsa-mir-17	3740	382.236313	Y
hsa-mir-181a-1	19542	1997.235839	N
hsa-mir-181a-2	62079	6344.611791	N
hsa-mir-181b-1	2702	276.150406	N
hsa-mir-181b-2	2789	285.041999	N
hsa-mir-181c	3437	351.269040	N
hsa-mir-181d	436	44.560169	N
hsa-mir-182	12878	1316.160226	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3183	325.309675	N
hsa-mir-184	51	5.212313	N
hsa-mir-185	287	29.332038	N
hsa-mir-186	1058	108.129952	N
hsa-mir-187	51	5.212313	N
hsa-mir-188	7	0.715416	N
hsa-mir-18a	45	4.599100	N
hsa-mir-18b	4	0.408809	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	25	2.555056	N
hsa-mir-190b	1	0.102202	N
hsa-mir-191	3998	408.604487	N
hsa-mir-1910	3	0.306607	N
hsa-mir-1911	2	0.204404	N
hsa-mir-1912	7	0.715416	N
hsa-mir-1913	1	0.102202	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
