miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	127851	12527.116562	N
hsa-let-7a-2	128147	12556.119280	Y
hsa-let-7a-3	128344	12575.421764	N
hsa-let-7b	184836	18110.629692	N
hsa-let-7c	129254	12664.585526	Y
hsa-let-7d	2318	227.122636	N
hsa-let-7e	13930	1364.891426	N
hsa-let-7f-1	35626	3490.712271	N
hsa-let-7f-2	35970	3524.418133	N
hsa-let-7g	4486	439.547950	N
hsa-let-7i	6594	646.094333	N
hsa-mir-1-1	7	0.685875	N
hsa-mir-1-2	7	0.685875	N
hsa-mir-100	138179	13539.076263	Y
hsa-mir-101-1	40402	3958.675046	N
hsa-mir-101-2	41049	4022.069501	N
hsa-mir-103a-1	85950	8421.566264	Y
hsa-mir-103a-2	86681	8493.191220	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	556	54.478078	N
hsa-mir-105-2	540	52.910364	N
hsa-mir-106a	192	18.812574	Y
hsa-mir-106b	3024	296.298038	N
hsa-mir-107	528	51.734578	Y
hsa-mir-10a	320	31.354290	N
hsa-mir-10b	169185	16577.110977	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.195964	N
hsa-mir-1180	349	34.195772	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.097982	N
hsa-mir-1185-2	1	0.097982	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.195964	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	11	1.077804	N
hsa-mir-1225	5	0.489911	N
hsa-mir-1226	26	2.547536	N
hsa-mir-1227	2	0.195964	N
hsa-mir-1228	27	2.645518	N
hsa-mir-1229	8	0.783857	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.097982	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	111	10.876019	N
hsa-mir-124-2	120	11.757859	N
hsa-mir-124-3	136	13.325573	N
hsa-mir-1243	4	0.391929	N
