miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	149248	22307.627577	N
hsa-let-7a-2	149321	22318.538657	Y
hsa-let-7a-3	150220	22452.909350	N
hsa-let-7b	236303	35319.463707	N
hsa-let-7c	116419	17400.780546	Y
hsa-let-7d	2260	337.795068	N
hsa-let-7e	20513	3066.013377	N
hsa-let-7f-1	34771	5197.111643	N
hsa-let-7f-2	35220	5264.222256	N
hsa-let-7g	4132	617.597001	N
hsa-let-7i	4733	707.426574	N
hsa-mir-1-1	16	2.391470	N
hsa-mir-1-2	7	1.046268	N
hsa-mir-100	155526	23245.980426	Y
hsa-mir-101-1	113170	16915.162769	N
hsa-mir-101-2	113433	16954.472549	N
hsa-mir-103a-1	36234	5415.781636	Y
hsa-mir-103a-2	36490	5454.045148	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	48	7.174409	N
hsa-mir-105-2	45	6.726008	N
hsa-mir-106a	98	14.647751	Y
hsa-mir-106b	2434	363.802299	N
hsa-mir-107	329	49.174592	Y
hsa-mir-10a	157	23.466295	N
hsa-mir-10b	26629	3980.152597	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.298934	N
hsa-mir-1180	597	89.231706	N
hsa-mir-1181	3	0.448401	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.149467	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.298934	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	32	4.782939	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	3.587204	N
hsa-mir-1227	2	0.298934	N
hsa-mir-1228	9	1.345202	N
hsa-mir-1229	9	1.345202	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.149467	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	143	21.373759	N
hsa-mir-124-2	155	23.167361	N
hsa-mir-124-3	157	23.466295	N
hsa-mir-1243	1	0.149467	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	17	2.540936	N
hsa-mir-1248	2	0.298934	N
hsa-mir-1249	34	5.081873	N
hsa-mir-1250	2	0.298934	N
hsa-mir-1251	468	69.950483	N
hsa-mir-1252	1	0.149467	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.149467	N
hsa-mir-1254-2	1	0.149467	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.448401	N
hsa-mir-125a	8629	1289.749399	N
hsa-mir-125b-1	16843	2517.470058	N
hsa-mir-125b-2	18001	2690.552664	N
hsa-mir-126	2508	374.862845	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.149467	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.494668	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	11	1.644135	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.896801	N
hsa-mir-1267	1	0.149467	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4369	653.020643	N
hsa-mir-1270	10	1.494668	N
hsa-mir-1271	87	13.003615	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.597867	N
hsa-mir-1276	10	1.494668	N
hsa-mir-1277	8	1.195735	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8536	1275.848983	N
hsa-mir-128-2	6103	912.196151	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.298934	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	322	48.128324	N
hsa-mir-1288	4	0.597867	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	673	100.591186	N
hsa-mir-129-2	638	95.359847	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.597867	N
hsa-mir-1292	3	0.448401	N
hsa-mir-1293	1	0.149467	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.298934	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	74	11.060546	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	212	31.686971	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	96	14.348817	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.149467	N
hsa-mir-1304	5	0.747334	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	121	18.085488	N
hsa-mir-1307	6830	1020.858547	N
hsa-mir-130a	308	46.035788	N
hsa-mir-130b	316	47.231523	N
hsa-mir-132	1309	195.652099	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	14	2.092536	Y
hsa-mir-133a-2	8	1.195735	Y
hsa-mir-133b	5	0.747334	Y
hsa-mir-134	1051	157.089653	N
hsa-mir-1343	10	1.494668	N
hsa-mir-135a-1	181	27.053499	N
hsa-mir-135a-2	182	27.202966	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	502	75.032356	N
hsa-mir-137	82	12.256281	N
hsa-mir-138-1	42	6.277607	N
hsa-mir-138-2	26	3.886138	N
hsa-mir-139	1489	222.556131	N
hsa-mir-140	8362	1249.841752	N
hsa-mir-141	4	0.597867	N
hsa-mir-142	2242	335.104665	N
hsa-mir-143	31763	4747.515375	N
hsa-mir-144	282	42.149650	N
hsa-mir-145	369	55.153266	N
hsa-mir-1468	25	3.736671	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	43	6.427074	N
hsa-mir-146b	881	131.680290	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	5259	786.046134	N
hsa-mir-148b	643	96.107181	N
hsa-mir-149	399	59.637271	N
hsa-mir-150	344	51.416594	N
hsa-mir-151a	9910	1481.216427	N
hsa-mir-151b	14	2.092536	N
hsa-mir-152	2146	320.755848	N
hsa-mir-153-1	33	4.932406	N
hsa-mir-153-2	1291	192.961696	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.448401	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	36	5.380806	N
hsa-mir-155	50	7.473342	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	776	115.986271	N
hsa-mir-15b	209	31.238570	N
hsa-mir-16-1	769	114.940003	N
hsa-mir-16-2	774	115.687337	N
hsa-mir-17	2238	334.506798	Y
hsa-mir-181a-1	29000	4334.538484	N
hsa-mir-181a-2	42620	6370.276904	N
