miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	129520	17127.408773	N
hsa-let-7a-2	130457	17251.315367	Y
hsa-let-7a-3	130570	17266.258211	N
hsa-let-7b	190002	25125.400878	N
hsa-let-7c	133895	17705.948098	Y
hsa-let-7d	2392	316.312244	N
hsa-let-7e	17836	2358.589120	N
hsa-let-7f-1	38961	5152.107576	N
hsa-let-7f-2	39972	5285.799749	N
hsa-let-7g	4286	566.770182	N
hsa-let-7i	4650	614.904654	N
hsa-mir-1-1	5	0.661188	N
hsa-mir-1-2	8	1.057900	N
hsa-mir-100	127639	16878.669923	Y
hsa-mir-101-1	90725	11997.252632	N
hsa-mir-101-2	92460	12226.684799	N
hsa-mir-103a-1	70188	9281.489862	Y
hsa-mir-103a-2	70065	9265.224643	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	292	38.613368	N
hsa-mir-105-2	292	38.613368	N
hsa-mir-106a	124	16.397457	Y
hsa-mir-106b	3056	404.117983	N
hsa-mir-107	532	70.350382	Y
hsa-mir-10a	346	45.754196	N
hsa-mir-10b	2417	319.618183	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.132238	N
hsa-mir-1180	595	78.681348	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.132238	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.132238	N
hsa-mir-1197	1	0.132238	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.396713	N
hsa-mir-1224	16	2.115801	N
hsa-mir-1225	2	0.264475	N
hsa-mir-1226	23	3.041464	N
hsa-mir-1227	1	0.132238	N
hsa-mir-1228	11	1.454613	N
hsa-mir-1229	10	1.322376	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.264475	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.132238	N
hsa-mir-124-1	97	12.827043	N
hsa-mir-124-2	98	12.959281	N
hsa-mir-124-3	113	14.942844	N
hsa-mir-1243	5	0.661188	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	44	5.818453	N
hsa-mir-1248	4	0.528950	N
hsa-mir-1249	126	16.661933	N
hsa-mir-1250	7	0.925663	N
hsa-mir-1251	436	57.655576	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	1	0.132238	N
hsa-mir-1254-1	2	0.264475	N
hsa-mir-1254-2	1	0.132238	N
hsa-mir-1255a	8	1.057900	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.528950	N
hsa-mir-125a	4822	637.649514	N
