miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	78224	9539.647146	N
hsa-let-7a-2	78224	9539.647146	Y
hsa-let-7a-3	79245	9664.161103	N
hsa-let-7b	76966	9386.230342	N
hsa-let-7c	39638	4833.970822	Y
hsa-let-7d	2455	299.394479	N
hsa-let-7e	8959	1092.576432	N
hsa-let-7f-1	20638	2516.864873	N
hsa-let-7f-2	21099	2573.085180	N
hsa-let-7g	3663	446.713636	N
hsa-let-7i	1858	226.588571	N
hsa-mir-1-1	7	0.853671	N
hsa-mir-1-2	7	0.853671	N
hsa-mir-100	28406	3464.195347	Y
hsa-mir-101-1	18278	2229.055923	N
hsa-mir-101-2	18546	2261.739312	N
hsa-mir-103a-1	50977	6216.795262	Y
hsa-mir-103a-2	51309	6257.283640	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	304	37.073695	N
hsa-mir-105-2	320	39.024942	N
hsa-mir-106a	153	18.658801	Y
hsa-mir-106b	3481	424.518201	N
hsa-mir-107	235	28.658942	Y
hsa-mir-10a	239	29.146754	N
hsa-mir-10b	325	39.634707	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.853671	N
hsa-mir-1180	149	18.170989	N
hsa-mir-1181	2	0.243906	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.121953	N
hsa-mir-1185-2	1	0.121953	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.121953	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6	0.731718	N
hsa-mir-1225	1	0.121953	N
hsa-mir-1226	9	1.097577	N
hsa-mir-1227	1	0.121953	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.243906	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.121953	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	165	20.122236	N
hsa-mir-124-2	182	22.195436	N
hsa-mir-124-3	163	19.878330	N
hsa-mir-1243	1	0.121953	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	1.341482	N
hsa-mir-1248	5	0.609765	N
hsa-mir-1249	29	3.536635	N
hsa-mir-1250	1	0.121953	N
hsa-mir-1251	9	1.097577	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.121953	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.243906	N
hsa-mir-125a	3859	470.616414	N
hsa-mir-125b-1	11409	1391.361146	N
hsa-mir-125b-2	11644	1420.020088	N
hsa-mir-126	3240	395.127541	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.097577	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	6	0.731718	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	1.219529	N
hsa-mir-1267	1	0.121953	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2415	294.516361	N
hsa-mir-1270	5	0.609765	N
hsa-mir-1271	48	5.853741	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
