miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	166900	18795.722368	N
hsa-let-7a-2	167138	18822.525136	Y
hsa-let-7a-3	167432	18855.634437	N
hsa-let-7b	182605	20564.367184	N
hsa-let-7c	121741	13710.066129	Y
hsa-let-7d	3459	389.541065	N
hsa-let-7e	20434	2301.209053	N
hsa-let-7f-1	56600	6374.103571	N
hsa-let-7f-2	57043	6423.992756	N
hsa-let-7g	8747	985.058020	N
hsa-let-7i	6119	689.101409	N
hsa-mir-1-1	33	3.716350	N
hsa-mir-1-2	42	4.729900	N
hsa-mir-100	207077	23320.322354	Y
hsa-mir-101-1	124672	14040.145591	N
hsa-mir-101-2	126071	14197.696313	N
hsa-mir-103a-1	90566	10199.241414	Y
hsa-mir-103a-2	91740	10331.453386	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	398	44.821435	N
hsa-mir-105-2	435	48.988252	N
hsa-mir-106a	288	32.433601	Y
hsa-mir-106b	5614	632.229990	N
hsa-mir-107	887	99.890987	Y
hsa-mir-10a	676	76.128870	N
hsa-mir-10b	155104	17467.296119	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	1.238783	N
hsa-mir-1180	672	75.678403	N
hsa-mir-1181	4	0.450467	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.238783	N
hsa-mir-1185-2	6	0.675700	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	14	1.576633	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.337850	N
hsa-mir-1224	73	8.221017	N
hsa-mir-1225	1	0.112617	N
hsa-mir-1226	19	2.139717	N
hsa-mir-1227	1	0.112617	N
hsa-mir-1228	9	1.013550	N
hsa-mir-1229	24	2.702800	N
hsa-mir-1231	2	0.225233	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.225233	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1375	154.847922	N
hsa-mir-124-2	1414	159.239973	N
hsa-mir-124-3	1474	165.996973	N
hsa-mir-1243	10	1.126167	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	60	6.757000	N
hsa-mir-1248	5	0.563083	N
hsa-mir-1249	230	25.901834	N
hsa-mir-1250	9	1.013550	N
hsa-mir-1251	290	32.658835	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.225233	N
hsa-mir-1255a	8	0.900933	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.337850	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.126167	N
hsa-mir-125a	6560	738.765361	N
hsa-mir-125b-1	29831	3359.467909	N
hsa-mir-125b-2	30628	3449.223395	N
hsa-mir-126	12883	1450.840571	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	21	2.364950	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.112617	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	19	2.139717	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.337850	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	18094	2037.686043	N
hsa-mir-1270	4	0.450467	N
hsa-mir-1271	119	13.401384	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
