miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	56993	11975.649044	N
hsa-let-7a-2	56615	11896.221828	Y
hsa-let-7a-3	57439	12069.364755	N
hsa-let-7b	80024	16815.035866	N
hsa-let-7c	54912	11538.379105	Y
hsa-let-7d	2386	501.358037	N
hsa-let-7e	12754	2679.933113	N
hsa-let-7f-1	23185	4871.746058	N
hsa-let-7f-2	23473	4932.262032	N
hsa-let-7g	2689	565.025885	N
hsa-let-7i	2074	435.799065	N
hsa-mir-1-1	8	1.680999	N
hsa-mir-1-2	10	2.101249	N
hsa-mir-100	82994	17439.106851	Y
hsa-mir-101-1	31402	6598.342451	N
hsa-mir-101-2	31839	6690.167037	N
hsa-mir-103a-1	58556	12304.074280	Y
hsa-mir-103a-2	59043	12406.405112	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	50	10.506246	N
hsa-mir-105-2	49	10.296121	N
hsa-mir-106a	146	30.678237	Y
hsa-mir-106b	2400	504.299786	N
hsa-mir-107	349	73.333594	Y
hsa-mir-10a	514	108.004204	N
hsa-mir-10b	123225	25892.642140	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.420250	N
hsa-mir-1180	211	44.336356	N
hsa-mir-1181	1	0.210125	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.210125	N
hsa-mir-1185-2	1	0.210125	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	1.260749	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.210125	N
hsa-mir-1224	46	9.665746	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	2.731624	N
hsa-mir-1227	1	0.210125	N
hsa-mir-1228	7	1.470874	N
hsa-mir-1229	7	1.470874	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.210125	N
hsa-mir-1236	1	0.210125	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	317	66.609597	N
hsa-mir-124-2	305	64.088098	N
hsa-mir-124-3	275	57.784350	N
hsa-mir-1243	4	0.840500	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	19	3.992373	N
hsa-mir-1248	1	0.210125	N
hsa-mir-1249	65	13.658119	N
hsa-mir-1250	4	0.840500	N
hsa-mir-1251	29	6.093622	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.210125	N
hsa-mir-1254-2	2	0.420250	N
hsa-mir-1255a	2	0.420250	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	2.941749	N
hsa-mir-125a	4769	1002.085700	N
hsa-mir-125b-1	11917	2504.058563	N
hsa-mir-125b-2	12204	2564.364412	N
hsa-mir-126	8242	1731.849515	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.630375	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	71	14.918869	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.210125	N
