miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	75174	8498.812242	N
hsa-let-7a-2	75461	8531.259087	Y
hsa-let-7a-3	75926	8583.829759	N
hsa-let-7b	124512	14076.730118	N
hsa-let-7c	86710	9803.017127	Y
hsa-let-7d	1984	224.301534	N
hsa-let-7e	6921	782.455098	N
hsa-let-7f-1	17822	2014.869925	N
hsa-let-7f-2	18093	2045.507887	N
hsa-let-7g	2865	323.903172	N
hsa-let-7i	3453	390.379635	N
hsa-mir-1-1	16	1.808883	N
hsa-mir-1-2	16	1.808883	N
hsa-mir-100	120078	13575.443323	N
hsa-mir-101-1	26253	2968.038388	N
hsa-mir-101-2	26820	3032.140691	N
hsa-mir-103a-1	89175	10081.698216	Y
hsa-mir-103a-2	89043	10066.774928	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	519	58.675653	N
hsa-mir-105-2	526	59.467040	N
hsa-mir-106a	123	13.905791	Y
hsa-mir-106b	1757	198.638001	N
hsa-mir-107	365	41.265151	Y
hsa-mir-10a	230	26.002698	N
hsa-mir-10b	3105	351.036422	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	20	2.261104	N
hsa-mir-1180	343	38.777937	N
hsa-mir-1181	1	0.113055	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.339166	N
hsa-mir-1185-2	1	0.113055	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.339166	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	30	3.391656	N
hsa-mir-1225	5	0.565276	N
hsa-mir-1226	4	0.452221	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.678331	N
hsa-mir-1229	4	0.452221	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.226110	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.113055	N
hsa-mir-124-1	270	30.524906	N
hsa-mir-124-2	248	28.037692	N
hsa-mir-124-3	240	27.133250	N
hsa-mir-1243	1	0.113055	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	18	2.034994	N
hsa-mir-1248	2	0.226110	N
hsa-mir-1249	105	11.870797	N
hsa-mir-1250	3	0.339166	N
hsa-mir-1251	26	2.939435	N
hsa-mir-1252	1	0.113055	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.339166	N
hsa-mir-1254-2	1	0.113055	N
hsa-mir-1255a	2	0.226110	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.226110	N
hsa-mir-125a	3024	341.878950	N
hsa-mir-125b-1	17722	2003.564405	N
hsa-mir-125b-2	18452	2086.094707	N
hsa-mir-126	3456	390.718800	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.226110	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.452221	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.339166	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9555	1080.242517	N
hsa-mir-1270	3	0.339166	N
hsa-mir-1271	48	5.426650	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.226110	N
hsa-mir-1276	3	0.339166	N
hsa-mir-1277	3	0.339166	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6062	685.340674	N
hsa-mir-128-2	3731	421.808983	N
hsa-mir-1281	1	0.113055	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.113055	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	20	2.261104	N
hsa-mir-1288	1	0.113055	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1719	194.341903	N
hsa-mir-129-2	1836	207.569363	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	0.678331	N
hsa-mir-1292	7	0.791386	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	9	1.017497	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	252	28.489913	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	28	3.165546	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	102	11.531631	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	107	12.096907	N
hsa-mir-1307	1873	211.752405	N
hsa-mir-130a	342	38.664881	N
hsa-mir-130b	157	17.749668	N
hsa-mir-132	1669	188.689143	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.113055	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	31	3.504711	Y
hsa-mir-133a-2	24	2.713325	Y
hsa-mir-133b	2	0.226110	Y
hsa-mir-134	2305	260.592256	N
hsa-mir-1343	9	1.017497	N
hsa-mir-135a-1	261	29.507409	N
hsa-mir-135a-2	179	20.236882	N
hsa-mir-135b	14	1.582773	N
hsa-mir-136	352	39.795433	N
hsa-mir-137	949	107.289393	N
hsa-mir-138-1	175	19.784661	N
hsa-mir-138-2	132	14.923288	N
hsa-mir-139	2715	306.944891	N
hsa-mir-140	21224	2399.483745	N
hsa-mir-141	9	1.017497	N
hsa-mir-142	323	36.516832	N
hsa-mir-143	26315	2975.047811	N
hsa-mir-144	279	31.542403	N
hsa-mir-145	884	99.940804	N
hsa-mir-1468	28	3.165546	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	264	29.846575	N
hsa-mir-146b	1629	184.166935	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.113055	N
hsa-mir-148a	1077	121.760460	N
hsa-mir-148b	449	50.761789	N
hsa-mir-149	758	85.695848	N
hsa-mir-150	357	40.360709	N
hsa-mir-151a	8943	1011.052729	N
hsa-mir-151b	14	1.582773	N
hsa-mir-152	752	85.017517	N
hsa-mir-153-1	126	14.244956	N
hsa-mir-153-2	2043	230.971791	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.113055	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	80	9.044417	N
hsa-mir-155	59	6.670257	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1219	137.814299	N
hsa-mir-15b	575	65.006745	N
hsa-mir-16-1	1047	118.368803	N
hsa-mir-16-2	1011	114.298816	N
hsa-mir-17	1705	192.759130	Y
hsa-mir-181a-1	17456	1973.491719	N
hsa-mir-181a-2	29869	3376.846022	N
hsa-mir-181b-1	2004	226.562638	N
hsa-mir-181b-2	2067	233.685116	N
hsa-mir-181c	3267	369.351366	N
hsa-mir-181d	547	61.841199	N
hsa-mir-182	73634	8324.707221	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	16113	1821.658574	N
hsa-mir-184	1301	147.084826	N
hsa-mir-185	280	31.655458	N
hsa-mir-186	342	38.664881	N
hsa-mir-187	7	0.791386	N
hsa-mir-188	8	0.904442	N
hsa-mir-18a	12	1.356663	N
hsa-mir-18b	1	0.113055	N
hsa-mir-1908	2	0.226110	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	19	2.148049	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2671	301.970462	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	5	0.565276	N
hsa-mir-1912	3	0.339166	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2481	280.489972	Y
hsa-mir-193a	374	42.282648	N
hsa-mir-193b	251	28.376857	N
hsa-mir-194-1	371	41.943482	N
hsa-mir-194-2	366	41.378206	N
hsa-mir-195	844	95.418596	N
hsa-mir-196a-1	2	0.226110	N
hsa-mir-196a-2	2	0.226110	N
hsa-mir-196b	6	0.678331	N
hsa-mir-197	3313	374.551906	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	6	0.678331	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	67	7.574699	Y
hsa-mir-199a-2	109	12.323018	Y
hsa-mir-199b	122	13.792735	Y
hsa-mir-19a	79	8.931361	N
hsa-mir-19b-1	233	26.341864	N
hsa-mir-19b-2	197	22.271876	N
hsa-mir-200a	5	0.565276	N
hsa-mir-200b	4	0.452221	N
hsa-mir-200c	67	7.574699	N
hsa-mir-202	1	0.113055	N
hsa-mir-203a	474	53.588169	N
hsa-mir-203b	16	1.808883	N
hsa-mir-204	2800	316.554584	N
hsa-mir-205	2	0.226110	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	10	1.130552	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	3	0.339166	N
hsa-mir-20a	1088	123.004067	N
hsa-mir-20b	314	35.499335	N
hsa-mir-21	53388	6035.791470	N
hsa-mir-210	910	102.880240	N
hsa-mir-211	14	1.582773	N
hsa-mir-2110	8	0.904442	N
hsa-mir-2113	7	0.791386	N
hsa-mir-2114	2	0.226110	N
hsa-mir-2115	8	0.904442	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	45	5.087484	N
hsa-mir-214	3	0.339166	N
hsa-mir-215	3	0.339166	Y
hsa-mir-216a	15	1.695828	N
hsa-mir-216b	26	2.939435	N
hsa-mir-217	1933	218.535718	N
hsa-mir-218-1	142	16.053840	N
hsa-mir-218-2	129	14.584122	N
hsa-mir-219a-1	53	5.991926	N
hsa-mir-219a-2	14118	1596.113433	N
hsa-mir-219b	1	0.113055	N
hsa-mir-22	175336	19822.648033	N
hsa-mir-221	121	13.679680	N
hsa-mir-222	32	3.617767	N
hsa-mir-223	353	39.908489	N
hsa-mir-224	1	0.113055	N
hsa-mir-2276	1	0.113055	N
hsa-mir-2277	3	0.339166	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	189	21.367434	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	2718	307.284057	Y
hsa-mir-23b	1716	194.002738	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1417	160.199230	N
hsa-mir-24-2	1413	159.747010	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	15794	1785.593963	N
hsa-mir-2681	1	0.113055	N
hsa-mir-2682	37	4.183043	N
hsa-mir-26a-1	5925	669.852110	N
hsa-mir-26a-2	5825	658.546589	N
hsa-mir-26b	3387	382.917991	N
hsa-mir-27a	910	102.880240	Y
hsa-mir-27b	3731	421.808983	Y
hsa-mir-28	6519	737.006904	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	6	0.678331	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	38	4.296098	N
hsa-mir-29a	54884	6204.922062	N
hsa-mir-29b-1	1440	162.799500	N
hsa-mir-29b-2	1654	186.993315	N
