miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	90453	9941.715671	N
hsa-let-7a-2	89941	9885.441601	Y
hsa-let-7a-3	90485	9945.232800	N
hsa-let-7b	94955	10436.531807	N
hsa-let-7c	96081	10560.290796	Y
hsa-let-7d	3612	396.995976	N
hsa-let-7e	5749	631.874271	N
hsa-let-7f-1	41190	4527.204941	N
hsa-let-7f-2	41435	4554.132962	N
hsa-let-7g	4439	487.891788	N
hsa-let-7i	3864	424.693370	N
hsa-mir-1-1	19	2.088296	N
hsa-mir-1-2	21	2.308116	N
hsa-mir-100	73381	8065.327161	Y
hsa-mir-101-1	77283	8494.197121	N
hsa-mir-101-2	78189	8593.775846	N
hsa-mir-103a-1	57880	6361.607719	Y
hsa-mir-103a-2	57673	6338.856289	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	113	12.419863	N
hsa-mir-105-2	103	11.320760	N
hsa-mir-106a	121	13.299145	Y
hsa-mir-106b	3378	371.276967	N
hsa-mir-107	477	52.427209	Y
hsa-mir-10a	2512	276.094654	N
hsa-mir-10b	702369	77197.582105	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.219821	N
hsa-mir-1180	340	37.369499	N
hsa-mir-1181	3	0.329731	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.219821	N
hsa-mir-1185-2	2	0.219821	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	19	2.088296	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.659462	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.329731	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.219821	N
hsa-mir-1236	2	0.219821	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	229	25.169457	N
hsa-mir-124-2	190	20.882956	N
hsa-mir-124-3	181	19.893763	N
hsa-mir-1243	3	0.329731	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	22	2.418026	N
hsa-mir-1248	4	0.439641	N
hsa-mir-1249	57	6.264887	N
hsa-mir-1250	2	0.219821	N
hsa-mir-1251	6	0.659462	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.219821	N
hsa-mir-1254-2	1	0.109910	N
hsa-mir-1255a	5	0.549551	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.329731	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.439641	N
hsa-mir-125a	3123	343.249843	N
hsa-mir-125b-1	18475	2030.592651	N
hsa-mir-125b-2	19617	2156.110204	N
hsa-mir-126	5081	558.454195	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	2.198206	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	1.318924	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	3	0.329731	N
hsa-mir-127	2518	276.754116	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	28	3.077488	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	10	1.099103	N
hsa-mir-1276	1	0.109910	N
hsa-mir-1277	5	0.549551	N
hsa-mir-1278	1	0.109910	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5352	588.239884	N
hsa-mir-128-2	3803	417.988842	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	115	12.639684	N
hsa-mir-1288	3	0.329731	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1028	112.987781	N
hsa-mir-129-2	1049	115.295897	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.549551	N
hsa-mir-1292	2	0.219821	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	7	0.769372	N
hsa-mir-1295a	1	0.109910	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	366	40.227167	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	9	0.989193	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	57	6.264887	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	13	1.428834	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	170	18.684750	N
hsa-mir-1307	3393	372.925622	N
hsa-mir-130a	207	22.751431	N
hsa-mir-130b	127	13.958607	N
hsa-mir-132	1036	113.867063	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	14	1.538744	Y
hsa-mir-133a-2	10	1.099103	Y
hsa-mir-133b	5	0.549551	Y
hsa-mir-134	819	90.016529	N
hsa-mir-1343	18	1.978385	N
hsa-mir-135a-1	255	28.027125	N
hsa-mir-135a-2	123	13.518966	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	51	5.605425	N
hsa-mir-137	45	4.945963	N
hsa-mir-138-1	145	15.936992	N
hsa-mir-138-2	62	6.814438	N
hsa-mir-139	1041	114.416614	N
hsa-mir-140	9781	1075.032569	N
hsa-mir-141	13	1.428834	N
hsa-mir-142	2205	242.352195	N
hsa-mir-143	370102	40678.019008	N
hsa-mir-144	4618	507.565730	N
hsa-mir-145	2093	230.042242	N
hsa-mir-1468	57	6.264887	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	87	9.562195	N
hsa-mir-146b	893	98.149891	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	6719	738.487254	N
hsa-mir-148b	499	54.845236	N
hsa-mir-149	333	36.600127	N
hsa-mir-150	691	75.948012	N
hsa-mir-151a	11225	1233.743031	N
hsa-mir-151b	15	1.648654	N
hsa-mir-152	2569	282.359541	N
hsa-mir-153-1	192	21.102776	N
hsa-mir-153-2	2477	272.247794	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.329731	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	13	1.428834	N
hsa-mir-155	187	20.553225	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	541	59.461468	N
hsa-mir-15b	1232	135.409480	N
hsa-mir-16-1	1662	182.670906	N
hsa-mir-16-2	1734	190.584447	N
hsa-mir-17	1762	193.661935	Y
hsa-mir-181a-1	15819	1738.670914	N
hsa-mir-181a-2	33866	3722.221960	N
hsa-mir-181b-1	2069	227.404395	N
hsa-mir-181b-2	1979	217.512468	N
hsa-mir-181c	3368	370.177865	N
hsa-mir-181d	479	52.647030	N
hsa-mir-182	24560	2699.396779	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	7313	803.773968	N
hsa-mir-184	256	28.137035	N
hsa-mir-185	834	91.665184	N
hsa-mir-186	1594	175.197006	N
hsa-mir-187	5	0.549551	N
hsa-mir-188	6	0.659462	N
hsa-mir-18a	28	3.077488	Y
hsa-mir-18b	3	0.329731	Y
hsa-mir-1908	1	0.109910	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	48	5.275694	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2515	276.424385	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.109910	N
hsa-mir-1912	2	0.219821	N
hsa-mir-1913	2	0.219821	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2966	325.993927	Y
hsa-mir-193a	467	51.328107	N
hsa-mir-193b	101	11.100940	N
hsa-mir-194-1	650	71.441690	N
hsa-mir-194-2	696	76.497563	N
hsa-mir-195	1135	124.748182	N
hsa-mir-196a-1	4	0.439641	N
hsa-mir-196a-2	4	0.439641	N
hsa-mir-196b	17	1.868475	N
hsa-mir-197	5701	626.598577	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	27	2.967578	N
hsa-mir-198	0	0.000000	N
