miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31875	2924.886975	N
hsa-let-7a-2	32245	2958.838605	Y
hsa-let-7a-3	33025	3030.412310	N
hsa-let-7b	61491	5642.485490	N
hsa-let-7c	40037	3673.841564	Y
hsa-let-7d	1509	138.467590	N
hsa-let-7e	1454	133.420727	N
hsa-let-7f-1	6433	590.299542	N
hsa-let-7f-2	6538	599.934464	N
hsa-let-7g	1510	138.559352	N
hsa-let-7i	2927	268.584915	N
hsa-mir-1-1	2	0.183522	N
hsa-mir-1-2	1	0.091761	N
hsa-mir-100	30060	2758.340470	Y
hsa-mir-101-1	12224	1121.688420	N
hsa-mir-101-2	12482	1145.362799	N
hsa-mir-103a-1	46610	4276.987668	Y
hsa-mir-103a-2	46898	4303.414882	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	154	14.131219	N
hsa-mir-105-2	167	15.324114	N
hsa-mir-106a	91	8.350266	Y
hsa-mir-106b	1292	118.555419	N
hsa-mir-107	121	11.103100	Y
hsa-mir-10a	453	41.567805	N
hsa-mir-10b	430868	39536.947493	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.091761	N
hsa-mir-1180	158	14.498263	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	18	1.651701	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	0.917612	N
hsa-mir-1227	1	0.091761	N
hsa-mir-1228	3	0.275283	N
hsa-mir-1229	6	0.550567	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.091761	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	70	6.423281	N
hsa-mir-124-2	68	6.239759	N
hsa-mir-124-3	61	5.597431	N
hsa-mir-1243	3	0.275283	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.183522	N
hsa-mir-1248	4	0.367045	N
hsa-mir-1249	28	2.569312	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	74	6.790326	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.367045	N
hsa-mir-1254-2	4	0.367045	N
hsa-mir-1255a	2	0.183522	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	13	1.192895	N
hsa-mir-125a	2457	225.457170	N
hsa-mir-125b-1	7476	686.006432	N
hsa-mir-125b-2	7549	692.704997	N
hsa-mir-126	2664	244.451730	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.009373	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	8	0.734089	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	2	0.183522	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.091761	N
hsa-mir-1269b	1	0.091761	N
hsa-mir-127	2599	238.487255	N
hsa-mir-1270	2	0.183522	N
hsa-mir-1271	30	2.752835	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.091761	N
hsa-mir-1276	2	0.183522	N
hsa-mir-1277	10	0.917612	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2500	229.402900	N
hsa-mir-128-2	1246	114.334405	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.091761	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	31	2.844596	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	221	20.279216	N
hsa-mir-129-2	275	25.234319	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	13	1.192895	N
hsa-mir-1292	4	0.367045	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	224	20.554500	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	129	11.837190	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	199	18.260471	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.091761	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.091761	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	61	5.597431	N
hsa-mir-1307	3098	284.276074	N
hsa-mir-130a	254	23.307335	N
hsa-mir-130b	130	11.928951	N
hsa-mir-132	475	43.586551	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.367045	N
hsa-mir-133a-2	5	0.458806	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	884	81.116865	N
hsa-mir-1343	12	1.101134	N
hsa-mir-135a-1	234	21.472111	N
hsa-mir-135a-2	184	16.884053	N
hsa-mir-135b	1	0.091761	N
hsa-mir-136	105	9.634922	N
hsa-mir-137	86	7.891460	N
hsa-mir-138-1	115	10.552533	N
hsa-mir-138-2	59	5.413908	N
hsa-mir-139	1011	92.770533	N
hsa-mir-140	3799	348.600647	N
hsa-mir-141	2	0.183522	N
hsa-mir-142	2584	237.110837	N
hsa-mir-143	4089	375.211383	N
hsa-mir-144	379	34.777480	N
hsa-mir-145	408	37.438553	N
hsa-mir-1468	36	3.303402	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	196	17.985187	N
hsa-mir-146b	591	54.230846	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	5722	525.057358	N
hsa-mir-148b	422	38.723210	N
hsa-mir-149	670	61.479977	N
hsa-mir-150	153	14.039457	N
hsa-mir-151a	2768	253.994891	N
hsa-mir-151b	1	0.091761	N
