miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	59026	5707.159466	N
hsa-let-7a-2	59314	5735.005871	Y
hsa-let-7a-3	59462	5749.315829	N
hsa-let-7b	80852	7817.491565	N
hsa-let-7c	24036	2324.014585	Y
hsa-let-7d	3285	317.623062	N
hsa-let-7e	5696	550.740018	N
hsa-let-7f-1	11528	1114.629728	N
hsa-let-7f-2	11739	1135.031087	N
hsa-let-7g	3370	325.841619	N
hsa-let-7i	1749	169.108900	N
hsa-mir-1-1	18	1.740400	N
hsa-mir-1-2	14	1.353645	N
hsa-mir-100	52990	5123.545219	Y
hsa-mir-101-1	54431	5262.873935	N
hsa-mir-101-2	54673	5286.272650	N
hsa-mir-103a-1	43627	4218.246976	Y
hsa-mir-103a-2	43775	4232.556934	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	802	77.544504	N
hsa-mir-105-2	805	77.834571	N
hsa-mir-106a	118	11.409291	Y
hsa-mir-106b	2753	266.184563	N
hsa-mir-107	328	31.713962	Y
hsa-mir-10a	190	18.370892	N
hsa-mir-10b	273	26.396072	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	20	1.933778	N
hsa-mir-1180	296	28.619917	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.290067	N
hsa-mir-1185-2	2	0.193378	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.290067	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.096689	N
hsa-mir-1224	91	8.798691	N
hsa-mir-1225	2	0.193378	N
