miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28809	4903.884110	N
hsa-let-7a-2	28903	4919.884842	Y
hsa-let-7a-3	29152	4962.269762	N
hsa-let-7b	59192	10075.695381	N
hsa-let-7c	32133	5469.697251	Y
hsa-let-7d	2412	410.571990	N
hsa-let-7e	2203	374.995893	N
hsa-let-7f-1	5075	863.869341	N
hsa-let-7f-2	5038	857.571181	N
hsa-let-7g	1904	324.099946	N
hsa-let-7i	1672	284.608776	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	3	0.510662	N
hsa-mir-100	9658	1643.990167	N
hsa-mir-101-1	15400	2621.396622	N
hsa-mir-101-2	15720	2675.867201	N
hsa-mir-103a-1	51339	8738.953324	Y
hsa-mir-103a-2	50703	8630.693048	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	582	99.068366	N
hsa-mir-105-2	569	96.855499	N
hsa-mir-106a	119	20.256247	Y
hsa-mir-106b	1107	188.434160	N
hsa-mir-107	173	29.448157	Y
hsa-mir-10a	176	29.958819	N
hsa-mir-10b	529	90.046676	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.170221	N
hsa-mir-1180	223	37.959185	N
hsa-mir-1181	1	0.170221	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.170221	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.340441	N
hsa-mir-1225	3	0.510662	N
hsa-mir-1226	15	2.553308	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.340441	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	28	4.766176	N
hsa-mir-124-2	34	5.787499	N
hsa-mir-124-3	29	4.936396	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	4	0.680882	N
hsa-mir-1249	21	3.574632	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	5	0.851103	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.340441	N
hsa-mir-1254-2	6	1.021323	N
hsa-mir-1255a	1	0.170221	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.170221	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3291	560.195863	N
hsa-mir-125b-1	13304	2264.614329	N
hsa-mir-125b-2	13460	2291.168736	N
hsa-mir-126	4106	698.925619	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.510662	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.680882	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	258	43.916904	N
hsa-mir-1270	10	1.702206	N
hsa-mir-1271	33	5.617278	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.170221	N
hsa-mir-1275	3	0.510662	N
hsa-mir-1276	2	0.340441	N
hsa-mir-1277	3	0.510662	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4607	784.206119	N
hsa-mir-128-2	2548	433.721987	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	5	0.851103	N
hsa-mir-1288	1	0.170221	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	90	15.319850	N
hsa-mir-129-2	82	13.958086	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	7	1.191544	N
hsa-mir-1292	2	0.340441	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	173	29.448157	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.510662	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	112	19.064703	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	86	14.638968	N
hsa-mir-1307	2969	505.384842	N
hsa-mir-130a	316	53.789697	N
hsa-mir-130b	145	24.681981	N
hsa-mir-132	419	71.322415	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.510662	Y
hsa-mir-133a-2	3	0.510662	N
hsa-mir-133b	1	0.170221	Y
hsa-mir-134	74	12.596321	N
hsa-mir-1343	13	2.212867	N
hsa-mir-135a-1	98	16.681615	N
hsa-mir-135a-2	63	10.723895	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	8	1.361764	N
hsa-mir-137	2	0.340441	N
hsa-mir-138-1	205	34.895215	N
hsa-mir-138-2	93	15.830512	N
hsa-mir-139	1180	200.860261	N
hsa-mir-140	6389	1087.539157	N
hsa-mir-141	4	0.680882	N
hsa-mir-142	325	55.321682	N
hsa-mir-143	9980	1698.801188	N
hsa-mir-144	31	5.276837	N
hsa-mir-145	788	134.133801	N
hsa-mir-1468	14	2.383088	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	76	12.936763	N
hsa-mir-146b	188	32.001465	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	1975	336.185606	N
hsa-mir-148b	178	30.299260	N
hsa-mir-149	537	91.408441	N
hsa-mir-150	143	24.341540	N
hsa-mir-151a	3506	596.793283	N
hsa-mir-151b	5	0.851103	N
hsa-mir-152	269	45.789331	N
hsa-mir-153-1	107	18.213600	N
hsa-mir-153-2	1887	321.206197	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.340441	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	1	0.170221	N
hsa-mir-155	84	14.298527	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	706	120.175715	N
hsa-mir-15b	337	57.364329	N
hsa-mir-16-1	759	129.197405	N
hsa-mir-16-2	717	122.048141	N
hsa-mir-17	5161	878.508310	Y
hsa-mir-181a-1	20553	3498.543167	N
hsa-mir-181a-2	39971	6803.885999	N
hsa-mir-181b-1	3300	561.727848	N
hsa-mir-181b-2	3433	584.367182	N
hsa-mir-181c	1466	249.543341	N
hsa-mir-181d	390	66.386018	N
hsa-mir-182	2721	463.170143	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	749	127.495199	N
hsa-mir-184	33	5.617278	N
hsa-mir-185	121	20.596688	N
hsa-mir-186	705	120.005495	N
