miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	110909	14957.266686	N
hsa-let-7a-2	110238	14866.775149	Y
hsa-let-7a-3	110940	14961.447368	N
hsa-let-7b	169660	22880.468366	N
hsa-let-7c	118533	15985.444753	Y
hsa-let-7d	3211	433.037746	N
hsa-let-7e	23067	3110.832039	N
hsa-let-7f-1	34396	4638.669043	N
hsa-let-7f-2	35124	4736.847642	N
hsa-let-7g	3135	422.788332	N
hsa-let-7i	3144	424.002078	N
hsa-mir-1-1	8	1.078886	N
hsa-mir-1-2	15	2.022911	N
hsa-mir-100	127136	17145.651457	Y
hsa-mir-101-1	134125	18088.192972	N
hsa-mir-101-2	134560	18146.857381	N
hsa-mir-103a-1	81904	11045.631740	Y
hsa-mir-103a-2	82261	11093.777014	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	332	44.773756	N
hsa-mir-105-2	329	44.369174	N
hsa-mir-106a	144	19.419943	Y
hsa-mir-106b	4321	582.733136	N
hsa-mir-107	1149	154.954958	Y
hsa-mir-10a	150	20.229107	N
hsa-mir-10b	49445	6668.187895	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	9	1.213746	N
hsa-mir-1180	860	115.980212	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.134861	N
hsa-mir-1185-2	4	0.539443	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.539443	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.269721	N
hsa-mir-1224	52	7.012757	N
hsa-mir-1225	1	0.134861	N
hsa-mir-1226	31	4.180682	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	28	3.776100	N
hsa-mir-1229	5	0.674304	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.134861	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.134861	N
hsa-mir-124-1	469	63.249674	N
hsa-mir-124-2	459	61.901067	N
hsa-mir-124-3	471	63.519395	N
hsa-mir-1243	7	0.944025	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	49	6.608175	N
hsa-mir-1248	8	1.078886	N
hsa-mir-1249	156	21.038271	N
hsa-mir-1250	20	2.697214	N
hsa-mir-1251	466	62.845092	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.134861	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	4	0.539443	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.134861	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.944025	N
hsa-mir-125a	5528	745.510015	N
hsa-mir-125b-1	13756	1855.143952	N
hsa-mir-125b-2	15758	2125.135097	N
hsa-mir-126	3797	512.066123	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	41	5.529289	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	21	2.832075	N
hsa-mir-1267	1	0.134861	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	13	1.753189	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	10189	1374.095793	N
hsa-mir-1270	21	2.832075	N
hsa-mir-1271	90	12.137464	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.269721	N
hsa-mir-1276	13	1.753189	N
hsa-mir-1277	4	0.539443	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11068	1492.638358	N
hsa-mir-128-2	8391	1131.616233	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.134861	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.269721	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	296	39.918771	N
hsa-mir-1288	2	0.269721	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1769	238.568599	N
hsa-mir-129-2	1861	250.975785	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.404582	N
hsa-mir-1292	4	0.539443	N
hsa-mir-1293	1	0.134861	N
hsa-mir-1294	6	0.809164	N
hsa-mir-1295a	2	0.269721	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	290	39.109606	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	61	8.226503	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	157	21.173132	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
