miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	141743	12925.565039	N
hsa-let-7a-2	141536	12906.688679	Y
hsa-let-7a-3	141330	12887.903508	N
hsa-let-7b	89827	8191.337355	N
hsa-let-7c	49755	4537.165776	Y
hsa-let-7d	3020	275.394245	N
hsa-let-7e	18203	1659.934250	N
hsa-let-7f-1	85165	7766.208889	N
hsa-let-7f-2	87142	7946.491810	N
hsa-let-7g	9214	840.226017	N
hsa-let-7i	3029	276.214956	N
hsa-mir-1-1	161	14.681614	N
hsa-mir-1-2	164	14.955184	N
hsa-mir-100	59207	5399.095047	N
hsa-mir-101-1	59618	5436.574198	N
hsa-mir-101-2	60330	5501.501583	N
hsa-mir-103a-1	125343	11430.046625	Y
hsa-mir-103a-2	125467	11441.354203	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	447	40.761996	N
hsa-mir-105-2	406	37.023200	N
hsa-mir-106a	255	23.253488	Y
hsa-mir-106b	2856	260.439060	N
hsa-mir-107	714	65.109765	Y
hsa-mir-10a	607	55.352419	N
hsa-mir-10b	112979	10302.571644	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	20	1.823803	N
hsa-mir-1180	337	30.731080	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.094282	N
hsa-mir-1185-2	3	0.273570	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	11	1.003092	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.091190	N
hsa-mir-1224	200	18.238029	N
hsa-mir-1225	3	0.273570	N
hsa-mir-1226	8	0.729521	N
hsa-mir-1227	2	0.182380	N
hsa-mir-1228	4	0.364761	N
hsa-mir-1229	16	1.459042	N
hsa-mir-1231	2	0.182380	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.091190	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1862	169.796054	N
hsa-mir-124-2	1868	170.343195	N
hsa-mir-124-3	1794	163.595124	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	23	2.097373	N
hsa-mir-1248	2	0.182380	N
hsa-mir-1249	80	7.295212	N
hsa-mir-1250	5	0.455951	N
hsa-mir-1251	22	2.006183	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	7	0.638331	N
hsa-mir-1255a	10	0.911901	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	32	2.918085	N
hsa-mir-125a	3937	359.015610	N
hsa-mir-125b-1	11619	1059.538321	N
hsa-mir-125b-2	12082	1101.759359	N
hsa-mir-126	12097	1103.127211	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.273570	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.273570	N
hsa-mir-1267	1	0.091190	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.455951	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	12131	1106.227676	N
hsa-mir-1270	27	2.462134	N
hsa-mir-1271	60	5.471409	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.273570	N
hsa-mir-1276	3	0.273570	N
hsa-mir-1277	5	0.455951	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	15606	1423.113438	N
hsa-mir-128-2	9332	850.986454	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.182380	N
hsa-mir-1287	29	2.644514	N
hsa-mir-1288	3	0.273570	N
