miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	373336	34537.467365	N
hsa-let-7a-2	374626	34656.805797	Y
hsa-let-7a-3	374334	34629.792756	N
hsa-let-7b	414465	38342.328121	N
hsa-let-7c	43652	4038.264527	Y
hsa-let-7d	3616	334.517652	N
hsa-let-7e	18132	1677.398800	N
hsa-let-7f-1	78683	7278.996787	N
hsa-let-7f-2	79666	7369.934523	N
hsa-let-7g	5667	524.256508	N
hsa-let-7i	2538	234.791427	N
hsa-mir-1-1	12	1.110125	N
hsa-mir-1-2	13	1.202635	N
hsa-mir-100	41786	3865.640097	Y
hsa-mir-101-1	174567	16149.265181	N
hsa-mir-101-2	175561	16241.220531	N
hsa-mir-103a-1	54703	5060.597096	Y
hsa-mir-103a-2	54598	5050.883502	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1843	170.496690	N
hsa-mir-105-2	1861	172.161878	N
hsa-mir-106a	164	15.171708	Y
hsa-mir-106b	13930	1288.670046	N
hsa-mir-107	1461	135.157713	Y
hsa-mir-10a	1183	109.439818	N
hsa-mir-10b	1177681	108947.755115	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	30	2.775312	N
hsa-mir-1180	266	24.607770	N
hsa-mir-1181	16	1.480167	N
hsa-mir-1182	1	0.092510	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	0.832594	N
hsa-mir-1185-2	2	0.185021	N
hsa-mir-1193	1	0.092510	N
hsa-mir-1197	15	1.387656	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.092510	N
hsa-mir-1224	132	12.211374	N
hsa-mir-1225	2	0.185021	N
hsa-mir-1226	6	0.555062	N
hsa-mir-1227	5	0.462552	N
hsa-mir-1228	7	0.647573	N
hsa-mir-1229	3	0.277531	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.092510	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1579	146.073941	N
hsa-mir-124-2	1634	151.162014	N
hsa-mir-124-3	1680	155.417493	N
hsa-mir-1243	1	0.092510	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	27	2.497781	N
hsa-mir-1247	22	2.035229	N
hsa-mir-1248	10	0.925104	N
hsa-mir-1249	44	4.070458	N
hsa-mir-1250	3	0.277531	N
hsa-mir-1251	17	1.572677	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.277531	N
hsa-mir-1254-2	3	0.277531	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.370042	N
hsa-mir-125a	3667	339.235683	N
hsa-mir-125b-1	15408	1425.400436	N
hsa-mir-125b-2	16552	1531.232348	N
hsa-mir-126	7440	688.277469	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
