miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	127904	15808.035397	N
hsa-let-7a-2	127502	15758.351023	Y
hsa-let-7a-3	127718	15785.047104	N
hsa-let-7b	162176	20043.813708	N
hsa-let-7c	115311	14251.629110	Y
hsa-let-7d	3659	452.226682	N
hsa-let-7e	7978	986.024725	N
hsa-let-7f-1	33783	4175.341348	N
hsa-let-7f-2	34253	4233.430045	N
hsa-let-7g	3947	487.821458	N
hsa-let-7i	5976	738.591596	N
hsa-mir-1-1	11	1.359523	N
hsa-mir-1-2	17	2.101081	N
hsa-mir-100	147654	18248.996580	Y
hsa-mir-101-1	67931	8395.794131	N
hsa-mir-101-2	68065	8412.355589	N
hsa-mir-103a-1	87025	10755.678325	Y
hsa-mir-103a-2	87851	10857.766119	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	209	25.830931	N
hsa-mir-105-2	226	27.932012	N
hsa-mir-106a	98	12.112111	Y
hsa-mir-106b	2355	291.061447	N
hsa-mir-107	922	113.952720	Y
hsa-mir-10a	524	64.762717	N
hsa-mir-10b	221715	27402.415625	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.617965	N
hsa-mir-1180	422	52.156234	N
hsa-mir-1181	1	0.123593	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.494372	N
hsa-mir-1224	7	0.865151	N
hsa-mir-1225	1	0.123593	N
hsa-mir-1226	33	4.078568	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	30	3.707789	N
hsa-mir-1229	1	0.123593	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	3	0.370779	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	176	21.752363	N
hsa-mir-124-2	177	21.875956	N
hsa-mir-124-3	175	21.628770	N
hsa-mir-1243	7	0.865151	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.123593	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	58	7.168392	N
hsa-mir-1248	7	0.865151	N
hsa-mir-1249	32	3.954975	N
hsa-mir-1250	1	0.123593	N
hsa-mir-1251	25	3.089824	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.494372	N
hsa-mir-1254-2	4	0.494372	N
hsa-mir-1255a	5	0.617965	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.123593	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.247186	N
hsa-mir-125a	2501	309.106021	N
hsa-mir-125b-1	17212	2127.282221	N
hsa-mir-125b-2	18823	2326.390498	N
hsa-mir-126	10713	1324.051501	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.247186	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	2.842638	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.123593	N
hsa-mir-1266	1	0.123593	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.370779	N
hsa-mir-1269b	2	0.247186	N
hsa-mir-127	1609	198.861091	N
hsa-mir-1270	6	0.741558	N
hsa-mir-1271	60	7.415578	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.247186	N
hsa-mir-1275	1	0.123593	N
hsa-mir-1276	1	0.123593	N
hsa-mir-1277	9	1.112337	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6865	848.465748	N
hsa-mir-128-2	4862	600.909026	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.247186	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	61	7.539171	N
hsa-mir-1288	4	0.494372	N
hsa-mir-1289-1	1	0.123593	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	214	26.448896	N
hsa-mir-129-2	267	32.999323	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	2	0.247186	N
hsa-mir-1293	11	1.359523	N
hsa-mir-1294	9	1.112337	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	37	4.572940	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	8	0.988744	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	98	12.112111	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.370779	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	107	13.224448	N
hsa-mir-1307	11764	1453.947714	N
hsa-mir-130a	464	57.347139	N
hsa-mir-130b	173	21.381584	N
hsa-mir-132	1293	159.805712	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	21	2.595452	Y
hsa-mir-133a-2	7	0.865151	N
hsa-mir-133b	3	0.370779	Y
hsa-mir-134	358	44.246284	N
hsa-mir-1343	8	0.988744	N
hsa-mir-135a-1	34	4.202161	N
hsa-mir-135a-2	24	2.966231	N
hsa-mir-135b	3	0.370779	N
hsa-mir-136	37	4.572940	N
hsa-mir-137	15	1.853895	N
hsa-mir-138-1	61	7.539171	N
hsa-mir-138-2	40	4.943719	N
hsa-mir-139	1001	123.716564	N
hsa-mir-140	11680	1443.565904	N
hsa-mir-141	6	0.741558	N
hsa-mir-142	16124	1992.813069	N
hsa-mir-143	82538	10201.116662	N
hsa-mir-144	1722	212.827097	N
hsa-mir-145	1158	143.120661	N
hsa-mir-1468	35	4.325754	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	287	35.471183	N
hsa-mir-146b	4209	520.202816	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	16253	2008.756562	N
hsa-mir-148b	1052	130.019806	N
hsa-mir-149	274	33.864474	N
hsa-mir-150	857	105.919176	N
hsa-mir-151a	12317	1522.294627	N
hsa-mir-151b	13	1.606709	N
hsa-mir-152	1456	179.951366	N
hsa-mir-153-1	44	5.438091	N
hsa-mir-153-2	413	51.043897	N
hsa-mir-1537	2	0.247186	N
hsa-mir-1538	4	0.494372	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	16	1.977488	N
hsa-mir-155	459	56.729174	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1225	151.401390	N
hsa-mir-15b	966	119.390810	N
hsa-mir-16-1	1341	165.738174	N
hsa-mir-16-2	1219	150.659832	N
hsa-mir-17	4818	595.470936	Y
hsa-mir-181a-1	16460	2034.340307	N
hsa-mir-181a-2	31799	3930.132893	N
hsa-mir-181b-1	1733	214.186619	N
hsa-mir-181b-2	1677	207.265413	N
hsa-mir-181c	5660	699.536217	N
hsa-mir-181d	574	70.942366	N
hsa-mir-182	3614	446.664998	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1236	152.760912	N
hsa-mir-184	34	4.202161	N
hsa-mir-185	1282	158.446189	N
hsa-mir-186	1938	239.523178	N
hsa-mir-187	55	6.797613	N
hsa-mir-188	37	4.572940	N
hsa-mir-18a	22	2.719045	N
hsa-mir-18b	3	0.370779	N
hsa-mir-1908	2	0.247186	N
hsa-mir-1909	2	0.247186	N
hsa-mir-190a	41	5.067312	N
hsa-mir-190b	1	0.123593	N
hsa-mir-191	2820	348.532179	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.123593	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.123593	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1383	170.929079	Y
hsa-mir-193a	1776	219.501117	N
hsa-mir-193b	329	40.662088	N
hsa-mir-194-1	340	42.021610	N
hsa-mir-194-2	323	39.920530	N
hsa-mir-195	644	79.593873	N
hsa-mir-196a-1	3	0.370779	N
hsa-mir-196a-2	3	0.370779	N
hsa-mir-196b	2100	259.545240	N
hsa-mir-197	5450	673.581693	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	112	13.842413	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	216	26.696082	Y
hsa-mir-199a-2	344	42.515982	Y
hsa-mir-199b	449	55.493244	Y
hsa-mir-19a	83	10.258217	N
hsa-mir-19b-1	268	33.122916	N
hsa-mir-19b-2	222	27.437640	N
hsa-mir-200a	23	2.842638	N
hsa-mir-200b	17	2.101081	N
hsa-mir-200c	97	11.988518	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	94	11.617739	N
hsa-mir-203b	4	0.494372	N
hsa-mir-204	477	58.953847	N
hsa-mir-205	6	0.741558	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
