miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	172064	27151.958908	N
hsa-let-7a-2	171794	27109.352501	Y
hsa-let-7a-3	172804	27268.732025	N
hsa-let-7b	194989	30769.558511	N
hsa-let-7c	68670	10836.229649	Y
hsa-let-7d	2413	380.775042	N
hsa-let-7e	15414	2432.352465	N
hsa-let-7f-1	54876	8659.515628	N
hsa-let-7f-2	55716	8792.068896	N
hsa-let-7g	6345	1001.250577	N
hsa-let-7i	2866	452.259126	N
hsa-mir-1-1	18	2.840427	N
hsa-mir-1-2	19	2.998229	N
hsa-mir-100	104598	16505.722277	Y
hsa-mir-101-1	103504	16333.087426	N
hsa-mir-101-2	104654	16514.559162	N
hsa-mir-103a-1	47919	7561.690528	Y
hsa-mir-103a-2	47580	7508.195816	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	188	29.666684	N
hsa-mir-105-2	165	26.037249	N
hsa-mir-106a	110	17.358166	Y
hsa-mir-106b	3321	524.058813	N
hsa-mir-107	579	91.367074	Y
hsa-mir-10a	217	34.242928	N
hsa-mir-10b	70746	11163.825582	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	25	3.945038	N
hsa-mir-1180	273	43.079812	N
hsa-mir-1181	3	0.473405	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.315603	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.157802	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	57	8.994686	N
hsa-mir-1225	2	0.315603	N
hsa-mir-1226	15	2.367023	N
hsa-mir-1227	1	0.157802	N
hsa-mir-1228	13	2.051420	N
hsa-mir-1229	17	2.682626	N
hsa-mir-1231	1	0.157802	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.315603	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	721	113.774888	N
hsa-mir-124-2	715	112.828079	N
hsa-mir-124-3	689	108.725240	N
hsa-mir-1243	5	0.789008	N
