miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55782	11253.867496	N
hsa-let-7a-2	55676	11232.482283	Y
hsa-let-7a-3	56107	11319.435366	N
hsa-let-7b	61213	12349.557044	N
hsa-let-7c	38731	7813.874403	Y
hsa-let-7d	1388	280.025243	N
hsa-let-7e	8661	1747.333304	N
hsa-let-7f-1	20912	4218.939390	N
hsa-let-7f-2	21064	4249.604979	N
hsa-let-7g	3206	646.801821	N
hsa-let-7i	1400	282.446210	N
hsa-mir-1-1	42	8.473386	N
hsa-mir-1-2	40	8.069892	N
hsa-mir-100	24059	4853.838121	Y
hsa-mir-101-1	40566	8184.080686	N
hsa-mir-101-2	40639	8198.808238	N
hsa-mir-103a-1	54666	11028.717517	Y
hsa-mir-103a-2	54684	11032.348968	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	239	48.217603	N
hsa-mir-105-2	232	46.805372	N
hsa-mir-106a	133	26.832390	Y
hsa-mir-106b	1549	312.506557	N
hsa-mir-107	481	97.040448	Y
hsa-mir-10a	181	36.516260	N
hsa-mir-10b	40804	8232.096542	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	1.008736	N
hsa-mir-1180	423	85.339105	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	1.008736	N
hsa-mir-1185-2	7	1.412231	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.403495	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	0.806989	N
