miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	190228	15862.711512	N
hsa-let-7a-2	190431	15879.639254	Y
hsa-let-7a-3	191626	15979.287782	N
hsa-let-7b	260031	21683.436388	N
hsa-let-7c	124331	10367.699734	Y
hsa-let-7d	2902	241.991656	N
hsa-let-7e	18194	1517.159268	N
hsa-let-7f-1	41259	3440.500948	N
hsa-let-7f-2	42167	3516.217152	N
hsa-let-7g	5458	455.131103	N
hsa-let-7i	4735	394.841658	N
hsa-mir-1-1	22	1.834534	N
hsa-mir-1-2	14	1.167430	N
hsa-mir-100	69288	5777.780113	Y
hsa-mir-101-1	92294	7696.201907	N
hsa-mir-101-2	93442	7791.931204	N
hsa-mir-103a-1	69848	5824.477331	Y
hsa-mir-103a-2	69765	5817.556136	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	450	37.524550	N
hsa-mir-105-2	447	37.274387	N
hsa-mir-106a	109	9.089280	Y
hsa-mir-106b	3528	294.192475	N
hsa-mir-107	470	39.192308	Y
hsa-mir-10a	112	9.339444	N
hsa-mir-10b	112581	9387.892028	N
hsa-mir-1178	1	0.083388	N
hsa-mir-1179	4	0.333552	N
hsa-mir-1180	555	46.280279	N
hsa-mir-1181	2	0.166776	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.166776	N
hsa-mir-1185-2	3	0.250164	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.416939	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	42	3.502291	N
hsa-mir-1225	3	0.250164	N
hsa-mir-1226	13	1.084043	N
hsa-mir-1227	1	0.083388	N
hsa-mir-1228	6	0.500327	N
hsa-mir-1229	15	1.250818	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.083388	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	706	58.871850	N
hsa-mir-124-2	710	59.205402	N
hsa-mir-124-3	700	58.371523	N
hsa-mir-1243	3	0.250164	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	28	2.334861	N
hsa-mir-1248	3	0.250164	N
hsa-mir-1249	128	10.673650	N
hsa-mir-1250	2	0.166776	N
hsa-mir-1251	115	9.589607	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.166776	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.166776	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.083388	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	0.750491	N
hsa-mir-125a	7807	651.009256	N
hsa-mir-125b-1	22531	1878.812546	N
hsa-mir-125b-2	23419	1952.860993	N
hsa-mir-126	6211	517.922184	N
hsa-mir-1260a	1	0.083388	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.250818	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	11	0.917267	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	3	0.250164	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10	0.833879	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	17282	1441.109513	N
hsa-mir-1270	2	0.166776	N
hsa-mir-1271	67	5.586989	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.416939	N
hsa-mir-1276	5	0.416939	N
hsa-mir-1277	1	0.083388	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	15973	1331.954765	N
hsa-mir-128-2	10537	878.658195	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.166776	N
hsa-mir-1285-1	2	0.166776	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	51	4.252782	N
hsa-mir-1288	2	0.166776	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4185	348.978319	N
hsa-mir-129-2	4568	380.915881	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.083388	N
hsa-mir-1292	7	0.583715	N
hsa-mir-1293	1	0.083388	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	263	21.931015	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	167	13.925778	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	171	14.259329	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.166776	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	67	5.586989	N
hsa-mir-1307	7293	608.147881	N
hsa-mir-130a	1108	92.393782	N
hsa-mir-130b	464	38.691981	N
hsa-mir-132	3199	266.757860	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	18	1.500982	Y
hsa-mir-133a-2	18	1.500982	Y
hsa-mir-133b	3	0.250164	Y
hsa-mir-134	3061	255.250331	N
hsa-mir-1343	23	1.917921	N
hsa-mir-135a-1	307	25.600082	N
hsa-mir-135a-2	174	14.509493	N
hsa-mir-135b	3	0.250164	N
hsa-mir-136	1291	107.653766	N
hsa-mir-137	527	43.945418	N
hsa-mir-138-1	210	17.511457	N
hsa-mir-138-2	140	11.674305	N
hsa-mir-139	7694	641.586425	N
hsa-mir-140	15894	1325.367121	N
hsa-mir-141	8	0.667103	N
hsa-mir-142	1603	133.670787	N
hsa-mir-143	34777	2899.980646	N
hsa-mir-144	155	12.925123	N
hsa-mir-145	693	57.787808	N
hsa-mir-1468	40	3.335516	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	59	4.919886	N
hsa-mir-146b	699	58.288135	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	5993	499.743624	N
hsa-mir-148b	649	54.118741	N
hsa-mir-149	830	69.211949	N
hsa-mir-150	365	30.436580	N
hsa-mir-151a	10547	879.492074	N
hsa-mir-151b	12	1.000655	N
hsa-mir-152	649	54.118741	N
hsa-mir-153-1	154	12.841735	N
hsa-mir-153-2	3525	293.942312	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.083388	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	140	11.674305	N
hsa-mir-155	66	5.503601	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1583	132.003030	N
hsa-mir-15b	420	35.022914	N
hsa-mir-16-1	1584	132.086418	N
hsa-mir-16-2	1511	125.999102	N
hsa-mir-17	4528	377.580365	Y
hsa-mir-181a-1	50904	4244.777145	N
hsa-mir-181a-2	76423	6372.752707	N
hsa-mir-181b-1	5527	460.884867	N
hsa-mir-181b-2	5419	451.878975	N
hsa-mir-181c	6564	547.358109	N
hsa-mir-181d	835	69.628888	N
hsa-mir-182	44720	3729.106435	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	12184	1015.998050	N
hsa-mir-184	140	11.674305	N
hsa-mir-185	488	40.693290	N
hsa-mir-186	1159	96.646564	N
hsa-mir-187	20	1.667758	N
hsa-mir-188	9	0.750491	N
hsa-mir-18a	26	2.168085	N
hsa-mir-18b	1	0.083388	N
hsa-mir-1908	2	0.166776	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	30	2.501637	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2847	237.405322	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	8	0.667103	N
hsa-mir-1912	23	1.917921	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.083388	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3661	305.283065	Y
