miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	64364	15973.808156	N
hsa-let-7a-2	64276	15951.968384	Y
hsa-let-7a-3	64720	16062.159963	N
hsa-let-7b	142396	35339.730070	N
hsa-let-7c	33479	8308.792544	Y
hsa-let-7d	2865	711.033503	N
hsa-let-7e	7077	1756.364432	N
hsa-let-7f-1	16215	4024.226264	N
hsa-let-7f-2	16410	4072.621214	N
hsa-let-7g	2786	691.427343	N
hsa-let-7i	2160	536.067143	N
hsa-mir-1-1	14	3.474509	N
hsa-mir-1-2	5	1.240896	N
hsa-mir-100	95179	23621.451223	Y
hsa-mir-101-1	37793	9379.437755	N
hsa-mir-101-2	37756	9370.255123	N
hsa-mir-103a-1	58260	14458.922118	Y
hsa-mir-103a-2	58391	14491.433597	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	77	19.109801	N
hsa-mir-105-2	78	19.357980	N
hsa-mir-106a	112	27.796074	Y
hsa-mir-106b	2648	657.178609	N
hsa-mir-107	586	145.433031	Y
hsa-mir-10a	918	227.828536	N
hsa-mir-10b	165673	41116.598078	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.496358	N
hsa-mir-1180	273	67.752931	N
hsa-mir-1181	1	0.248179	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.744538	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	3	0.744538	N
hsa-mir-1197	6	1.489075	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	12	2.978151	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	4.467226	N
