miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	51269	6168.407177	N
hsa-let-7a-2	51117	6150.119364	N
hsa-let-7a-3	51868	6240.475599	N
hsa-let-7b	86353	10389.523201	N
hsa-let-7c	38711	4657.496933	N
hsa-let-7d	2909	349.995055	N
hsa-let-7e	5896	709.374646	N
hsa-let-7f-1	11893	1430.901062	N
hsa-let-7f-2	11949	1437.638678	N
hsa-let-7g	2833	340.851149	N
hsa-let-7i	1929	232.086786	N
hsa-mir-1-1	13	1.564089	N
hsa-mir-1-2	19	2.285977	N
hsa-mir-100	46892	5641.790348	N
hsa-mir-101-1	41772	5025.779801	N
hsa-mir-101-2	41789	5027.825148	N
hsa-mir-103a-1	63546	7645.509030	Y
hsa-mir-103a-2	63355	7622.528949	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	406	48.847711	N
hsa-mir-105-2	388	46.682049	N
hsa-mir-106a	112	13.475231	Y
hsa-mir-106b	1675	201.526888	N
hsa-mir-107	471	56.668158	Y
hsa-mir-10a	222	26.709832	N
hsa-mir-10b	160751	19340.685836	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	21	2.526606	N
hsa-mir-1180	469	56.427529	N
hsa-mir-1181	1	0.120315	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.443775	N
hsa-mir-1185-2	6	0.721887	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	0.842202	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.240629	N
hsa-mir-1224	127	15.279949	N
hsa-mir-1225	1	0.120315	N
hsa-mir-1226	7	0.842202	N
hsa-mir-1227	2	0.240629	N
hsa-mir-1228	4	0.481258	N
hsa-mir-1229	21	2.526606	N
hsa-mir-1231	1	0.120315	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.120315	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	4	0.481258	N
hsa-mir-124-1	1290	155.205782	N
hsa-mir-124-2	1353	162.785600	N
hsa-mir-124-3	1343	161.582454	N
hsa-mir-1243	1	0.120315	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	28	3.368808	N
hsa-mir-1248	3	0.360944	N
hsa-mir-1249	158	19.009700	N
hsa-mir-1250	8	0.962516	N
hsa-mir-1251	34	4.090695	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.120315	N
hsa-mir-1255a	2	0.240629	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	53	6.376672	N
hsa-mir-125a	3529	424.590082	N
hsa-mir-125b-1	9946	1196.648614	N
hsa-mir-125b-2	10080	1212.770765	N
hsa-mir-126	8328	1001.979656	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.120315	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.601573	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.481258	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.481258	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	17634	2121.626951	N
hsa-mir-1270	2	0.240629	N
hsa-mir-1271	44	5.293841	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.120315	N
hsa-mir-1276	3	0.360944	N
hsa-mir-1277	2	0.240629	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11413	1373.150073	N
hsa-mir-128-2	7634	918.481351	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.240629	N
hsa-mir-1283-2	1	0.120315	N
hsa-mir-1284	1	0.120315	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.120315	N
hsa-mir-1287	130	15.640893	N
hsa-mir-1288	3	0.360944	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2529	304.275522	N
hsa-mir-129-2	2761	332.188500	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.240629	N
hsa-mir-1292	4	0.481258	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	491	59.074449	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	79	9.504850	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	121	14.558062	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.120315	N
hsa-mir-1304	7	0.842202	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	114	13.715860	N
hsa-mir-1307	5266	633.576473	N
hsa-mir-130a	359	43.192927	N
hsa-mir-130b	97	11.670512	N
hsa-mir-132	5643	678.935062	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	38	4.571953	Y
hsa-mir-133a-2	52	6.256357	Y
hsa-mir-133b	3	0.360944	Y
hsa-mir-134	4958	596.519589	N
hsa-mir-1343	32	3.850066	N
hsa-mir-135a-1	125	15.039320	N
hsa-mir-135a-2	104	12.512714	N
hsa-mir-135b	2	0.240629	N
hsa-mir-136	538	64.729233	N
hsa-mir-137	920	110.689395	N
hsa-mir-138-1	282	33.928706	N
hsa-mir-138-2	210	25.266058	N
hsa-mir-139	5811	699.147908	N
hsa-mir-140	10407	1252.113626	N
hsa-mir-141	2	0.240629	N
hsa-mir-142	1506	181.193727	N
hsa-mir-143	29154	3507.650683	N
hsa-mir-144	1924	231.485213	N
hsa-mir-145	1569	188.773545	N
hsa-mir-1468	50	6.015728	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	235	28.273922	N
hsa-mir-146b	1099	132.225701	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.120315	N
hsa-mir-148a	4195	504.719579	N
hsa-mir-148b	561	67.496468	N
hsa-mir-149	2680	322.443021	N
hsa-mir-150	716	86.145225	N
hsa-mir-151a	9832	1182.932754	N
hsa-mir-151b	26	3.128179	N
hsa-mir-152	491	59.074449	N
hsa-mir-153-1	187	22.498823	N
hsa-mir-153-2	2105	253.262149	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	176	21.175363	N
hsa-mir-155	72	8.662648	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	729	87.709314	N
hsa-mir-15b	585	70.384018	N
hsa-mir-16-1	948	114.058203	N
hsa-mir-16-2	935	112.494114	N
hsa-mir-17	2101	252.780891	Y
hsa-mir-181a-1	28052	3375.064037	N
hsa-mir-181a-2	41790	5027.945463	N
hsa-mir-181b-1	4670	561.868995	N
hsa-mir-181b-2	4362	524.812111	N
hsa-mir-181c	3519	423.386937	N
hsa-mir-181d	453	54.502496	N
hsa-mir-182	100262	12062.978416	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	22830	2746.781405	N
hsa-mir-184	60	7.218874	N
hsa-mir-185	416	50.050857	N
hsa-mir-186	638	76.760689	N
hsa-mir-187	29	3.489122	N
hsa-mir-188	2	0.240629	N
hsa-mir-18a	33	3.970380	N
hsa-mir-18b	5	0.601573	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	42	5.053212	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2304	277.204746	N
