miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	47988	6603.139587	N
hsa-let-7a-2	47732	6567.914036	Y
hsa-let-7a-3	48024	6608.093180	N
hsa-let-7b	44799	6164.333800	N
hsa-let-7c	49266	6778.992142	Y
hsa-let-7d	3858	530.860059	N
hsa-let-7e	13864	1907.683738	N
hsa-let-7f-1	26333	3623.415745	N
hsa-let-7f-2	27072	3725.102003	N
hsa-let-7g	5127	705.474216	N
hsa-let-7i	2328	320.332353	N
hsa-mir-1-1	73	10.044786	N
hsa-mir-1-2	73	10.044786	N
hsa-mir-100	38588	5309.701392	N
hsa-mir-101-1	34724	4778.015734	N
hsa-mir-101-2	34992	4814.892482	N
hsa-mir-103a-1	113691	15643.859774	Y
hsa-mir-103a-2	113467	15613.037417	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	450	61.919914	N
hsa-mir-105-2	466	64.121511	N
hsa-mir-106a	103	14.172780	Y
hsa-mir-106b	3016	415.001021	N
hsa-mir-107	884	121.638230	Y
hsa-mir-10a	572	78.707090	N
hsa-mir-10b	387539	53325.292001	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.788798	N
hsa-mir-1180	571	78.569490	N
hsa-mir-1181	2	0.275200	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.100798	N
hsa-mir-1185-2	10	1.375998	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	6	0.825599	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.137600	N
hsa-mir-1224	230	31.647956	N
hsa-mir-1225	2	0.275200	N
hsa-mir-1226	14	1.926397	N
hsa-mir-1227	2	0.275200	N
hsa-mir-1228	6	0.825599	N
hsa-mir-1229	13	1.788798	N
hsa-mir-1231	3	0.412799	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.275200	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2193	301.756379	N
hsa-mir-124-2	2053	282.492406	N
hsa-mir-124-3	2181	300.105181	N
hsa-mir-1243	2	0.275200	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	30	4.127994	N
hsa-mir-1248	3	0.412799	N
hsa-mir-1249	190	26.143964	N
hsa-mir-1250	7	0.963199	N
hsa-mir-1251	50	6.879990	N
hsa-mir-1252	1	0.137600	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.275200	N
hsa-mir-1254-2	1	0.137600	N
hsa-mir-1255a	3	0.412799	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.137600	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	47	6.467191	N
hsa-mir-125a	5851	805.096477	N
hsa-mir-125b-1	17708	2436.617400	N
hsa-mir-125b-2	18100	2490.556525	N
hsa-mir-126	9743	1340.634930	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.825599	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.550399	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	1.788798	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.687999	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	23080	3175.803569	N
hsa-mir-1270	4	0.550399	N
hsa-mir-1271	60	8.255988	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	10	1.375998	N
hsa-mir-1277	5	0.687999	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	19194	2641.090715	N
hsa-mir-128-2	13963	1921.306119	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.137600	N
hsa-mir-1284	3	0.412799	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
