miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	39801	9821.434520	N
hsa-let-7a-2	39679	9791.329372	N
hsa-let-7a-3	40490	9991.454580	N
hsa-let-7b	52914	13057.244446	N
hsa-let-7c	32491	8017.593251	N
hsa-let-7d	1210	298.583849	N
hsa-let-7e	5230	1290.573165	N
hsa-let-7f-1	10894	2688.241694	N
hsa-let-7f-2	11043	2725.009457	N
hsa-let-7g	1649	406.913030	N
hsa-let-7i	1013	249.971437	N
hsa-mir-1-1	2	0.493527	N
hsa-mir-1-2	3	0.740291	N
hsa-mir-100	25608	6319.120002	N
hsa-mir-101-1	14096	3478.378458	N
hsa-mir-101-2	14236	3512.925349	N
hsa-mir-103a-1	37986	9373.558747	Y
hsa-mir-103a-2	37812	9330.621896	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	240	59.223243	N
hsa-mir-105-2	264	65.145567	N
hsa-mir-106a	47	11.597885	Y
hsa-mir-106b	1810	446.641956	N
hsa-mir-107	193	47.625358	Y
hsa-mir-10a	43	10.610831	N
hsa-mir-10b	1289	318.078166	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.493527	N
hsa-mir-1180	206	50.833283	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.246764	N
hsa-mir-1185-2	1	0.246764	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.493527	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.246764	N
hsa-mir-1224	32	7.896432	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.233818	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.740291	N
hsa-mir-1229	6	1.480581	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.246764	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	387	95.497479	N
hsa-mir-124-2	363	89.575155	N
hsa-mir-124-3	395	97.471587	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	1.727345	N
hsa-mir-1248	2	0.493527	N
hsa-mir-1249	55	13.571993	N
hsa-mir-1250	3	0.740291	N
hsa-mir-1251	10	2.467635	N
hsa-mir-1252	0	0.000000	N
