miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	60130	9118.264021	N
hsa-let-7a-2	60432	9164.060058	Y
hsa-let-7a-3	60481	9171.490541	N
hsa-let-7b	56803	8613.749396	N
hsa-let-7c	39286	5957.427579	Y
hsa-let-7d	1900	288.120766	N
hsa-let-7e	7291	1105.625528	N
hsa-let-7f-1	22341	3387.845277	N
hsa-let-7f-2	22723	3445.772715	N
hsa-let-7g	2068	313.596707	N
hsa-let-7i	1096	166.200189	N
hsa-mir-1-1	21	3.184493	N
hsa-mir-1-2	18	2.729565	N
hsa-mir-100	53123	8055.704966	N
hsa-mir-101-1	22725	3446.076000	N
hsa-mir-101-2	22930	3477.162714	N
hsa-mir-103a-1	68530	10392.061090	Y
hsa-mir-103a-2	68220	10345.051913	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	248	37.607342	N
hsa-mir-105-2	264	40.033622	N
hsa-mir-106a	103	15.619178	Y
hsa-mir-106b	1035	156.949996	N
hsa-mir-107	495	75.063042	Y
hsa-mir-10a	322	48.828888	N
hsa-mir-10b	7995	1212.381853	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	14	2.122995	N
hsa-mir-1180	347	52.619950	N
hsa-mir-1181	1	0.151643	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.454928	N
hsa-mir-1185-2	3	0.454928	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.151643	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	100	15.164251	N
hsa-mir-1225	5	0.758213	N
hsa-mir-1226	5	0.758213	N
hsa-mir-1227	1	0.151643	N
hsa-mir-1228	3	0.454928	N
hsa-mir-1229	5	0.758213	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.151643	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.151643	N
hsa-mir-124-1	843	127.834634	N
hsa-mir-124-2	856	129.805987	N
hsa-mir-124-3	852	129.199417	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	19	2.881208	N
hsa-mir-1248	1	0.151643	N
hsa-mir-1249	102	15.467536	N
hsa-mir-1250	1	0.151643	N
hsa-mir-1251	21	3.184493	N
