miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	148138	15826.107469	N
hsa-let-7a-2	147536	15761.793675	Y
hsa-let-7a-3	148443	15858.691699	N
hsa-let-7b	100415	10727.690272	N
hsa-let-7c	44508	4754.947355	Y
hsa-let-7d	2441	260.780680	N
hsa-let-7e	18578	1984.753571	N
hsa-let-7f-1	66422	7096.097627	N
hsa-let-7f-2	68292	7295.876353	N
hsa-let-7g	5561	594.101335	N
hsa-let-7i	2785	297.531419	N
hsa-mir-1-1	36	3.846008	N
hsa-mir-1-2	39	4.166508	N
hsa-mir-100	46068	4921.607682	N
hsa-mir-101-1	25152	2687.077286	N
hsa-mir-101-2	25324	2705.452656	N
hsa-mir-103a-1	72743	7771.392456	Y
hsa-mir-103a-2	72563	7752.162418	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	161	17.200201	N
hsa-mir-105-2	164	17.520701	N
hsa-mir-106a	224	23.930714	Y
hsa-mir-106b	1889	201.808564	N
hsa-mir-107	382	40.810414	Y
hsa-mir-10a	523	55.873943	N
hsa-mir-10b	12234	1307.001571	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	13	1.388836	N
hsa-mir-1180	186	19.871039	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.427334	N
hsa-mir-1185-2	3	0.320501	N
hsa-mir-1193	1	0.106834	N
hsa-mir-1197	5	0.534168	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.213667	N
hsa-mir-1224	63	6.730513	N
hsa-mir-1225	1	0.106834	N
hsa-mir-1226	3	0.320501	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.106834	N
hsa-mir-1229	6	0.641001	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.106834	N
hsa-mir-124-1	595	63.565958	N
hsa-mir-124-2	553	59.078950	N
hsa-mir-124-3	598	63.886459	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	18	1.923004	N
hsa-mir-1248	3	0.320501	N
hsa-mir-1249	52	5.555344	N
hsa-mir-1250	1	0.106834	N
hsa-mir-1251	19	2.029837	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	3	0.320501	N
hsa-mir-1255a	3	0.320501	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.641001	N
hsa-mir-125a	3116	332.893322	N
hsa-mir-125b-1	9030	964.706898	N
hsa-mir-125b-2	9474	1012.140991	N
hsa-mir-126	14977	1600.045981	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.427334	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.213667	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.534168	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.213667	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5834	623.266893	N
hsa-mir-1270	19	2.029837	N
hsa-mir-1271	29	3.098173	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.320501	N
hsa-mir-1276	7	0.747835	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5716	610.660535	N
hsa-mir-128-2	3532	377.336076	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.106834	N
hsa-mir-1284	2	0.213667	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	41	4.380175	N
hsa-mir-1288	1	0.106834	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2317	247.533320	N
hsa-mir-129-2	2612	279.049216	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	0.854668	N
hsa-mir-1292	4	0.427334	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	0.213667	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	274	29.272391	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	47	5.021177	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	122	13.033692	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	0.747835	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	67	7.157847	N
hsa-mir-1307	3432	366.652721	N
hsa-mir-130a	561	59.933618	N
hsa-mir-130b	215	22.969212	N
hsa-mir-132	3020	322.637301	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	27	2.884506	Y
hsa-mir-133a-2	22	2.350338	N
hsa-mir-133b	3	0.320501	Y
hsa-mir-134	1673	178.732518	N
hsa-mir-1343	7	0.747835	N
