miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36759	6132.626494	N
hsa-let-7a-2	37036	6178.839327	Y
hsa-let-7a-3	37080	6186.179994	N
hsa-let-7b	68175	11373.862489	N
hsa-let-7c	57760	9636.293324	Y
hsa-let-7d	1489	248.414833	N
hsa-let-7e	2457	409.909500	N
hsa-let-7f-1	16279	2715.879831	N
hsa-let-7f-2	16420	2739.403331	N
hsa-let-7g	1568	261.594666	N
hsa-let-7i	1923	320.820500	N
hsa-mir-1-1	6	1.001000	N
hsa-mir-1-2	3	0.500500	N
hsa-mir-100	33063	5516.010494	Y
hsa-mir-101-1	18862	3146.810330	N
hsa-mir-101-2	19501	3253.416830	N
hsa-mir-103a-1	49843	8315.473825	Y
hsa-mir-103a-2	50083	8355.513825	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	109	18.184833	N
hsa-mir-105-2	112	18.685333	N
hsa-mir-106a	30	5.005000	Y
hsa-mir-106b	2945	491.324166	N
hsa-mir-107	356	59.392667	Y
hsa-mir-10a	550	91.758333	N
hsa-mir-10b	36631	6111.271827	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.166833	N
hsa-mir-1180	472	78.745333	N
hsa-mir-1181	1	0.166833	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.166833	N
hsa-mir-1185-2	1	0.166833	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.500500	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	36	6.006000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.167833	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.166833	N
hsa-mir-1229	7	1.167833	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.166833	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	371	61.895167	N
hsa-mir-124-2	406	67.734333	N
hsa-mir-124-3	416	69.402667	N
hsa-mir-1243	2	0.333667	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	66	11.011000	N
hsa-mir-1248	2	0.333667	N
hsa-mir-1249	42	7.007000	N
hsa-mir-1250	1	0.166833	N
hsa-mir-1251	32	5.338667	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.333667	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.167833	N
hsa-mir-125a	950	158.491667	N
hsa-mir-125b-1	6544	1091.757332	N
hsa-mir-125b-2	6770	1129.461666	N
hsa-mir-126	1008	168.168000	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	2.168833	N
