miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	150845	17801.014992	N
hsa-let-7a-2	151187	17841.373951	Y
hsa-let-7a-3	153106	18067.832553	N
hsa-let-7b	307138	36244.941117	N
hsa-let-7c	192809	22753.130032	Y
hsa-let-7d	4786	564.789405	N
hsa-let-7e	14319	1689.765877	N
hsa-let-7f-1	30140	3556.780748	N
hsa-let-7f-2	30016	3542.147675	N
hsa-let-7g	3717	438.638157	N
hsa-let-7i	5938	700.735371	N
hsa-mir-1-1	5	0.590043	N
hsa-mir-1-2	9	1.062078	N
hsa-mir-100	198094	23376.805754	Y
hsa-mir-101-1	56695	6690.500481	N
hsa-mir-101-2	57134	6742.306278	N
hsa-mir-103a-1	146462	17283.783074	Y
hsa-mir-103a-2	145918	17219.586368	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	483	56.998179	N
hsa-mir-105-2	441	52.041815	N
hsa-mir-106a	152	17.937315	Y
hsa-mir-106b	8046	949.497608	N
hsa-mir-107	1218	143.734537	Y
hsa-mir-10a	469	55.346057	N
hsa-mir-10b	65643	7746.441892	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.472035	N
hsa-mir-1180	834	98.419215	N
hsa-mir-1181	4	0.472035	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.472035	N
hsa-mir-1185-2	3	0.354026	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.236017	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	33	3.894285	N
hsa-mir-1225	3	0.354026	N
hsa-mir-1226	42	4.956363	N
hsa-mir-1227	3	0.354026	N
hsa-mir-1228	15	1.770130	N
hsa-mir-1229	11	1.298095	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.236017	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.236017	N
hsa-mir-124-1	507	59.830386	N
hsa-mir-124-2	496	58.532291	N
hsa-mir-124-3	481	56.762161	N
hsa-mir-1243	1	0.118009	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	35	4.130303	N
hsa-mir-1248	7	0.826061	N
hsa-mir-1249	115	13.570995	N
hsa-mir-1250	4	0.472035	N
hsa-mir-1251	128	15.105107	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.236017	N
hsa-mir-1254-2	5	0.590043	N
hsa-mir-1255a	9	1.062078	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.118009	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	1.652121	N
hsa-mir-125a	6916	816.147832	N
hsa-mir-125b-1	32668	3855.106618	N
hsa-mir-125b-2	34747	4100.446604	N
hsa-mir-126	3918	462.357895	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	40	4.720346	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.354026	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	23	2.714199	N
hsa-mir-1267	2	0.236017	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.236017	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9565	1128.752749	N
hsa-mir-1270	7	0.826061	N
hsa-mir-1271	109	12.862943	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.472035	N
hsa-mir-1276	8	0.944069	N
hsa-mir-1277	0	0.000000	N
