miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	57695	10422.285464	N
hsa-let-7a-2	57452	10378.388846	Y
hsa-let-7a-3	57966	10471.240128	N
hsa-let-7b	94189	17014.726502	N
hsa-let-7c	38140	6889.781915	Y
hsa-let-7d	1477	266.811953	N
hsa-let-7e	5292	955.970789	N
hsa-let-7f-1	11891	2148.043963	N
hsa-let-7f-2	12050	2176.766441	N
hsa-let-7g	2270	410.063056	N
hsa-let-7i	1396	252.179747	N
hsa-mir-1-1	20	3.612890	N
hsa-mir-1-2	11	1.987090	N
hsa-mir-100	27789	5019.930510	Y
hsa-mir-101-1	51634	9327.399040	N
hsa-mir-101-2	51622	9325.231306	N
hsa-mir-103a-1	42335	7647.585668	Y
hsa-mir-103a-2	42422	7663.301741	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	229	41.367595	N
hsa-mir-105-2	222	40.103083	N
hsa-mir-106a	98	17.703163	Y
hsa-mir-106b	1564	282.528026	N
hsa-mir-107	546	98.631907	Y
hsa-mir-10a	197	35.586970	N
hsa-mir-10b	3349	604.978491	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	2.167734	N
hsa-mir-1180	278	50.219176	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.541934	N
hsa-mir-1185-2	3	0.541934	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	1.445156	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.180645	N
hsa-mir-1224	94	16.980585	N
hsa-mir-1225	3	0.541934	N
hsa-mir-1226	5	0.903223	N
hsa-mir-1227	1	0.180645	N
hsa-mir-1228	3	0.541934	N
hsa-mir-1229	9	1.625801	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1525	275.482890	N
hsa-mir-124-2	1457	263.199063	N
hsa-mir-124-3	1549	279.818358	N
hsa-mir-1243	2	0.361289	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	29	5.238691	N
hsa-mir-1248	3	0.541934	N
hsa-mir-1249	72	13.006405	N
hsa-mir-1250	3	0.541934	N
hsa-mir-1251	121	21.857987	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.361289	N
hsa-mir-1254-2	1	0.180645	N
hsa-mir-1255a	2	0.361289	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.806445	N
hsa-mir-125a	2142	386.940557	N
hsa-mir-125b-1	9264	1673.490814	N
hsa-mir-125b-2	10037	1813.129027	N
hsa-mir-126	5722	1033.647932	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.541934	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.541934	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	1.264512	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.361289	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	13689	2472.842806	N
hsa-mir-1270	4	0.722578	N
hsa-mir-1271	36	6.503203	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.180645	N
hsa-mir-1276	7	1.264512	N
hsa-mir-1277	3	0.541934	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	9812	1772.484010	N
