miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	140196	27180.239208	N
hsa-let-7a-2	141040	27343.868141	Y
hsa-let-7a-3	141290	27392.336427	N
hsa-let-7b	163828	31761.849333	N
hsa-let-7c	109871	21301.036136	Y
hsa-let-7d	1741	337.533143	N
hsa-let-7e	24285	4708.209287	N
hsa-let-7f-1	56950	11041.075515	N
hsa-let-7f-2	57869	11219.244934	N
hsa-let-7g	5502	1066.690035	N
hsa-let-7i	2533	491.080672	N
hsa-mir-1-1	20	3.877463	N
hsa-mir-1-2	16	3.101970	N
hsa-mir-100	118595	22992.385438	Y
hsa-mir-101-1	47336	9177.179115	N
hsa-mir-101-2	47675	9242.902110	N
hsa-mir-103a-1	29987	5813.673950	Y
hsa-mir-103a-2	30413	5896.263909	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	42	8.142672	N
hsa-mir-105-2	54	10.469150	N
hsa-mir-106a	98	18.999568	Y
hsa-mir-106b	2874	557.191414	N
hsa-mir-107	433	83.947071	Y
hsa-mir-10a	3907	757.462371	N
hsa-mir-10b	240846	46693.571089	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	2.326478	N
hsa-mir-1180	290	56.223212	N
hsa-mir-1181	2	0.387746	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.387746	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.193873	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.193873	N
hsa-mir-1224	31	6.010067	N
hsa-mir-1225	1	0.193873	N
hsa-mir-1226	18	3.489717	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	2.326478	N
hsa-mir-1229	3	0.581619	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.193873	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.387746	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	736	142.690634	N
hsa-mir-124-2	695	134.741835	N
hsa-mir-124-3	698	135.323454	N
hsa-mir-1243	5	0.969366	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.193873	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	45	8.724291	N
hsa-mir-1248	19	3.683590	N
hsa-mir-1249	31	6.010067	N
hsa-mir-1250	3	0.581619	N
hsa-mir-1251	344	66.692361	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.193873	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.938731	N
hsa-mir-125a	4824	935.244044	N
hsa-mir-125b-1	15055	2918.760173	N
hsa-mir-125b-2	15900	3082.582980	N
hsa-mir-126	5607	1087.046715	N
hsa-mir-1260a	2	0.387746	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	3.295843	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	3	0.581619	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	44	8.530418	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	1	0.193873	N
hsa-mir-127	5225	1012.987174	N
hsa-mir-1270	20	3.877463	N
hsa-mir-1271	50	9.693657	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.193873	N
hsa-mir-1276	4	0.775493	N
hsa-mir-1277	4	0.775493	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3895	755.135893	N
hsa-mir-128-2	3134	607.598431	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.193873	N
hsa-mir-1285-1	1	0.193873	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	149	28.887098	N
hsa-mir-1288	1	0.193873	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	949	183.985613	N
hsa-mir-129-2	1072	207.832010	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.193873	N
hsa-mir-1292	2	0.387746	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.775493	N
hsa-mir-1295a	3	0.581619	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	73	14.152739	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	26	5.040702	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	66	12.795627	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
