miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88534	8176.726797	N
hsa-let-7a-2	88711	8193.073970	Y
hsa-let-7a-3	88784	8199.816025	N
hsa-let-7b	109807	10141.435374	N
hsa-let-7c	43870	4051.697705	Y
hsa-let-7d	1456	134.471663	N
hsa-let-7e	4801	443.405532	N
hsa-let-7f-1	23829	2200.772843	N
hsa-let-7f-2	24357	2249.537292	N
hsa-let-7g	3082	284.644001	N
hsa-let-7i	1500	138.535367	N
hsa-mir-1-1	12	1.108283	N
hsa-mir-1-2	10	0.923569	N
hsa-mir-100	32530	3004.370329	Y
hsa-mir-101-1	29306	2706.611647	N
hsa-mir-101-2	29917	2763.041719	N
hsa-mir-103a-1	41746	3855.531625	Y
hsa-mir-103a-2	41726	3853.684487	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	460	42.484179	N
hsa-mir-105-2	480	44.331317	N
hsa-mir-106a	163	15.054177	Y
hsa-mir-106b	1841	170.029074	N
hsa-mir-107	296	27.337646	Y
hsa-mir-10a	294	27.152932	N
hsa-mir-10b	3855	356.035894	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	8	0.738855	N
hsa-mir-1180	206	19.025524	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.277071	N
hsa-mir-1185-2	1	0.092357	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.092357	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	0.738855	N
hsa-mir-1225	1	0.092357	N
hsa-mir-1226	9	0.831212	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.554141	N
hsa-mir-1229	2	0.184714	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.092357	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	89	8.219765	N
hsa-mir-124-2	81	7.480910	N
hsa-mir-124-3	90	8.312122	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	31	2.863064	N
hsa-mir-1248	2	0.184714	N
hsa-mir-1249	30	2.770707	N
hsa-mir-1250	9	0.831212	N
hsa-mir-1251	46	4.248418	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.184714	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.184714	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.092357	N
hsa-mir-125a	2766	255.459217	N
hsa-mir-125b-1	11473	1059.610845	N
hsa-mir-125b-2	11928	1101.633240	N
hsa-mir-126	9947	918.674198	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.184714	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.092357	N
