miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	78379	5332.479364	N
hsa-let-7a-2	78416	5334.996642	Y
hsa-let-7a-3	78736	5356.767695	N
hsa-let-7b	111718	7600.682958	N
hsa-let-7c	32215	2191.732769	Y
hsa-let-7d	2549	173.420047	N
hsa-let-7e	10483	713.206103	N
hsa-let-7f-1	14403	979.901508	N
hsa-let-7f-2	14605	993.644485	N
hsa-let-7g	2923	198.864966	N
hsa-let-7i	2333	158.724586	N
hsa-mir-1-1	4	0.272138	N
hsa-mir-1-2	3	0.204104	N
hsa-mir-100	89402	6082.424120	N
hsa-mir-101-1	51894	3530.584520	N
hsa-mir-101-2	52946	3602.156858	N
hsa-mir-103a-1	74005	5034.896277	Y
hsa-mir-103a-2	74062	5038.774246	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1171	79.668449	N
hsa-mir-105-2	1219	82.934107	N
hsa-mir-106a	121	8.232180	Y
hsa-mir-106b	2162	147.090680	N
hsa-mir-107	184	12.518356	Y
hsa-mir-10a	670	45.583143	N
hsa-mir-10b	1765	120.080967	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.680345	N
hsa-mir-1180	162	11.021596	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.136069	N
hsa-mir-1185-2	4	0.272138	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.068035	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	21	1.428725	N
hsa-mir-1225	2	0.136069	N
hsa-mir-1226	13	0.884449	N
hsa-mir-1227	1	0.068035	N
hsa-mir-1228	10	0.680345	N
hsa-mir-1229	5	0.340173	N
hsa-mir-1231	1	0.068035	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	118	8.028076	N
hsa-mir-124-2	133	9.048594	N
hsa-mir-124-3	141	9.592870	N
hsa-mir-1243	2	0.136069	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	15	1.020518	N
hsa-mir-1248	5	0.340173	N
hsa-mir-1249	57	3.877969	N
hsa-mir-1250	1	0.068035	N
hsa-mir-1251	68	4.626349	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.068035	N
hsa-mir-1254-2	3	0.204104	N
hsa-mir-1255a	4	0.272138	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.068035	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.476242	N
hsa-mir-125a	9271	630.748238	N
hsa-mir-125b-1	9895	673.201793	N
hsa-mir-125b-2	10435	709.940445	N
hsa-mir-126	3362	228.732130	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	0.952484	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	4	0.272138	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	0.612311	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.340173	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5586	380.040951	N
hsa-mir-1270	4	0.272138	N
hsa-mir-1271	45	3.061554	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.204104	N
hsa-mir-1276	1	0.068035	N
hsa-mir-1277	6	0.408207	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6137	417.527984	N
hsa-mir-128-2	3318	225.738610	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.204104	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	75	5.102591	N
hsa-mir-1288	1	0.068035	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	458	31.159820	N
hsa-mir-129-2	451	30.683578	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.340173	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	22	1.496760	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	149	10.137147	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	80	5.442763	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	179	12.178183	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.068035	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	104	7.075592	N
hsa-mir-1307	5427	369.223459	N
hsa-mir-130a	297	20.206259	N
hsa-mir-130b	194	13.198701	N
hsa-mir-132	1089	74.089616	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.068035	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	0.408207	N
hsa-mir-133a-2	7	0.476242	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2084	141.783985	N
hsa-mir-1343	16	1.088553	N
hsa-mir-135a-1	256	17.416843	N
hsa-mir-135a-2	192	13.062632	N
hsa-mir-135b	2	0.136069	N
hsa-mir-136	370	25.172781	N
hsa-mir-137	382	25.989195	N
hsa-mir-138-1	59	4.014038	N
hsa-mir-138-2	33	2.245140	N
hsa-mir-139	1202	81.777519	N
hsa-mir-140	15982	1087.328049	N
hsa-mir-141	22	1.496760	N
hsa-mir-142	975	66.333678	N
hsa-mir-143	12232	832.198517	N
hsa-mir-144	159	10.817492	N
hsa-mir-145	652	44.358521	N
hsa-mir-1468	48	3.265658	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	74	5.034556	N
hsa-mir-146b	724	49.257008	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	4787	325.681352	N
hsa-mir-148b	474	32.248373	N
hsa-mir-149	593	40.344483	N
hsa-mir-150	372	25.308850	N
hsa-mir-151a	5084	345.887611	N
hsa-mir-151b	8	0.544276	N
hsa-mir-152	279	18.981637	N
hsa-mir-153-1	212	14.423323	N
hsa-mir-153-2	3898	265.198645	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.204104	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	71	4.830452	N
hsa-mir-155	85	5.782936	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	535	36.398480	N
hsa-mir-15b	276	18.777534	N
hsa-mir-16-1	357	24.288331	N
hsa-mir-16-2	419	28.506473	N
hsa-mir-17	2610	177.570154	Y
hsa-mir-181a-1	20192	1373.753471	N
hsa-mir-181a-2	50635	3444.929032	N
hsa-mir-181b-1	2537	172.603633	N
hsa-mir-181b-2	2526	171.855253	N
hsa-mir-181c	2975	202.402762	N
hsa-mir-181d	604	41.092863	N
