miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	104596	17179.153893	N
hsa-let-7a-2	105313	17296.916076	Y
hsa-let-7a-3	106521	17495.321540	N
hsa-let-7b	172671	28359.991604	N
hsa-let-7c	102616	16853.952884	Y
hsa-let-7d	1731	284.304518	N
hsa-let-7e	12173	1999.329232	N
hsa-let-7f-1	26375	4331.907376	N
hsa-let-7f-2	26746	4392.841505	N
hsa-let-7g	3393	557.276274	N
hsa-let-7i	3463	568.773279	N
hsa-mir-1-1	10	1.642429	N
hsa-mir-1-2	13	2.135158	N
hsa-mir-100	44364	7286.473510	Y
hsa-mir-101-1	52083	8554.264716	N
hsa-mir-101-2	52192	8572.167195	N
hsa-mir-103a-1	57016	9364.475108	Y
hsa-mir-103a-2	56710	9314.216770	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	126	20.694610	N
hsa-mir-105-2	127	20.858853	N
hsa-mir-106a	106	17.409751	Y
hsa-mir-106b	4153	682.100904	N
hsa-mir-107	489	80.314795	Y
hsa-mir-10a	140	22.994011	N
hsa-mir-10b	9277	1523.681696	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.492729	N
hsa-mir-1180	420	68.982032	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.328486	N
hsa-mir-1185-2	1	0.164243	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.492729	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	38	6.241231	N
hsa-mir-1225	2	0.328486	N
hsa-mir-1226	11	1.806672	N
hsa-mir-1227	1	0.164243	N
hsa-mir-1228	19	3.120616	N
hsa-mir-1229	7	1.149701	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.164243	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	674	110.699737	N
hsa-mir-124-2	715	117.433698	N
hsa-mir-124-3	699	114.805811	N
hsa-mir-1243	2	0.328486	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	10	1.642429	N
hsa-mir-1248	4	0.656972	N
hsa-mir-1249	57	9.361847	N
hsa-mir-1250	4	0.656972	N
hsa-mir-1251	224	36.790417	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	4	0.656972	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.164243	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.328486	N
hsa-mir-125a	2689	441.649249	N
hsa-mir-125b-1	8907	1462.911810	N
hsa-mir-125b-2	10070	1653.926342	N
hsa-mir-126	4037	663.048723	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.164243	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	2.299401	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	2	0.328486	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	1.149701	N
hsa-mir-1267	1	0.164243	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12	1.970915	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6299	1034.566239	N
hsa-mir-1270	1	0.164243	N
hsa-mir-1271	49	8.047904	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.328486	N
hsa-mir-1276	14	2.299401	N
hsa-mir-1277	5	0.821215	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6650	1092.215509	N
hsa-mir-128-2	4493	737.943501	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.164243	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	137	22.501282	N
hsa-mir-1288	1	0.164243	N
hsa-mir-1289-1	1	0.164243	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	951	156.195030	N
hsa-mir-129-2	1128	185.266029	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	3	0.492729	N
