miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38388	5370.822950	N
hsa-let-7a-2	38553	5393.907919	N
hsa-let-7a-3	38653	5407.898809	N
hsa-let-7b	77486	10840.981220	N
hsa-let-7c	37090	5189.221194	N
hsa-let-7d	2418	338.299726	N
hsa-let-7e	4043	565.651693	N
hsa-let-7f-1	7476	1045.958955	N
hsa-let-7f-2	7546	1055.752578	N
hsa-let-7g	2591	362.503966	N
hsa-let-7i	1925	269.324637	N
hsa-mir-1-1	18	2.518360	N
hsa-mir-1-2	18	2.518360	N
hsa-mir-100	36171	5060.644913	Y
hsa-mir-101-1	48292	6756.480720	N
hsa-mir-101-2	48517	6787.960223	N
hsa-mir-103a-1	56726	7936.472404	Y
hsa-mir-103a-2	56671	7928.777414	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	225	31.479503	N
hsa-mir-105-2	271	37.915313	N
hsa-mir-106a	100	13.990890	Y
hsa-mir-106b	1360	190.276107	N
hsa-mir-107	458	64.078277	Y
hsa-mir-10a	347	48.548389	N
hsa-mir-10b	2917	408.114269	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.979362	N
hsa-mir-1180	416	58.202103	N
hsa-mir-1181	1	0.139909	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.259180	N
hsa-mir-1185-2	7	0.979362	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	12	1.678907	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.139909	N
hsa-mir-1224	136	19.027611	N
hsa-mir-1225	3	0.419727	N
hsa-mir-1226	12	1.678907	N
hsa-mir-1227	2	0.279818	N
hsa-mir-1228	6	0.839453	N
hsa-mir-1229	21	2.938087	N
hsa-mir-1231	2	0.279818	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.139909	N
hsa-mir-1236	1	0.139909	N
hsa-mir-1237	1	0.139909	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1878	262.748919	N
hsa-mir-124-2	1903	266.246641	N
hsa-mir-124-3	1945	272.122815	N
hsa-mir-1243	2	0.279818	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	24	3.357814	N
hsa-mir-1248	3	0.419727	N
hsa-mir-1249	136	19.027611	N
hsa-mir-1250	6	0.839453	N
hsa-mir-1251	34	4.756903	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	3	0.419727	N
hsa-mir-1255a	1	0.139909	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	36	5.036720	N
hsa-mir-125a	2590	362.364058	N
hsa-mir-125b-1	10377	1451.834681	N
hsa-mir-125b-2	10901	1525.146946	N
hsa-mir-126	10347	1447.637414	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.139909	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.699545	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.699545	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	1.678907	N
hsa-mir-1267	2	0.279818	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	0.979362	N
hsa-mir-1269b	1	0.139909	N
hsa-mir-127	15786	2208.601935	N
hsa-mir-1270	4	0.559636	N
hsa-mir-1271	28	3.917449	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.419727	N
hsa-mir-1276	2	0.279818	N
hsa-mir-1277	4	0.559636	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11016	1541.236470	N
hsa-mir-128-2	7865	1100.383518	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.139909	N
hsa-mir-1284	1	0.139909	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	93	13.011528	N
hsa-mir-1288	1	0.139909	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3584	501.433507	N
hsa-mir-129-2	3954	553.199801	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.419727	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	8	1.119271	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	430	60.160828	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	78	10.912894	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	127	17.768431	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	117	16.369342	N
hsa-mir-1307	7840	1096.885796	N
hsa-mir-130a	327	45.750211	N
hsa-mir-130b	112	15.669797	N
hsa-mir-132	1772	247.918575	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	53	7.415172	Y
hsa-mir-133a-2	50	6.995445	Y
hsa-mir-133b	10	1.399089	Y
hsa-mir-134	3856	539.488728	N
hsa-mir-1343	16	2.238542	N
hsa-mir-135a-1	121	16.928977	N
hsa-mir-135a-2	78	10.912894	N
hsa-mir-135b	9	1.259180	N
hsa-mir-136	742	103.812406	N
hsa-mir-137	620	86.743520	N
hsa-mir-138-1	286	40.013946	N
hsa-mir-138-2	214	29.940505	N
hsa-mir-139	4468	625.112976	N
hsa-mir-140	5536	774.535684	N
hsa-mir-141	7	0.979362	N
hsa-mir-142	1729	241.902492	N
hsa-mir-143	39909	5583.624390	N
hsa-mir-144	515	72.053085	N
hsa-mir-145	1510	211.262443	N
hsa-mir-1468	37	5.176629	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	82	11.472530	N
hsa-mir-146b	961	134.452455	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	12548	1755.576909	N
hsa-mir-148b	464	64.917731	N
hsa-mir-149	1440	201.468820	N
hsa-mir-150	727	101.713772	N
hsa-mir-151a	5532	773.976049	N
hsa-mir-151b	7	0.979362	N
hsa-mir-152	787	110.108306	N
hsa-mir-153-1	237	33.158410	N
hsa-mir-153-2	3405	476.389813	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.139909	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	125	17.488613	N
hsa-mir-155	83	11.612439	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	471	65.897093	N
hsa-mir-15b	242	33.857954	N
hsa-mir-16-1	743	103.952315	N
hsa-mir-16-2	746	104.372041	N
hsa-mir-17	2083	291.430244	Y
hsa-mir-181a-1	17808	2491.497736	N
hsa-mir-181a-2	31444	4399.295531	N
hsa-mir-181b-1	1993	278.838443	N
hsa-mir-181b-2	1762	246.519486	N
hsa-mir-181c	3063	428.540968	N
hsa-mir-181d	265	37.075859	N
hsa-mir-182	21658	3030.147011	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6584	921.160214	N
hsa-mir-184	35	4.896812	N
hsa-mir-185	350	48.968116	N
hsa-mir-186	532	74.431536	N
hsa-mir-187	60	8.394534	N
hsa-mir-188	10	1.399089	N
hsa-mir-18a	24	3.357814	N
hsa-mir-18b	5	0.699545	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	23	3.217905	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	1896	265.267279	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	3	0.419727	N
hsa-mir-1912	8	1.119271	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.139909	N
hsa-mir-192	1704	238.404770	N
hsa-mir-193a	270	37.775404	N
hsa-mir-193b	211	29.520778	N
hsa-mir-194-1	253	35.396952	N
hsa-mir-194-2	302	42.252489	N
hsa-mir-195	315	44.071304	N
hsa-mir-196a-1	0	0.000000	N
