miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	63252	6627.223795	N
hsa-let-7a-2	63535	6656.875100	Y
hsa-let-7a-3	64342	6741.428468	N
hsa-let-7b	91936	9632.587853	N
hsa-let-7c	72655	7612.422451	Y
hsa-let-7d	3141	329.098051	N
hsa-let-7e	9620	1007.934815	N
hsa-let-7f-1	20372	2134.474849	N
hsa-let-7f-2	20721	2171.041299	N
hsa-let-7g	2815	294.941425	N
hsa-let-7i	3868	405.269425	N
hsa-mir-1-1	55	5.762621	N
hsa-mir-1-2	45	4.714872	N
hsa-mir-100	68325	7158.747009	N
hsa-mir-101-1	30567	3202.655248	N
hsa-mir-101-2	30981	3246.032069	N
hsa-mir-103a-1	88211	9242.301243	Y
hsa-mir-103a-2	88159	9236.852947	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	273	28.603556	N
hsa-mir-105-2	279	29.232205	N
hsa-mir-106a	197	20.640661	Y
hsa-mir-106b	2106	220.656000	N
hsa-mir-107	336	35.204376	Y
hsa-mir-10a	1096	114.833322	N
hsa-mir-10b	7618	798.175407	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.628650	N
hsa-mir-1180	392	41.071772	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.419100	N
hsa-mir-1185-2	1	0.104775	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.419100	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.104775	N
hsa-mir-1224	57	5.972171	N
hsa-mir-1225	3	0.314325	N
hsa-mir-1226	25	2.619373	N
hsa-mir-1227	1	0.104775	N
hsa-mir-1228	10	1.047749	N
hsa-mir-1229	11	1.152524	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.209550	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	312	32.689778	N
hsa-mir-124-2	309	32.375453	N
hsa-mir-124-3	295	30.908604	N
hsa-mir-1243	5	0.523875	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	17	1.781174	N
hsa-mir-1248	20	2.095499	N
hsa-mir-1249	48	5.029197	N
hsa-mir-1250	1	0.104775	N
hsa-mir-1251	56	5.867396	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.314325	N
hsa-mir-1254-2	3	0.314325	N
hsa-mir-1255a	1	0.104775	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.047749	N
hsa-mir-125a	5871	615.133607	N
hsa-mir-125b-1	11635	1219.056296	N
hsa-mir-125b-2	12119	1269.767362	N
hsa-mir-126	8399	880.004627	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	21	2.200274	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	6	0.628650	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	74	7.753345	N
hsa-mir-1267	1	0.104775	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	0.419100	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5485	574.690484	N
hsa-mir-1270	37	3.876672	N
hsa-mir-1271	38	3.981447	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.209550	N
hsa-mir-1277	8	0.838199	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5989	627.497048	N
hsa-mir-128-2	3452	361.683054	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.733425	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	61	6.391271	N
hsa-mir-1288	2	0.209550	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2282	239.096387	N
hsa-mir-129-2	2782	291.483852	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.523875	N
hsa-mir-1292	0	0.000000	N
