miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	118172	11325.238437	N
hsa-let-7a-2	118135	11321.692472	Y
hsa-let-7a-3	119469	11449.538900	N
hsa-let-7b	180535	17301.915185	N
hsa-let-7c	126308	12104.967476	Y
hsa-let-7d	4401	421.778208	N
hsa-let-7e	10740	1029.288332	N
hsa-let-7f-1	30498	2922.833851	N
hsa-let-7f-2	30584	2931.075825	N
hsa-let-7g	3495	334.949974	N
hsa-let-7i	4321	414.111256	N
hsa-mir-1-1	30	2.875107	N
hsa-mir-1-2	23	2.204249	N
hsa-mir-100	188755	18089.694524	Y
hsa-mir-101-1	101038	9683.168951	N
hsa-mir-101-2	102002	9775.555725	N
hsa-mir-103a-1	100425	9624.420929	Y
hsa-mir-103a-2	100931	9672.914402	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	586	56.160425	N
hsa-mir-105-2	611	58.556347	N
hsa-mir-106a	122	11.692102	Y
hsa-mir-106b	4435	425.036662	N
hsa-mir-107	923	88.457461	Y
hsa-mir-10a	416	39.868151	N
hsa-mir-10b	667979	64017.038268	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.958369	N
hsa-mir-1180	809	77.532054	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.670858	N
hsa-mir-1185-2	6	0.575021	N
hsa-mir-1193	2	0.191674	N
hsa-mir-1197	13	1.245880	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.095837	N
hsa-mir-1224	176	16.867295	N
hsa-mir-1225	4	0.383348	N
hsa-mir-1226	24	2.300086	N
hsa-mir-1227	1	0.095837	N
hsa-mir-1228	5	0.479185	N
hsa-mir-1229	28	2.683433	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.191674	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.095837	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1889	181.035909	N
hsa-mir-124-2	1897	181.802604	N
hsa-mir-124-3	1918	183.815179	N
hsa-mir-1243	3	0.287511	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	53	5.079356	N
hsa-mir-1248	2	0.191674	N
hsa-mir-1249	160	15.333904	N
hsa-mir-1250	1	0.095837	N
hsa-mir-1251	280	26.834333	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	6	0.575021	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	41	3.929313	N
hsa-mir-125a	5730	549.145451	N
hsa-mir-125b-1	32317	3097.161177	N
hsa-mir-125b-2	33724	3232.003699	N
hsa-mir-126	6907	661.945485	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	28	2.683433	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	5	0.479185	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	1.437554	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9	0.862532	N
hsa-mir-1269b	3	0.287511	N
hsa-mir-127	21932	2101.894945	N
hsa-mir-1270	2	0.191674	N
hsa-mir-1271	79	7.571115	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.095837	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.383348	N
hsa-mir-1276	5	0.479185	N
hsa-mir-1277	4	0.383348	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	32030	3069.655986	N
hsa-mir-128-2	23407	2243.254376	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.479185	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.191674	N
hsa-mir-1287	196	18.784033	N
hsa-mir-1288	3	0.287511	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4384	420.148980	N
hsa-mir-129-2	4838	463.658934	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.479185	N
hsa-mir-1292	5	0.479185	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.191674	N
hsa-mir-1295a	6	0.575021	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	628	60.185575	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	135	12.937982	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	146	13.992188	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.191674	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	189	18.113175	N
hsa-mir-1307	9576	917.734178	N
hsa-mir-130a	587	56.256262	N
hsa-mir-130b	212	20.317423	N
hsa-mir-132	5223	500.556142	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.095837	N
hsa-mir-1323	1	0.095837	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	58	5.558540	Y
hsa-mir-133a-2	59	5.654377	Y
hsa-mir-133b	12	1.150043	Y
hsa-mir-134	5204	498.735240	N
hsa-mir-1343	47	4.504334	N
hsa-mir-135a-1	531	50.889395	N
hsa-mir-135a-2	261	25.013432	N
hsa-mir-135b	12	1.150043	N
hsa-mir-136	937	89.799178	N
hsa-mir-137	560	53.668665	N
hsa-mir-138-1	207	19.838239	N
hsa-mir-138-2	160	15.333904	N
hsa-mir-139	6947	665.778961	N
hsa-mir-140	11804	1131.258797	N
hsa-mir-141	21	2.012575	N
hsa-mir-142	1341	128.517286	N
hsa-mir-143	47819	4582.824839	N
hsa-mir-144	607	58.173000	N
hsa-mir-145	1294	124.012952	N
hsa-mir-1468	83	7.954463	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	99	9.487853	N
hsa-mir-146b	1229	117.783553	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.095837	N
hsa-mir-148a	15805	1514.702243	N
hsa-mir-148b	723	69.290080	N
hsa-mir-149	1104	105.803940	N
hsa-mir-150	562	53.860339	N
hsa-mir-151a	13504	1294.181531	N
hsa-mir-151b	14	1.341717	N
hsa-mir-152	1302	124.779647	N
hsa-mir-153-1	206	19.742402	N
hsa-mir-153-2	3103	297.381908	N
hsa-mir-1537	2	0.191674	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	1	0.095837	N
hsa-mir-154	193	18.496522	N
hsa-mir-155	82	7.858626	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1293	123.917115	N
hsa-mir-15b	416	39.868151	N
hsa-mir-16-1	1127	108.008189	N
hsa-mir-16-2	1063	101.874627	N
hsa-mir-17	4448	426.282542	Y
hsa-mir-181a-1	55961	5363.128899	N
hsa-mir-181a-2	108522	10400.412329	N
hsa-mir-181b-1	6422	615.464588	N
hsa-mir-181b-2	6251	599.076477	N
hsa-mir-181c	7803	747.815350	N
hsa-mir-181d	945	90.565873	N
hsa-mir-182	9655	925.305293	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3491	334.566626	N
hsa-mir-184	111	10.637896	N
hsa-mir-185	517	49.547679	N
hsa-mir-186	1123	107.624841	N
hsa-mir-187	90	8.625321	N
hsa-mir-188	13	1.245880	N
hsa-mir-18a	32	3.066781	Y
hsa-mir-18b	2	0.191674	Y
hsa-mir-1908	4	0.383348	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	50	4.791845	N
hsa-mir-190b	6	0.575021	N
hsa-mir-191	2100	201.257495	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.095837	N
hsa-mir-1912	14	1.341717	N
hsa-mir-1913	2	0.191674	N
hsa-mir-1914	4	0.383348	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3769	361.209285	Y
hsa-mir-193a	478	45.810039	N
hsa-mir-193b	336	32.201199	N
hsa-mir-194-1	735	70.440123	N
hsa-mir-194-2	794	76.094501	N
hsa-mir-195	620	59.418880	N
hsa-mir-196a-1	3	0.287511	N
hsa-mir-196a-2	3	0.287511	N
hsa-mir-196b	3265	312.907487	N
hsa-mir-197	7104	680.825355	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	2.395923	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	141	13.513003	Y
hsa-mir-199a-2	220	21.084119	Y
hsa-mir-199b	278	26.642659	Y
hsa-mir-19a	110	10.542059	N
hsa-mir-19b-1	426	40.826520	N
hsa-mir-19b-2	309	29.613603	N
hsa-mir-200a	27	2.587596	N
hsa-mir-200b	7	0.670858	N
hsa-mir-200c	181	17.346479	N
hsa-mir-202	2	0.191674	N
hsa-mir-203a	1882	180.365050	N
hsa-mir-203b	65	6.229399	N
hsa-mir-204	759	72.740209	N
hsa-mir-205	2	0.191674	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	4	0.383348	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	3	0.287511	N
hsa-mir-20a	2469	236.621312	N
hsa-mir-20b	339	32.488710	N
hsa-mir-21	63318	6068.200990	N
hsa-mir-210	468	44.851670	N
hsa-mir-211	9	0.862532	N
hsa-mir-2110	23	2.204249	N
hsa-mir-2113	25	2.395923	N
hsa-mir-2114	4	0.383348	N
hsa-mir-2115	8	0.766695	N
hsa-mir-2116	0	0.000000	N
