miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	75617	10628.272185	N
hsa-let-7a-2	75249	10576.548311	Y
hsa-let-7a-3	76268	10719.772842	N
hsa-let-7b	151152	21245.018942	N
hsa-let-7c	53018	7451.892229	Y
hsa-let-7d	3756	527.920842	N
hsa-let-7e	14748	2072.890464	N
hsa-let-7f-1	23144	3252.981888	N
hsa-let-7f-2	23445	3295.288644	N
hsa-let-7g	4431	622.794796	N
hsa-let-7i	3797	533.683556	N
hsa-mir-1-1	13	1.827202	N
hsa-mir-1-2	13	1.827202	N
hsa-mir-100	79214	11133.844941	Y
hsa-mir-101-1	24036	3378.356061	N
hsa-mir-101-2	24338	3420.803370	N
hsa-mir-103a-1	123506	17359.262924	Y
hsa-mir-103a-2	123358	17338.460931	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	24	3.373296	N
hsa-mir-105-2	22	3.092188	N
hsa-mir-106a	1197	168.243144	Y
hsa-mir-106b	3574	502.340013	N
hsa-mir-107	720	101.198883	Y
hsa-mir-10a	25997	3653.982464	N
hsa-mir-10b	33228	4670.328473	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	0.983878	N
hsa-mir-1180	221	31.062435	N
hsa-mir-1181	1	0.140554	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.562216	N
hsa-mir-1185-2	1	0.140554	N
hsa-mir-1193	2	0.281108	N
hsa-mir-1197	1	0.140554	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	7	0.983878	N
hsa-mir-1225	1	0.140554	N
hsa-mir-1226	34	4.778836	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	45	6.324930	N
hsa-mir-1229	9	1.264986	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.140554	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	20	2.811080	N
hsa-mir-124-2	24	3.373296	N
hsa-mir-124-3	31	4.357174	N
hsa-mir-1243	5	0.702770	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.562216	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	35	4.919390	N
hsa-mir-1248	5	0.702770	N
hsa-mir-1249	11	1.546094	N
hsa-mir-1250	4	0.562216	N
hsa-mir-1251	92	12.930968	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.421662	N
hsa-mir-1254-2	3	0.421662	N
hsa-mir-1255a	6	0.843324	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.140554	N
hsa-mir-125a	4391	617.172635	N
hsa-mir-125b-1	12436	1747.929604	N
hsa-mir-125b-2	12833	1803.729544	N
hsa-mir-126	83534	11741.038242	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.264986	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	51	7.168254	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.421662	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6437	904.746129	N
hsa-mir-1270	8	1.124432	N
hsa-mir-1271	120	16.866481	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.140554	N
hsa-mir-1275	1	0.140554	N
hsa-mir-1276	12	1.686648	N
hsa-mir-1277	7	0.983878	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1155	162.339876	N
hsa-mir-128-2	831	116.800378	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.140554	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	161	22.629195	N
hsa-mir-1288	2	0.281108	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	115	16.163711	N
hsa-mir-129-2	103	14.477063	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.421662	N
hsa-mir-1292	6	0.843324	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.140554	N
hsa-mir-1295a	1	0.140554	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	93	13.071522	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.281108	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	120	16.866481	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.140554	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	119	16.725927	N
hsa-mir-1307	6768	951.269505	N
hsa-mir-130a	758	106.539936	N
hsa-mir-130b	434	61.000438	N
hsa-mir-132	1893	266.068731	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	19	2.670526	Y
hsa-mir-133a-2	18	2.529972	N
hsa-mir-133b	2	0.281108	Y
hsa-mir-134	2155	302.893880	N
hsa-mir-1343	3	0.421662	N
hsa-mir-135a-1	97	13.633738	N
hsa-mir-135a-2	98	13.774292	N
hsa-mir-135b	9	1.264986	N
hsa-mir-136	326	45.820606	N
hsa-mir-137	105	14.758171	N
hsa-mir-138-1	21	2.951634	N
hsa-mir-138-2	9	1.264986	N
hsa-mir-139	540	75.899163	N
hsa-mir-140	18493	2599.265212	N
hsa-mir-141	27	3.794958	N
hsa-mir-142	8275	1163.084390	N
hsa-mir-143	308108	43305.813328	N
hsa-mir-144	3142	441.620683	N
hsa-mir-145	10388	1460.075002	N
hsa-mir-1468	59	8.292686	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	529	74.353069	N
hsa-mir-146b	4974	699.115620	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.281108	N
hsa-mir-148a	45180	6350.229939	N
hsa-mir-148b	1066	149.830569	N
hsa-mir-149	5826	818.867632	N
hsa-mir-150	3438	483.224669	N
hsa-mir-151a	13116	1843.506328	N
hsa-mir-151b	12	1.686648	N
hsa-mir-152	1610	226.291948	N
hsa-mir-153-1	37	5.200498	N
hsa-mir-153-2	750	105.415504	N
hsa-mir-1537	1	0.140554	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	62	8.714348	N
hsa-mir-155	1640	230.508568	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3278	460.736028	N
hsa-mir-15b	2359	331.566897	N
hsa-mir-16-1	2341	329.036925	N
hsa-mir-16-2	2291	322.009225	N
hsa-mir-17	5659	795.395113	Y
hsa-mir-181a-1	18111	2545.573582	N
hsa-mir-181a-2	23798	3344.904208	N
hsa-mir-181b-1	3253	457.222178	N
hsa-mir-181b-2	3306	464.671540	N
hsa-mir-181c	2286	321.306455	N
hsa-mir-181d	400	56.221602	N
hsa-mir-182	9796	1376.867032	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	2568	360.942684	N
hsa-mir-184	12	1.686648	N
hsa-mir-185	913	128.325806	N
hsa-mir-186	1484	208.582143	N
hsa-mir-187	21	2.951634	N
hsa-mir-188	18	2.529972	N
hsa-mir-18a	75	10.541550	N
hsa-mir-18b	25	3.513850	N
hsa-mir-1908	2	0.281108	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	49	6.887146	N
hsa-mir-190b	2	0.281108	N
hsa-mir-191	4872	684.779112	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	3345	470.153146	Y
hsa-mir-193a	2023	284.340752	N
hsa-mir-193b	585	82.224093	N
hsa-mir-194-1	435	61.140992	N
hsa-mir-194-2	527	74.071961	N
hsa-mir-195	611	85.878497	N
hsa-mir-196a-1	37	5.200498	N
hsa-mir-196a-2	42	5.903268	N
hsa-mir-196b	580	81.521323	N
hsa-mir-197	6430	903.762251	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	46	6.465484	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	1151	161.777660	Y
hsa-mir-199a-2	1645	231.211338	Y
hsa-mir-199b	1720	241.752888	Y
hsa-mir-19a	204	28.673017	N
hsa-mir-19b-1	686	96.420047	N
hsa-mir-19b-2	672	94.452291	N
hsa-mir-200a	107	15.039279	N
hsa-mir-200b	75	10.541550	N
hsa-mir-200c	149	20.942547	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	115	16.163711	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	734	103.166640	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.140554	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2774	389.896809	N
hsa-mir-20b	5094	715.982101	N
hsa-mir-21	919685	129265.409955	N
hsa-mir-210	16430	2309.302300	N
hsa-mir-211	4	0.562216	N
hsa-mir-2110	20	2.811080	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	45	6.324930	N
hsa-mir-2115	199	27.970247	N
hsa-mir-2116	3	0.421662	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	75	10.541550	N
hsa-mir-214	47	6.606038	N
hsa-mir-215	10	1.405540	Y
hsa-mir-216a	21	2.951634	N
hsa-mir-216b	13	1.827202	N
hsa-mir-217	1241	174.427520	N
hsa-mir-218-1	60	8.433240	N
hsa-mir-218-2	56	7.871024	N
hsa-mir-219a-1	129	18.131467	N
hsa-mir-219a-2	3982	559.686047	N
hsa-mir-219b	6	0.843324	N
hsa-mir-22	506418	71179.078030	N
hsa-mir-221	870	122.281984	N
hsa-mir-222	166	23.331965	N
hsa-mir-223	1298	182.439098	N
hsa-mir-224	14	1.967756	N
hsa-mir-2276	1	0.140554	N
hsa-mir-2277	23	3.232742	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	421	59.173236	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	15597	2192.220814	Y
hsa-mir-23b	5769	810.856054	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	4995	702.067254	N
hsa-mir-24-2	5203	731.302487	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	36926	5190.097183	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	5	0.702770	N
hsa-mir-26a-1	5207	731.864703	N
hsa-mir-26a-2	5329	749.012292	N
hsa-mir-26b	4305	605.084991	N
hsa-mir-27a	8058	1132.584171	Y
hsa-mir-27b	12564	1765.920517	Y
hsa-mir-28	13382	1880.893693	N
