miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	153976	15926.717406	N
hsa-let-7a-2	153038	15829.694097	Y
hsa-let-7a-3	152841	15809.317134	N
hsa-let-7b	183085	18937.646492	N
hsa-let-7c	75334	7792.274959	Y
hsa-let-7d	5148	532.490396	N
hsa-let-7e	13964	1444.385371	N
hsa-let-7f-1	34487	3567.209845	N
hsa-let-7f-2	34394	3557.590264	N
hsa-let-7g	5383	556.797941	N
hsa-let-7i	4106	424.709706	N
hsa-mir-1-1	28	2.896218	N
hsa-mir-1-2	23	2.379036	N
hsa-mir-100	103234	10678.149482	Y
hsa-mir-101-1	197493	20427.957608	N
hsa-mir-101-2	198697	20552.494989	N
hsa-mir-103a-1	83753	8663.105697	Y
hsa-mir-103a-2	83103	8595.872062	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	230	23.790363	N
hsa-mir-105-2	276	28.548436	N
hsa-mir-106a	281	29.065618	Y
hsa-mir-106b	5443	563.004123	N
hsa-mir-107	1041	107.677254	Y
hsa-mir-10a	1592	164.670690	N
hsa-mir-10b	48588	5025.765998	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.310309	N
hsa-mir-1180	432	44.684509	N
hsa-mir-1181	1	0.103436	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.206873	N
hsa-mir-1185-2	2	0.206873	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.413745	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	37	3.827145	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	22	2.275600	N
hsa-mir-1227	3	0.310309	N
hsa-mir-1228	4	0.413745	N
hsa-mir-1229	8	0.827491	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	1	0.103436	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.103436	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	973	100.643581	N
hsa-mir-124-2	950	98.264545	N
hsa-mir-124-3	953	98.574854	N
hsa-mir-1243	4	0.413745	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
