miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	108017	14937.383493	N
hsa-let-7a-2	108122	14951.903664	Y
hsa-let-7a-3	108161	14957.296870	N
hsa-let-7b	185693	25678.990834	N
hsa-let-7c	189689	26231.587041	Y
hsa-let-7d	2634	364.248851	N
hsa-let-7e	11563	1599.016500	N
hsa-let-7f-1	41308	5712.373398	N
hsa-let-7f-2	41598	5752.476726	N
hsa-let-7g	3173	438.785727	N
hsa-let-7i	2933	405.596765	N
hsa-mir-1-1	45	6.222930	N
hsa-mir-1-2	46	6.361218	N
hsa-mir-100	181429	25089.333621	Y
hsa-mir-101-1	25075	3467.555025	N
hsa-mir-101-2	25522	3529.369465	N
hsa-mir-103a-1	59658	8249.946068	Y
hsa-mir-103a-2	60252	8332.088747	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	18	2.489172	N
hsa-mir-105-2	13	1.797735	N
hsa-mir-106a	133	18.392216	Y
hsa-mir-106b	3774	521.896417	N
hsa-mir-107	464	64.165325	Y
hsa-mir-10a	1090	150.733199	N
hsa-mir-10b	20737	2867.664548	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.829724	N
hsa-mir-1180	879	121.554571	N
hsa-mir-1181	10	1.382873	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	18	2.489172	N
hsa-mir-1185-2	4	0.553149	N
hsa-mir-1193	2	0.276575	N
hsa-mir-1197	14	1.936023	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.138287	N
hsa-mir-1224	297	41.071340	N
hsa-mir-1225	1	0.138287	N
hsa-mir-1226	14	1.936023	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.276575	N
hsa-mir-1229	1	0.138287	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.138287	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	108	14.935033	N
hsa-mir-124-2	101	13.967021	N
hsa-mir-124-3	127	17.562492	N
