miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53752	9696.014644	N
hsa-let-7a-2	54226	9781.516783	Y
hsa-let-7a-3	54553	9840.502435	N
hsa-let-7b	68167	12296.253726	N
hsa-let-7c	58666	10582.422889	Y
hsa-let-7d	2382	429.675303	N
hsa-let-7e	5441	981.470749	N
hsa-let-7f-1	24030	4334.633723	N
hsa-let-7f-2	24415	4404.081663	N
hsa-let-7g	2419	436.349520	N
hsa-let-7i	1208	217.904184	N
hsa-mir-1-1	15	2.705764	N
hsa-mir-1-2	15	2.705764	N
hsa-mir-100	41863	7551.426199	Y
hsa-mir-101-1	9537	1720.324670	N
hsa-mir-101-2	9682	1746.480387	N
hsa-mir-103a-1	45720	8247.168283	Y
hsa-mir-103a-2	45374	8184.755329	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	244	44.013759	N
hsa-mir-105-2	232	41.849148	N
hsa-mir-106a	82	14.791509	Y
hsa-mir-106b	1456	262.639480	N
hsa-mir-107	135	24.351875	Y
hsa-mir-10a	241	43.472606	N
hsa-mir-10b	295808	53359.106636	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.541153	N
hsa-mir-1180	158	28.500713	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.180384	N
hsa-mir-1185-2	2	0.360769	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.180384	N
hsa-mir-1224	1	0.180384	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	2.164611	N
hsa-mir-1227	1	0.180384	N
hsa-mir-1228	1	0.180384	N
hsa-mir-1229	3	0.541153	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	32	5.772296	N
hsa-mir-124-2	28	5.050759	N
hsa-mir-124-3	25	4.509606	N
hsa-mir-1243	3	0.541153	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	0.901921	N
hsa-mir-1248	19	3.427301	N
hsa-mir-1249	14	2.525380	N
hsa-mir-1250	2	0.360769	N
hsa-mir-1251	16	2.886148	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.541153	N
hsa-mir-1254-2	1	0.180384	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2632	474.771367	N
hsa-mir-125b-1	12198	2200.327181	N
hsa-mir-125b-2	12800	2308.918504	N
hsa-mir-126	3974	716.847042	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	27	4.870375	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.721537	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6977	1258.540969	N
hsa-mir-1270	21	3.788069	N
hsa-mir-1271	26	4.689991	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.180384	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.262690	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	994	179.301953	N
hsa-mir-128-2	546	98.489805	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.541153	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	61	11.003440	N
hsa-mir-1288	1	0.180384	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	123	22.187264	N
hsa-mir-129-2	116	20.924574	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.360769	N
hsa-mir-1292	2	0.360769	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	111	20.022653	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.180384	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	105	18.940347	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	2	0.360769	N
hsa-mir-1306	63	11.364208	N
hsa-mir-1307	4166	751.480819	N
hsa-mir-130a	448	80.812148	N
hsa-mir-130b	181	32.649551	N
hsa-mir-132	308	55.558352	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	1.803843	N
hsa-mir-133a-2	12	2.164611	Y
hsa-mir-133b	2	0.360769	Y
hsa-mir-134	3682	664.174839	N
hsa-mir-1343	4	0.721537	N
hsa-mir-135a-1	119	21.465727	N
hsa-mir-135a-2	119	21.465727	N
hsa-mir-135b	3	0.541153	N
hsa-mir-136	190	34.273009	N
hsa-mir-137	41	7.395755	N
hsa-mir-138-1	22	3.968454	N
hsa-mir-138-2	22	3.968454	N
hsa-mir-139	490	88.388286	N
hsa-mir-140	6210	1120.186243	N
hsa-mir-141	19	3.427301	N
hsa-mir-142	1559	281.219058	N
hsa-mir-143	9996	1803.121045	N
hsa-mir-144	768	138.535110	N
hsa-mir-145	523	94.340967	N
hsa-mir-1468	16	2.886148	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	115	20.744190	N
hsa-mir-146b	914	164.871212	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.180384	N
hsa-mir-148a	11303	2038.883270	N
