miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55371	11420.162400	N
hsa-let-7a-2	54988	11341.169385	Y
hsa-let-7a-3	55337	11413.149965	N
hsa-let-7b	79571	16411.365919	N
hsa-let-7c	47691	9836.177151	Y
hsa-let-7d	2300	474.370582	N
hsa-let-7e	12424	2562.426137	N
hsa-let-7f-1	15496	3196.020237	N
hsa-let-7f-2	15642	3226.132457	N
hsa-let-7g	3321	684.949871	N
hsa-let-7i	1978	407.958701	N
hsa-mir-1-1	40	8.249923	N
hsa-mir-1-2	38	7.837427	N
hsa-mir-100	61975	12782.224716	Y
hsa-mir-101-1	36312	7489.280256	N
hsa-mir-101-2	36194	7464.942983	N
hsa-mir-103a-1	63784	13155.327491	Y
hsa-mir-103a-2	63907	13180.696005	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	416	85.799201	N
hsa-mir-105-2	457	94.255372	N
hsa-mir-106a	87	17.943583	Y
hsa-mir-106b	1226	252.860145	N
hsa-mir-107	549	113.230196	Y
hsa-mir-10a	837	172.629642	N
hsa-mir-10b	84518	17431.675168	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	21	4.331210	N
hsa-mir-1180	642	132.411267	N
hsa-mir-1181	1	0.206248	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.443737	N
hsa-mir-1185-2	8	1.649985	N
hsa-mir-1193	1	0.206248	N
hsa-mir-1197	6	1.237488	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	5	1.031240	N
hsa-mir-1224	178	36.712158	N
hsa-mir-1225	5	1.031240	N
hsa-mir-1226	14	2.887473	N
hsa-mir-1227	3	0.618744	N
hsa-mir-1228	8	1.649985	N
hsa-mir-1229	43	8.868667	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.206248	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.412496	N
hsa-mir-1238	1	0.206248	N
hsa-mir-124-1	1771	365.265348	N
hsa-mir-124-2	1778	366.709085	N
hsa-mir-124-3	1761	363.202868	N
hsa-mir-1243	5	1.031240	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.206248	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	79	16.293598	N
hsa-mir-1248	3	0.618744	N
hsa-mir-1249	224	46.199570	N
hsa-mir-1250	5	1.031240	N
hsa-mir-1251	291	60.018191	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
