miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	215236	16371.721972	N
hsa-let-7a-2	213769	16260.136010	Y
hsa-let-7a-3	215488	16390.890113	N
hsa-let-7b	242988	18482.651502	N
hsa-let-7c	73987	5627.750904	Y
hsa-let-7d	2550	193.963329	N
hsa-let-7e	12856	977.879433	N
hsa-let-7f-1	51391	3909.007619	N
hsa-let-7f-2	52215	3971.684397	N
hsa-let-7g	6260	476.160956	N
hsa-let-7i	3725	283.338588	N
hsa-mir-1-1	24	1.825537	N
hsa-mir-1-2	11	0.836705	N
hsa-mir-100	189288	14398.011990	N
hsa-mir-101-1	63594	4837.217227	N
hsa-mir-101-2	64333	4893.428560	N
hsa-mir-103a-1	55588	4228.248439	Y
hsa-mir-103a-2	55477	4219.805329	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	644	48.985249	N
hsa-mir-105-2	631	47.996416	N
hsa-mir-106a	83	6.313316	Y
hsa-mir-106b	3870	294.367875	N
hsa-mir-107	423	32.175093	Y
hsa-mir-10a	659	50.126209	N
hsa-mir-10b	826	62.828906	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	20	1.521281	N
hsa-mir-1180	292	22.210703	N
hsa-mir-1181	2	0.152128	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.304256	N
hsa-mir-1185-2	2	0.152128	N
hsa-mir-1193	1	0.076064	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	20	1.521281	N
hsa-mir-1225	2	0.152128	N
hsa-mir-1226	9	0.684576	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.380320	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	248	18.863885	N
hsa-mir-124-2	238	18.103244	N
hsa-mir-124-3	283	21.526126	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
