miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	34439	7333.797565	N
hsa-let-7a-2	34791	7408.756093	Y
hsa-let-7a-3	34437	7333.371664	N
hsa-let-7b	97326	20725.607068	N
hsa-let-7c	31373	6680.891751	Y
hsa-let-7d	2335	497.239099	N
hsa-let-7e	4889	1041.114327	N
hsa-let-7f-1	6897	1468.718656	N
hsa-let-7f-2	7080	1507.688573	N
hsa-let-7g	1400	298.130509	N
hsa-let-7i	1104	235.097201	N
hsa-mir-1-1	18	3.833107	N
hsa-mir-1-2	16	3.407206	N
hsa-mir-100	48448	10317.019206	N
hsa-mir-101-1	19902	4238.138132	N
hsa-mir-101-2	20041	4267.738233	N
hsa-mir-103a-1	67419	14356.900550	Y
hsa-mir-103a-2	67337	14339.438620	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	126	26.831746	N
hsa-mir-105-2	129	27.470597	N
hsa-mir-106a	154	32.794356	Y
hsa-mir-106b	810	172.489794	N
hsa-mir-107	249	53.024640	Y
hsa-mir-10a	175	37.266314	N
hsa-mir-10b	406	86.457848	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.425901	N
hsa-mir-1180	353	75.171478	N
hsa-mir-1181	1	0.212950	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.212950	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.425901	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	114	24.276341	N
hsa-mir-1225	7	1.490653	N
hsa-mir-1226	21	4.471958	N
hsa-mir-1227	1	0.212950	N
hsa-mir-1228	5	1.064752	N
hsa-mir-1229	12	2.555404	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.212950	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
